arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1258,closed,,ENAUSDT,ENA,4h,2024-10-29 04:00:00+00:00
v9_long,1306,closed,,ENAUSDT,ENA,4h,2024-11-06 04:00:00+00:00
v9_long,1650,closed,,ENAUSDT,ENA,4h,2025-01-02 12:00:00+00:00
v9_long,3106,closed,,ENAUSDT,ENA,4h,2025-09-02 04:00:00+00:00
v9_long,3129,closed,,ENAUSDT,ENA,4h,2025-09-06 00:00:00+00:00
v9_long,3909,closed,,ENAUSDT,ENA,4h,2026-01-14 00:00:00+00:00
v9_long,4276,closed,,ENAUSDT,ENA,4h,2026-03-16 04:00:00+00:00
v10_4,4277,closed,,ENAUSDT,ENA,4h,2026-03-16 08:00:00+00:00
box_chart,4277,closed,,ENAUSDT,ENA,4h,2026-03-16 08:00:00+00:00
box_any,4277,closed,,ENAUSDT,ENA,4h,2026-03-16 08:00:00+00:00
