phase,variant,score_permutation_p_one_sided,weekly_block_signflip_p_one_sided,matched_events,matched_control_excess_bp,paired_control_signflip_p_one_sided,control_assignment_mean_net_bp,all_eight_control_assignments_beaten
confirmation,lgb_arm_all103,0.25880741192588075,0.971660283397166,320,-6.095960762480809,0.7593024069759302,"{0: -23.279740742306235, 1: 10.570704733600897, 2: -11.004087687034206, 3: -10.587682163403642, 4: -10.935664178246354, 5: 0.47072050373619784, 6: -25.237930548141446, 7: -7.358075733961872}",False
audit,lgb_arm_all103,0.6210937890621093,0.998820011799882,358,-1.3668123465506021,0.5800241997580025,"{0: -9.540094565097197, 1: -7.557492056354722, 2: -15.08108803706436, 3: -23.65217385651882, 4: -11.194530650342898, 5: -14.171847786837878, 6: -25.046217564036144, 7: -23.613696515177505}",False
