phase,source_events,source_runner_armed,median_arm_delay_bars,events,mean_net_bp,median_net_bp,win_rate,profit_factor,max_net_bp
development,3533,1370,11.0,1370,-10.791047670429936,-58.62596721094791,0.2583941605839416,0.8225047559809991,1447.3690090687708
confirmation,3437,1447,11.0,1447,-17.3513956833931,-72.62234135201993,0.2750518313752592,0.761379909372501,1115.5395288781244
audit,3746,1606,11.0,1606,-12.004873717235808,-57.139313050843505,0.2795765877957659,0.7982945084743585,1177.2805116401496
audit_selected,375,170,9.0,170,-25.260065287150283,-60.07603821742589,0.31176470588235294,0.6117764803765422,435.786818273145
