variant,phase,training_quantile,threshold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,pool_events,pool_runner_arm_rate,runner_arm_auc,runner_arm_average_precision,runner_arm_precision,runner_arm_precision_lift_pp,runner_arm_recall,profitable_runner_precision,positive_net_auc,selection_rate
signal_score,development,0.5,0.563556959342574,1767,2.8002789739033953,-17.19972102609657,-50.186625052541,0.17260894170911148,0.6546639168493513,-0.99993839913566,-0.99993839913566,21.0,76.99958468262824,1746.2257408717599,0.40070281659753226,3533,0.3877724313614492,0.496330792255957,0.3802499331735324,0.38200339558573854,-0.576903577571064,0.4927007299270073,0.1697792869269949,0.4948356451487046,0.5001415227851684
signal_score,development,0.7,0.6799306846539337,1060,1.1365762950629905,-18.863423704936977,-51.220149338446504,0.16226415094339622,0.6305379558783639,-0.9980506154468044,-0.9980576870795792,19.0,75.71087686702724,1746.2257408717599,0.40808191975270053,3533,0.3877724313614492,0.496330792255957,0.3802499331735324,0.37735849056603776,-1.0413940795411414,0.291970802919708,0.15943396226415094,0.4948356451487046,0.30002830455703366
signal_score,development,0.8,0.7357094953881436,707,7.00298148932784,-12.997018510672122,-50.176836092163,0.17114568599717114,0.7399484556160368,-0.9732298631449698,-0.9732298631449698,20.0,104.16854055036997,1746.2257408717599,0.41332879586307264,3533,0.3877724313614492,0.496330792255957,0.3802499331735324,0.37623762376237624,-1.1534807599072938,0.19416058394160585,0.16831683168316833,0.4948356451487046,0.20011321822813474
signal_score,development,0.9,0.7980809449680217,354,9.010425617291432,-10.98957438270855,-49.022142280542994,0.16666666666666666,0.7784893858796037,-0.8797899602974447,-0.8906051903140566,17.5,121.58347818584541,1163.163632486605,0.44196106040846744,3533,0.3877724313614492,0.496330792255957,0.3802499331735324,0.3531073446327684,-3.4665086728680796,0.09124087591240876,0.16666666666666666,0.4948356451487046,0.10019813189923578
signal_score,development,0.95,0.8446825612251452,177,22.6284418843313,2.6284418843313224,-46.675078114936,0.192090395480226,1.0544475472362906,-0.4931152036984273,-0.5680354824399391,16.0,147.34178175546288,1163.163632486605,0.47599296875835334,3533,0.3877724313614492,0.496330792255957,0.3802499331735324,0.3785310734463277,-0.9241357915121484,0.04890510948905109,0.192090395480226,0.4948356451487046,0.05009906594961789
signal_score,development,0.975,0.8749212381781502,89,9.086529574851202,-10.913470425148773,-50.857159896445005,0.19101123595505617,0.7817583558784756,-0.34602189149599816,-0.379466379044192,14.0,144.78779159910644,1163.163632486605,0.4648390345080025,3533,0.3877724313614492,0.496330792255957,0.3802499331735324,0.33707865168539325,-5.069377967605593,0.021897810218978103,0.19101123595505617,0.4948356451487046,0.025191055759977356
signal_score,development,0.99,0.9064039227247717,36,31.282742670393496,11.282742670393528,-51.5596368476015,0.2222222222222222,1.2272888037195544,0.006363534546324656,-0.15748475895326852,18.5,146.402703279448,1163.163632486605,0.5216562820225434,3533,0.3877724313614492,0.496330792255957,0.3802499331735324,0.3333333333333333,-5.443909802811586,0.008759124087591242,0.2222222222222222,0.4948356451487046,0.010189640532125671
signal_score,confirmation,0.5,0.563556959342574,1867,-0.5459880792458053,-20.54598807924577,-62.671541804819,0.20460632029994644,0.6564484602931923,-0.9986237343154454,-0.9990991101678982,21.0,122.7420736159099,1218.165301415947,0.41214327740671297,3437,0.42100669188245565,0.49729435011963763,0.4161549196009794,0.4220674879485806,0.10607960661249694,0.544574982722875,0.20085698982324585,0.4952143750641454,0.54320628455048
signal_score,confirmation,0.7,0.6799306846539337,1165,1.3590696630611858,-18.640930336938776,-64.23024361043299,0.21888412017167383,0.6911314337871335,-0.9647257562790872,-0.9743925455048219,21.0,128.03200532124265,1218.165301415947,0.4151911681216329,3437,0.42100669188245565,0.49729435011963763,0.4161549196009794,0.42145922746781117,0.0452535585355518,0.33932273669661367,0.2128755364806867,0.4952143750641454,0.33895839394821065
signal_score,confirmation,0.8,0.7357094953881436,801,0.3694061392924716,-19.6305938607075,-65.34670202905599,0.21098626716604243,0.6845793006400009,-0.9142402736397456,-0.9368301367357764,21.0,130.959311574634,1218.165301415947,0.42783960271327615,3437,0.42100669188245565,0.49729435011963763,0.4161549196009794,0.4069912609238452,-1.4015430958610464,0.22529371112646857,0.20599250936329588,0.4952143750641454,0.23305208030258948
signal_score,confirmation,0.9,0.7980809449680217,368,-3.343128594966543,-23.34312859496651,-66.303881079609,0.21467391304347827,0.630541787201697,-0.6508608992119445,-0.7656987273813763,20.0,122.20045342269614,904.397966036649,0.42884096254760184,3437,0.42100669188245565,0.49729435011963763,0.4161549196009794,0.39945652173913043,-2.155017014332522,0.10158949550794748,0.20652173913043478,0.4952143750641454,0.10707011929007856
signal_score,confirmation,0.95,0.8446825612251452,176,-2.346412952290123,-22.3464129522901,-68.3720356666975,0.19318181818181818,0.652834456264158,-0.3996005384955297,-0.5208550948047892,18.5,105.41027620536249,904.397966036649,0.4444077798698783,3437,0.42100669188245565,0.49729435011963763,0.4161549196009794,0.4147727272727273,-0.623396460972836,0.05044920525224603,0.1875,0.4952143750641454,0.05120744835612453
