variant,feature,gain_importance,split_importance
lgb_arm_all103,sma60_sma120_spread_atr,359.94566106796265,43
lgb_arm_all103,sma60_slope4_dir_atr,290.77517199516296,32
lgb_arm_all103,eff12,226.22164940834045,32
lgb_arm_all103,eth_return96_dir,215.82448172569275,28
lgb_arm_all103,htf_sma60_slope4_dir_atr,183.05616974830627,26
lgb_arm_all103,htf_age_minutes,177.56173825263977,23
lgb_arm_all103,signed_slope_atr_per_bar,168.5402591228485,20
lgb_arm_all103,htf_return6_dir_atr,168.00357818603516,17
lgb_arm_all103,eff24,165.61055898666382,20
lgb_arm_all103,rv12_ratio96,158.5515103340149,15
lgb_arm_all103,between_wrong_side_share,157.80363988876343,16
lgb_arm_all103,btc_eth_return_corr96,154.49633264541626,22
lgb_arm_all103,k1_body_atr,153.58034133911133,18
lgb_arm_all103,htf_adx14,150.30209004878998,20
lgb_arm_all103,prior_range_atr,149.8737506866455,16
lgb_arm_all103,signed_volume_balance12,145.1414017677307,20
lgb_arm_all103,htf_ema30_sma60_spread_dir_atr,141.40886974334717,16
lgb_arm_all103,k1_volume_ratio20,131.80060148239136,16
lgb_arm_all103,close_range_position32_dir,129.32664966583252,19
lgb_arm_all103,utc_hour_cos,121.49803900718689,16
lgb_arm_all103,eth_close_ema30_dir_atr,118.63142108917236,13
lgb_arm_all103,utc_hour_sin,109.96331882476807,14
lgb_arm_all103,k1_to_k2_peak_atr,106.81242060661316,18
lgb_arm_all103,k2_rejection_wick_share,104.1263689994812,17
lgb_arm_all103,k2_body_clearance_atr,103.81149005889893,12
lgb_arm_all103,eth_rsi14_dir,103.1798300743103,12
lgb_arm_all103,price_extension_sma60_atr,102.18713998794556,10
lgb_arm_all103,atr_percentile384,100.19727039337158,12
lgb_arm_all103,path_efficiency32,100.19524908065796,11
lgb_arm_all103,price_volume_corr24,100.18110918998718,15
lgb_arm_all103,htf_close_ema30_dir_atr,99.80192017555237,14
lgb_arm_all103,ret_autocorr4_32,95.74826002120972,11
lgb_arm_all103,ema30_sma60_spread_atr,95.50662994384766,14
lgb_arm_all103,volume_impulse4,88.47919940948486,11
lgb_arm_all103,k2_touch_depth_atr,84.13286876678467,11
lgb_arm_all103,eth_adx14,83.9597098827362,13
lgb_arm_all103,sma60_accel4_dir_atr,81.12894058227539,9
lgb_arm_all103,eth_ema30_sma60_spread_dir_atr,78.4836995601654,10
lgb_arm_all103,candle_streak_dir,77.61561107635498,10
lgb_arm_all103,signed_return24_atr,75.3245005607605,9
lgb_arm_all103,sma60_sma160_spread_atr,75.25505065917969,7
lgb_arm_all103,direction,74.12594985961914,9
lgb_arm_all103,between_ma_side_continuity,72.8551893234253,10
lgb_arm_all103,pullback_from_extreme8_atr,70.76099061965942,8
lgb_arm_all103,signed_di_balance,70.46679973602295,7
lgb_arm_all103,return_sign_change32,70.04877996444702,7
lgb_arm_all103,ema30_sma60_spread_delta4_dir_atr,69.90999984741211,10
lgb_arm_all103,return_skew32_dir,68.59900045394897,10
lgb_arm_all103,htf_rsi14_dir,66.01823997497559,7
lgb_arm_all103,bb_release24,63.46328020095825,7
lgb_arm_all103,return_kurt32,61.88469982147217,8
lgb_arm_all103,signed_volume_balance48,52.00671911239624,6
lgb_arm_all103,prior24_range_atr,47.93918967247009,8
lgb_arm_all103,k1_range_atr,47.86768960952759,5
lgb_arm_all103,volume_ratio20,44.82901906967163,5
lgb_arm_all103,bb_width_ratio96,42.45253086090088,5
lgb_arm_all103,atr_ratio96,40.98146915435791,4
lgb_arm_all103,ema20_sma60_spread_atr,39.19705009460449,6
lgb_arm_all103,drawdown_from_high32_dir,37.31632041931152,4
lgb_arm_all103,obv_slope12_norm,36.35966920852661,5
lgb_arm_all103,breakout_atr,34.80401039123535,4
lgb_arm_all103,signed_body_atr,34.05438995361328,4
lgb_arm_all103,family_has_direct,31.44877004623413,5
lgb_arm_all103,donchian20_position_dir,31.115230560302734,8
lgb_arm_all103,range_ratio20,30.79231023788452,4
lgb_arm_all103,fee_to_risk,29.2031831741333,4
lgb_arm_all103,sma120_sma240_spread_atr,23.125,2
lgb_arm_all103,rsi14_dir,22.733450174331665,4
lgb_arm_all103,volume_ratio96,22.20199966430664,2
lgb_arm_all103,atr_change24,20.445469856262207,2
