feature,direction,development_auc,development_events,development_arm_precision,development_net_bp,confirmation_auc,confirmation_events,confirmation_arm_precision,confirmation_net_bp,audit_auc,audit_events,audit_arm_precision,audit_net_bp,minimum_future_auc
rv12_ratio96,1,0.511007623232129,354,0.403954802259887,6.102643654637075,0.523778880581206,307,0.42671009771986973,-18.351839946765985,0.5328147367931007,389,0.4961439588688946,-15.29911519606227,0.523778880581206
atr_change24,1,0.50548676986208,354,0.3954802259887006,-6.7170030667624925,0.5180550298138933,300,0.47,-5.04581499385705,0.5305609222425252,423,0.48226950354609927,-13.843587139102414,0.5180550298138933
eff24,-1,0.5298973107774752,354,0.3983050847457627,-8.761616559105116,0.5286081409118849,282,0.43617021276595747,-5.11237130195253,0.5168596734209332,332,0.4427710843373494,-20.850630182268834,0.5168596734209332
bb_width_ratio96,1,0.5042469400771435,354,0.3615819209039548,-3.0825071390009,0.5160581761606929,302,0.45695364238410596,-14.704078536808726,0.5298899570535724,342,0.47953216374269003,-14.731956145545325,0.5160581761606929
eth_rsi14_dir,-1,0.5041082438219423,354,0.4209039548022599,7.468026207306252,0.5141540459727802,463,0.43628509719222464,-9.863271584684055,0.5195650655835011,499,0.43687374749499,-14.20671620259677,0.5141540459727802
eth_close_ema30_dir_atr,-1,0.5040103802842093,354,0.4293785310734463,4.950937875910265,0.512158928714061,480,0.4375,-15.537897643459697,0.5208857555196053,509,0.4518664047151277,-11.300946412766836,0.512158928714061
atr_percentile384,1,0.5032583496158013,357,0.4005602240896359,-9.168613582152602,0.51110927825027,400,0.4125,-23.681371082080652,0.5261133774048254,512,0.46484375,-8.737486305958553,0.51110927825027
candle_streak_dir,-1,0.5124209077011854,1996,0.4003006012024048,-17.53664749084366,0.5099455466690744,1887,0.43190249072602016,-20.040833883218987,0.5110413926746662,2111,0.4358124111795358,-15.868032076219222,0.5099455466690744
k2_touch_depth_atr,1,0.5093240329226439,354,0.4124293785310734,-23.53640579344214,0.508959795522186,335,0.382089552238806,-28.46354744126326,0.5256168457071031,422,0.46445497630331756,-24.473782499251072,0.508959795522186
htf_return6_dir_atr,-1,0.5332727591780813,354,0.3700564971751412,-17.12894736359299,0.5131490208471522,389,0.42930591259640105,-11.600063578243217,0.508432164430116,426,0.45774647887323944,-17.168823257427793,0.508432164430116
family_has_coil,-1,0.5029991799710459,2914,0.3894989704873027,-19.667854431762358,0.5082747878994142,2796,0.4259656652360515,-21.212735627362513,0.509863712014525,3095,0.4345718901453958,-15.489874896066377,0.5082747878994142
rsi14_dir,-1,0.5130047143228349,354,0.3813559322033898,-19.99358486503459,0.5076293700708102,327,0.39755351681957185,-31.60442223282333,0.5139922137777726,357,0.41456582633053224,-17.120352964245463,0.5076293700708102
k2_to_k1_volume_ratio,-1,0.5033594190280463,354,0.3785310734463277,-27.718383528720285,0.5068837622806499,221,0.4298642533936652,-6.671353414647828,0.5113601447841623,198,0.4444444444444444,-16.11934438157262,0.5068837622806499
return_skew32_dir,1,0.5099149262142672,354,0.3954802259887006,-11.44612669135757,0.5089587536854974,234,0.4188034188034188,-24.23952082171609,0.5068391312950268,247,0.4291497975708502,-10.095901183751764,0.5068391312950268
prior_range_atr,1,0.5016913519004087,354,0.3587570621468927,-10.249028547466043,0.5170184023087101,241,0.4107883817427386,-23.28722951591945,0.5062327603263462,292,0.4657534246575342,-17.10552993623158,0.5062327603263462
eth_btc_relative16_dir,-1,0.5000080990513986,354,0.3954802259887006,3.6835634635704126,0.5061350289804238,713,0.4361851332398317,-13.881970551128692,0.5065583501123125,768,0.44140625,-13.900427366743452,0.5061350289804238
k2_body_clearance_atr,-1,0.5264407031326456,354,0.4067796610169492,-19.52307348593957,0.5056887755987957,369,0.4065040650406504,-24.979145432871835,0.5312301416417406,485,0.465979381443299,-23.512118586632308,0.5056887755987957
ret_autocorr4_32,-1,0.5070407753491872,354,0.4096045197740113,-20.50952584541309,0.5254819362882137,442,0.46153846153846156,-23.609479259025278,0.5055679054014734,419,0.4486873508353222,-13.883589613371363,0.5055679054014734
signed_return24_atr,-1,0.5241338233259429,354,0.384180790960452,-26.302786876901727,0.5157751438602828,349,0.4068767908309456,-24.359205027313603,0.5048925757381781,384,0.4010416666666667,-28.846588070460168,0.5048925757381781
bb_release24,1,0.5030516550748994,354,0.403954802259887,-1.5759040155456847,0.514265175219567,282,0.4574468085106383,-15.038465029868057,0.5045431268258052,307,0.46254071661237783,-20.65987505048034,0.5045431268258052
k1_close_location,-1,0.5005858313844991,354,0.3757062146892655,-25.8281051131159,0.5162484849958152,279,0.4050179211469534,-26.90140840879038,0.5042828586725014,304,0.39144736842105265,-12.439148398849552,0.5042828586725014
ema30_slope4_dir_atr,-1,0.5195916053332253,354,0.3785310734463277,-26.726969840830915,0.5041562338298263,372,0.4489247311827957,-12.606783525338136,0.5145607593021497,425,0.44,-27.932413857164832,0.5041562338298263
signed_slope_atr_per_bar,-1,0.5195916053332253,354,0.3785310734463277,-26.726969840830915,0.5041562338298263,372,0.4489247311827957,-12.606783525338136,0.5145607593021497,425,0.44,-27.932413857164832,0.5041562338298263
family_has_direct,1,0.5195529661088445,2110,0.4033175355450237,-16.468937469674422,0.50414216903453,2145,0.42424242424242425,-20.86452005039927,0.5095340487191724,2378,0.436080740117746,-16.13960535473053,0.50414216903453
utc_hour_sin,1,0.5085267825505938,372,0.43010752688172044,-15.43187955035281,0.5066785204529907,345,0.4405797101449275,-21.578684338098768,0.5040665262275812,345,0.4289855072463768,-20.358334946748567,0.5040665262275812
btc_eth_return_corr96,-1,0.5116886184705616,354,0.4124293785310734,-10.74238972874693,0.5040565647866145,921,0.4180238870792617,-20.101601282462134,0.5085156713725398,1124,0.4332740213523132,-15.592221074044668,0.5040565647866145
signed_close_atr,-1,0.5093959120038065,354,0.3926553672316384,-24.076701203957313,0.5027862185842829,311,0.41479099678456594,-20.776327019790564,0.5214944542079352,304,0.4769736842105263,-9.930377284413687,0.5027862185842829
signal_score,-1,0.503669207744043,354,0.3757062146892655,-27.301095884219215,0.5027056498803624,355,0.4112676056338028,-22.36420528817367,0.5125286600481838,324,0.49691358024691357,-9.525780587357167,0.5027056498803624
eth_return96_dir,-1,0.5035956413605056,354,0.4011299435028249,-16.743250478378787,0.5020541546710747,592,0.41047297297297297,-29.85450800517049,0.5451679449727076,740,0.4783783783783784,-12.132016673162068,0.5020541546710747
k1_volume_ratio20,1,0.5207679925488727,355,0.38309859154929576,-18.85269711522704,0.5020487718481835,228,0.49122807017543857,-0.976422408253078,0.5132767309505243,260,0.45384615384615384,-19.71815380512264,0.5020487718481835
signed_return8_atr,1,0.5028080086119913,354,0.3644067796610169,-19.60469059400818,0.5019999791632662,398,0.4296482412060301,-10.542996128739864,0.5040621617532384,476,0.3907563025210084,-29.001823245399223,0.5019999791632662
ema30_side_age,-1,0.5288039388386634,2297,0.40748802786242927,-16.97826378272849,0.5017657395477735,2220,0.42162162162162165,-20.650081454496533,0.5238242106120738,2434,0.4457682826622843,-14.178221250040403,0.5017657395477735
eth_adx14,1,0.5035041895717964,354,0.3954802259887006,-16.691851169448842,0.5079155278812861,283,0.4134275618374558,-27.839778095287535,0.5010905366557652,331,0.4199395770392749,-10.850112574081372,0.5010905366557652
k1_to_k2_peak_atr,-1,0.5168234170572772,354,0.3728813559322034,-31.00337819987931,0.5009588370324323,372,0.3951612903225806,-22.440236306631917,0.514910790144435,350,0.43714285714285717,-18.914677970295696,0.5009588370324323
