variant,feature,gain_importance,split_importance
lgb_profitable_runner_all103,atr_percentile384,1678.4178836345673,46
lgb_profitable_runner_all103,fee_to_risk,1211.8401131629944,47
lgb_profitable_runner_all103,eth_return96_dir,865.3626747131348,56
lgb_profitable_runner_all103,atr_pct,642.6951322555542,24
lgb_profitable_runner_all103,atr_change24,507.97980403900146,27
lgb_profitable_runner_all103,btc_eth_return_corr96,379.89271879196167,24
lgb_profitable_runner_all103,k2_rejection_wick_share,359.38707065582275,29
lgb_profitable_runner_all103,atr_ratio96,351.82000160217285,14
lgb_profitable_runner_all103,sma60_sma120_spread_atr,340.7240710258484,28
lgb_profitable_runner_all103,eff12,330.9860305786133,25
lgb_profitable_runner_all103,htf_return6_dir_atr,282.105016708374,20
lgb_profitable_runner_all103,k1_volume_ratio20,222.10821151733398,17
lgb_profitable_runner_all103,rv12_ratio96,212.28961896896362,15
lgb_profitable_runner_all103,k1_body_atr,193.20308113098145,19
lgb_profitable_runner_all103,htf_age_minutes,191.97436046600342,13
lgb_profitable_runner_all103,ema30_sma60_spread_atr,188.31399965286255,16
lgb_profitable_runner_all103,close_range_position32_dir,185.133451461792,24
lgb_profitable_runner_all103,price_extension_sma60_atr,181.80512118339539,14
lgb_profitable_runner_all103,signed_volume_balance12,181.3343906402588,19
lgb_profitable_runner_all103,bb_width_ratio96,171.9335994720459,9
lgb_profitable_runner_all103,htf_adx14,168.51640033721924,14
lgb_profitable_runner_all103,sma120_sma240_spread_atr,158.773579120636,15
lgb_profitable_runner_all103,sma60_sma160_spread_atr,158.32129001617432,12
lgb_profitable_runner_all103,sma60_slope4_dir_atr,155.98388242721558,16
lgb_profitable_runner_all103,ma_bundle_width_atr,149.599702835083,10
lgb_profitable_runner_all103,return_kurt32,149.32711005210876,16
lgb_profitable_runner_all103,signed_volume_balance48,140.07184219360352,10
lgb_profitable_runner_all103,prior24_range_atr,128.04173851013184,9
lgb_profitable_runner_all103,htf_sma60_slope4_dir_atr,127.64374876022339,12
lgb_profitable_runner_all103,signed_body_atr,126.77425193786621,10
lgb_profitable_runner_all103,eth_adx14,125.14345932006836,10
lgb_profitable_runner_all103,direction,124.12606906890869,8
lgb_profitable_runner_all103,ret_autocorr1_32,120.5908784866333,8
lgb_profitable_runner_all103,return_skew32_dir,117.29840278625488,7
lgb_profitable_runner_all103,eff24,113.6230001449585,7
lgb_profitable_runner_all103,k2_body_clearance_atr,104.23140239715576,6
lgb_profitable_runner_all103,signed_slope_atr_per_bar,102.87396049499512,6
lgb_profitable_runner_all103,eth_return16_dir,101.9148302078247,11
lgb_profitable_runner_all103,htf_ema30_sma60_spread_dir_atr,99.03193855285645,13
lgb_profitable_runner_all103,signed_di_balance,95.4337100982666,8
lgb_profitable_runner_all103,eth_ema30_sma60_spread_dir_atr,94.87661862373352,8
lgb_profitable_runner_all103,bb_release24,94.582679271698,10
lgb_profitable_runner_all103,eth_btc_relative16_dir,90.98587128520012,8
lgb_profitable_runner_all103,prior_range_atr,77.75417137145996,6
