posterior_peak_rank,instrument,asset,event_i,event_time,event_close,missed_v3_arrow_i,missed_v3_arrow_time,missed_v3_arrow_lag,frozen_positive_label,v3_timely_hit,a_timely_hit,future24_high_peak_return,large_peak,owner_i,owner_event_id,owner_signal_time,owner_signal_close,owner_age_bars,reference_covered,reference_active_at_event,reference_exit_on_event,reference_covered_at_missed_arrow,actual_status,actual_status_at_missed_arrow,actual_live,current_mark_net_bp,missed_arrow_mark_net_bp,actual_entry_i,actual_entry_price,actual_initial_stop,actual_initial_risk,actual_exit_i,posterior_owner_exit_reason,owner_natural_exit,owner_censored,owner_natural_net_bp,posterior_owner_exit_time
1,okx:APR-USDT-SWAP:segment0,APR,2468,2026-08-11 21:00:00+00:00,0.2066,2468,2026-08-11 21:00:00+00:00,0,True,True,False,1.2071636011616649,True,2309,53da369604ed6cdd40deeedd241b,2026-08-05 06:00:00+00:00,0.2093,159,True,True,False,True,actual_live,actual_live,True,-139.56001912960312,-139.56001912960312,2310.0,0.2091,0.18080000000000002,0.028299999999999992,2500.0,trailing_stop,True,False,10171.296030607364,2026-08-13 05:00:00+00:00
2,okx:USELESS-USDT-SWAP:segment0,USELESS,2992,2026-09-02 17:00:00+00:00,0.11989,2992,2026-09-02 17:00:00+00:00,0,True,True,False,0.7068979898240053,True,2891,3d6515caeb14f579c0acfb1f49f9,2026-08-29 12:00:00+00:00,0.06192,101,True,True,False,True,actual_live,actual_live,True,9326.457963530742,9326.457963530742,2892.0,0.06197,0.05861,0.003359999999999995,3081.0,trailing_stop,True,False,24812.983701791196,2026-09-06 10:00:00+00:00
3,okx:BICO-USDT-SWAP:segment0,BICO,2324,2026-08-05 21:00:00+00:00,0.02913,2324,2026-08-05 21:00:00+00:00,0,True,True,False,0.5928595949193272,True,2269,10b1ef46576924afbb871dfce6f8,2026-08-03 14:00:00+00:00,0.0195,55,True,True,False,True,actual_live,actual_live,True,4918.461538461538,4918.461538461538,2270.0,0.0195,0.01484,0.004659999999999999,2408.0,trailing_stop,True,False,15887.692307692307,2026-08-09 09:00:00+00:00
4,okx:BICO-USDT-SWAP:segment0,BICO,2240,2026-08-02 09:00:00+00:00,0.01194,2240,2026-08-02 09:00:00+00:00,0,True,True,False,0.5678391959798996,True,2173,bb67962eb32f35c3b33624f26a79,2026-07-30 14:00:00+00:00,0.01168,67,True,True,False,True,actual_live,actual_live,True,211.36246786632285,211.36246786632285,2174.0,0.01167,0.01139,0.000279999999999999,2259.0,trailing_stop,True,False,2944.867180805486,2026-08-03 04:00:00+00:00
5,okx:DOOD-USDT-SWAP:segment0,DOOD,3079,2026-09-06 08:00:00+00:00,0.001521,3079,2026-09-06 08:00:00+00:00,0,True,True,False,0.5410913872452334,True,2810,3ead3cd45e8e0fe6e5bf4c547fe5,2026-08-26 03:00:00+00:00,0.001323,269,True,True,False,True,actual_live,actual_live,True,1467.915407854985,1467.915407854985,2811.0,0.001324,0.001276,4.800000000000008e-05,3125.0,trailing_stop,True,False,3250.3927492447106,2026-09-08 06:00:00+00:00
6,okx:ICX-USDT-SWAP:segment0,ICX,3038,2026-09-04 15:00:00+00:00,0.01089,3038,2026-09-04 15:00:00+00:00,0,True,True,False,0.4949494949494948,True,3007,e07f6fc8db8fd09aa04b60fbb462,2026-09-03 08:00:00+00:00,0.00929,31,True,True,False,True,actual_live,actual_live,True,1714.9137931034475,1714.9137931034475,3008.0,0.00928,0.00824,0.0010399999999999993,3109.0,trailing_stop,True,False,3719.2241379310362,2026-09-07 14:00:00+00:00
7,okx:MUBARAK-USDT-SWAP:segment0,MUBARAK,2634,2026-08-18 19:00:00+00:00,0.017073,2634,2026-08-18 19:00:00+00:00,0,True,True,False,0.4821648216482164,True,2576,02e83af6c794e00775c35b3844d0,2026-08-16 09:00:00+00:00,0.016145,58,True,True,False,True,exited_before_event,exited_before_event,False,,,2577.0,0.016138,0.015090999999999999,0.001047000000000001,2606.0,trailing_stop,True,False,211.75114636262205,2026-08-17 15:00:00+00:00
8,okx:ARB-USDT-SWAP:segment0,ARB,3065,2026-09-05 18:00:00+00:00,0.13922,3065,2026-09-05 18:00:00+00:00,0,True,True,False,0.48146817985921553,True,2942,a0c41b46c19a9f1486e7f16adeee,2026-08-31 15:00:00+00:00,0.08708,123,True,True,False,True,actual_live,actual_live,True,5965.76185555173,5965.76185555173,2943.0,0.08709,0.08444,0.0026499999999999996,3104.0,trailing_stop,True,False,9121.118383281664,2026-09-07 09:00:00+00:00
9,okx:ROBO-USDT-SWAP:segment0,ROBO,2526,2026-08-14 07:00:00+00:00,0.01481,2526,2026-08-14 07:00:00+00:00,0,True,True,False,0.46995273463875775,True,2491,621043bd69a9f8671c8b3a459ec6,2026-08-12 20:00:00+00:00,0.01318,35,True,True,False,True,actual_live,actual_live,True,1216.7223065250378,1216.7223065250378,2492.0,0.01318,0.011500000000000002,0.0016799999999999992,2555.0,trailing_stop,True,False,2718.9984825493198,2026-08-15 12:00:00+00:00
10,okx:GPS-USDT-SWAP:segment0,GPS,2593,2026-08-17 02:00:00+00:00,0.01191,2593,2026-08-17 02:00:00+00:00,0,True,True,False,0.46431570109151976,True,2271,60f7ff2844d375ca04eeef353f7e,2026-08-03 16:00:00+00:00,0.009936,322,True,True,False,True,actual_live,actual_live,True,1947.4437299035374,1947.4437299035374,2272.0,0.009952,0.008136,0.0018160000000000016,2641.0,trailing_stop,True,False,5208.094855305465,2026-08-19 02:00:00+00:00
