group_key,group,missed_events,unique_old_parents,reference_covered_events,actual_live_events,same_bar_natural_exits,unscored_warmup_events,owner_age_median_bars,owner_age_p10_bars,owner_age_p90_bars,live_mark_net_bp_median,live_mark_net_bp_mean,live_positive_mark_fraction,posterior_unique_natural_parents,posterior_parent_mean_net_bp,posterior_parent_net_win_rate
actual_status,actual_live,719,557,719,719,0,0,62.0,28.0,198.0,391.26343090033265,703.4052327558763,0.8762169680111266,518,1364.3446304754507,0.8976833976833977
actual_status,exited_before_event,4,3,4,0,0,0,293.0,75.4,507.1,,,,3,399.92073013751445,1.0
actual_status,unscored_warmup_parent,77,0,77,0,0,77,343.0,40.0,1255.8000000000004,,,,0,,
