arm,period,start,end,anchors,positive_events,negative_events,unknown_events,already_tracking,new_tracking_opportunities,signals,unique_matched,unmatched,duplicates,unknown_signals,precision_all,precision_adjudicated,eligible_asset_hours,alerts_per_day,alerts_per_100_asset_days,false_alerts_per_100_asset_days,matched_median_lag,matched_p90_lag,child_median_age,hits_0,recall_0,hits_1,recall_1,hits_2,recall_2,hits_6,recall_6,large_positive_events,large_recall_1,target_80_met
early,full,2026-07-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,8046,1660,6240,146,0,1660,10386,1519,8687,0,180,0.14625457346427884,0.14883401920438957,395158,170.2622950819672,63.07957829526417,52.760667884744834,0.0,0.0,,1463,0.8813253012048192,1463,0.8813253012048192,1469,0.8849397590361445,1519,0.9150602409638554,947,0.8426610348468849,True
early,first31,2026-07-10 00:00:00+00:00,2026-08-10 00:00:00+00:00,3972,630,3342,0,0,630,4981,595,4386,0,0,0.11945392491467577,0.11945392491467577,199779,160.67741935483872,59.838121123841844,52.69022269607917,0.0,0.0,,584,0.926984126984127,584,0.926984126984127,586,0.9301587301587302,595,0.9444444444444444,280,0.9,True
early,last30,2026-08-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,4074,1030,2898,146,0,1030,5405,924,4301,0,180,0.17095282146160962,0.17684210526315788,195379,180.16666666666666,66.39403415924946,52.83269952246659,0.0,0.0,,879,0.8533980582524272,879,0.8533980582524272,883,0.8572815533980582,924,0.8970873786407767,667,0.8185907046476761,True
early,case_night,2026-08-19 10:00:00+00:00,2026-08-19 22:00:00+00:00,186,144,42,0,0,144,224,133,91,0,0,0.59375,0.59375,3252,448.0,165.31365313653137,67.15867158671587,0.0,0.0,,129,0.8958333333333334,129,0.8958333333333334,129,0.8958333333333334,134,0.9305555555555556,91,0.8901098901098901,True
early,week_2026-07-06,2026-07-10 00:00:00+00:00,2026-07-13 00:00:00+00:00,385,51,334,0,0,51,486,47,439,0,0,0.09670781893004116,0.09670781893004116,19207,162.0,60.72785963450825,54.85500078096527,0.0,0.0,,45,0.8823529411764706,45,0.8823529411764706,45,0.8823529411764706,47,0.9215686274509803,30,0.9,True
early,week_2026-07-13,2026-07-13 00:00:00+00:00,2026-07-20 00:00:00+00:00,811,111,700,0,0,111,984,108,876,0,0,0.10975609756097561,0.10975609756097561,44996,140.57142857142858,52.48466530358254,46.72415325806738,0.0,0.0,,106,0.954954954954955,106,0.954954954954955,107,0.963963963963964,108,0.972972972972973,44,0.9772727272727273,True
early,week_2026-07-20,2026-07-20 00:00:00+00:00,2026-07-27 00:00:00+00:00,935,172,763,0,0,172,1229,162,1067,0,0,0.13181448331977216,0.13181448331977216,45192,175.57142857142858,65.26818906001063,56.664896441848114,0.0,0.0,,158,0.9186046511627907,158,0.9186046511627907,159,0.9244186046511628,162,0.9418604651162791,78,0.8589743589743589,True
early,week_2026-07-27,2026-07-27 00:00:00+00:00,2026-08-03 00:00:00+00:00,855,98,757,0,0,98,1031,94,937,0,0,0.09117361784675072,0.09117361784675072,45192,147.28571428571428,54.753053637812,49.76101964949549,0.0,0.0,,92,0.9387755102040817,92,0.9387755102040817,92,0.9387755102040817,94,0.9591836734693877,49,0.9183673469387755,True
early,week_2026-08-03,2026-08-03 00:00:00+00:00,2026-08-10 00:00:00+00:00,986,198,788,0,0,198,1251,184,1067,0,0,0.14708233413269384,0.14708233413269384,45192,178.71428571428572,66.43653744025491,56.664896441848114,0.0,0.0,,183,0.9242424242424242,183,0.9242424242424242,183,0.9242424242424242,184,0.9292929292929293,79,0.8860759493670886,True
early,week_2026-08-10,2026-08-10 00:00:00+00:00,2026-08-17 00:00:00+00:00,807,107,700,0,0,107,985,105,880,0,0,0.1065989847715736,0.1065989847715736,45420,140.71428571428572,52.04755614266843,46.49933949801849,0.0,0.0,,103,0.9626168224299065,103,0.9626168224299065,104,0.9719626168224299,105,0.9813084112149533,53,0.9622641509433962,True
early,week_2026-08-17,2026-08-17 00:00:00+00:00,2026-08-24 00:00:00+00:00,1155,549,606,0,0,549,1611,463,1148,0,0,0.28739913097454994,0.28739913097454994,45528,230.14285714285714,84.9235635213495,60.51660516605166,0.0,0.0,,424,0.7723132969034608,424,0.7723132969034608,427,0.7777777777777778,463,0.843351548269581,398,0.7386934673366834,False
early,week_2026-08-24,2026-08-24 00:00:00+00:00,2026-08-31 00:00:00+00:00,834,94,740,0,0,94,1063,86,977,0,0,0.08090310442144873,0.08090310442144873,45679,151.85714285714286,55.85060968935397,51.33212198165459,0.0,0.0,,86,0.9148936170212766,86,0.9148936170212766,86,0.9148936170212766,86,0.9148936170212766,70,0.8857142857142857,True
early,week_2026-08-31,2026-08-31 00:00:00+00:00,2026-09-07 00:00:00+00:00,1008,261,747,0,0,261,1390,251,1139,0,0,0.18057553956834532,0.18057553956834532,45696,198.57142857142858,73.00420168067227,59.82142857142857,0.0,0.0,,247,0.946360153256705,247,0.946360153256705,247,0.946360153256705,251,0.9616858237547893,138,0.9492753623188406,True
early,week_2026-09-07,2026-09-07 00:00:00+00:00,2026-09-09 00:00:00+00:00,270,19,105,146,0,19,356,19,157,0,180,0.05337078651685393,0.10795454545454546,13056,178.0,65.44117647058823,28.860294117647058,0.0,0.0,,19,1.0,19,1.0,19,1.0,19,1.0,8,1.0,True
