arm,period,candidates,valid,matched,invalid,natural_exits,censored,mean_net_bp,mean_gross_bp,wins,win_rate,natural_wins,natural_win_rate,median_peak_r,median_net_r,max_peak_r,max_net_r,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,asset_balanced_excess_bp,permutation_assets,permutation_p,account_return_not_computed,holm_p,forward_known,forward_success_rate,control_forward_known,control_forward_success_rate
v1,full,86,86,80,0,78,8,643.9492051333505,663.9492051333505,41,0.4767441860465116,37,0.4743589743589743,1.5531223162802117,-0.6014295588235312,44.34215167548499,26.149044091710756,683.994736114565,279.7954353480858,404.1993007664791,484.2109539736383,69,0.082991700829917,True,0.165983401659834,,,,
v1,first31,35,35,33,0,35,0,-122.81504516455074,-102.81504516455072,11,0.3142857142857143,11,0.3142857142857143,0.7910447761194044,-1.032607843137254,16.32500000000003,7.28905000000002,-94.58789413418606,120.63774503646135,-215.2256391706474,-193.72423778613967,29,0.9497050294970504,True,,,,,
v1,last30,51,51,47,0,43,8,1170.159965141714,1190.159965141714,30,0.5882352941176471,26,0.6046511627906976,2.6252723311546866,0.7109311163895505,44.34215167548499,26.149044091710756,1230.6591360764542,391.5444519498646,839.1146841265893,904.8863631650228,42,0.034996500349965,True,,,,,
v1,case_night,13,13,12,0,13,0,2431.828483672508,2451.828483672508,12,0.9230769230769232,12,0.9230769230769232,12.00000000000003,7.704137931034503,40.16666666666664,20.098083333333317,2477.148212074491,1153.5125862253844,1323.635625849106,1323.635625849106,12,0.0284971502849715,True,,,,,
v1,week_2026-07-06,4,4,3,0,4,0,-199.45954331308303,-179.45954331308303,1,0.25,1,0.25,1.7813157894736835,-1.0443228744939268,2.798165137614681,0.9343669724770666,-84.68715584404652,-11.491982413775654,-73.19517343027086,-73.19517343027086,3,,True,,,,,
v1,week_2026-07-13,7,7,7,0,7,0,-127.6461991398576,-107.6461991398576,2,0.2857142857142857,2,0.2857142857142857,0.7234042553191491,-1.0340473372781074,2.83003952569171,1.2107004608294918,-127.6461991398576,293.555613864854,-421.20181300471165,-421.20181300471165,7,1.0,True,,,,,
v1,week_2026-07-20,2,2,1,0,2,0,-280.09083337379394,-260.09083337379394,1,0.5,1,0.5,2.5330065359477176,-0.4115928104575146,4.311111111111121,0.2094222222222247,73.16770186335476,-195.29910157912755,268.46680344248233,268.46680344248233,1,,True,,,,,
v1,week_2026-07-27,9,9,9,0,9,0,-14.001764762198745,5.998235237801263,2,0.2222222222222222,2,0.2222222222222222,1.2293577981651438,-1.0439062500000005,16.32500000000003,7.28905000000002,-14.001764762198745,107.87682010137765,-121.8785848635764,-121.8785848635764,9,0.657034296570343,True,,,,,
v1,week_2026-08-03,13,13,13,0,13,0,-147.76672799388945,-127.76672799388945,5,0.3846153846153846,5,0.3846153846153846,0.5298507462686545,-1.0154064303380048,6.371428571428562,3.320857142857136,-147.76672799388945,91.15691977363858,-238.92364776752808,-238.92364776752808,13,0.936006399360064,True,,,,,
v1,week_2026-08-10,7,7,7,0,7,0,-531.6509300437552,-511.6509300437551,1,0.1428571428571428,1,0.1428571428571428,0.3055555555555534,-1.0497729729729746,2.7194767441860415,0.4196831395348818,-531.6509300437552,-253.9220691127253,-277.72886093102994,-277.72886093102994,7,0.837916208379162,True,,,,,
v1,week_2026-08-17,20,20,19,0,20,0,2037.5974643630705,2057.5974643630702,18,0.9,18,0.9,10.260817899892771,6.708416021795216,40.16666666666664,20.098083333333317,2045.471449705931,969.7915070862896,1075.6799426196417,1075.6799426196417,19,0.0084991500849915,True,,,,,
v1,week_2026-08-24,9,9,9,0,9,0,2207.828513682486,2227.828513682486,4,0.4444444444444444,4,0.4444444444444444,1.1047573282075938,-1.011994436717664,44.34215167548499,26.149044091710756,2207.828513682486,31.734334832791205,2176.094178849695,2176.094178849695,9,0.4517548245175482,True,,,,,
v1,week_2026-08-31,10,10,10,0,6,4,305.6413552425221,325.6413552425221,4,0.4,3,0.5,1.6124593559890954,-0.3773231785004756,3.925992241122053,2.066225255972689,305.6413552425221,165.24802116554676,140.39333407697535,140.39333407697535,10,0.4284571542845715,True,,,,,
v1,week_2026-09-07,5,5,2,0,1,4,-55.82094605905818,-35.82094605905817,3,0.6,0,0.0,0.8437500000000006,0.1326879795396402,1.34910485933504,0.4194338624338619,-114.14590704032832,-92.04206717868888,-22.103839861639457,-22.103839861639457,2,,True,,,,,
v2,full,1414,1414,1394,0,1290,124,121.32145806194907,141.3214580619491,511,0.3613861386138614,431,0.3341085271317829,1.1068540244792584,-1.0283648279583626,56.23333333333337,33.31074222222226,115.19797391519582,180.38609330069664,-65.1881193855008,4.3758634581249245,271,0.4362563743625637,True,0.4362563743625637,,,,
v2,first31,656,656,645,0,656,0,-139.87820301009677,-119.87820301009678,158,0.2408536585365853,158,0.2408536585365853,0.8709775349119604,-1.0410498866213156,19.732544378698226,12.039725190839707,-139.98085155004466,43.33681477164865,-183.31766632169337,-152.98272044293475,257,1.0,True,,,,,
