arm,period,start,end,anchors,positive_events,negative_events,unknown_events,already_tracking,new_tracking_opportunities,signals,unique_matched,unmatched,duplicates,unknown_signals,precision_all,precision_adjudicated,eligible_asset_hours,false_alerts_per_100_asset_days,hits_0,recall_0,new_tracking_recall_0,hits_1,recall_1,new_tracking_recall_1,hits_2,recall_2,new_tracking_recall_2,hits_6,recall_6,new_tracking_recall_6,large_positive_events,large_recall_1,target_80_met,alerts_per_day,alerts_per_100_asset_days,matched_median_lag,matched_p90_lag,child_median_age
v1,full,2026-07-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,8046,1660,6240,146,63,1597,86,34,48,0,4,0.3953488372093023,0.4146341463414634,395158,0.2915289580370383,10,0.0060240963855421,0.0062617407639323,14,0.008433734939759,0.0087664370695053,19,0.0114457831325301,0.0118973074514715,34,0.0204819277108433,0.02128991859737,947,0.0116156282998944,False,,,,,
v1,first31,2026-07-10 00:00:00+00:00,2026-08-10 00:00:00+00:00,3972,630,3342,0,14,616,35,13,22,0,0,0.3714285714285714,0.3714285714285714,199779,0.2642920427071914,3,0.0047619047619047,0.0048701298701298,5,0.0079365079365079,0.0081168831168831,6,0.0095238095238095,0.0097402597402597,13,0.0206349206349206,0.0211038961038961,280,0.0178571428571428,False,,,,,
v1,last30,2026-08-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,4074,1030,2898,146,49,981,51,21,26,0,4,0.4117647058823529,0.4468085106382978,195379,0.3193792577503211,7,0.0067961165048543,0.0071355759429153,9,0.0087378640776699,0.0091743119266055,13,0.0126213592233009,0.0132517838939857,21,0.0203883495145631,0.0214067278287461,667,0.0089955022488755,False,,,,,
v1,case_night,2026-08-19 10:00:00+00:00,2026-08-19 22:00:00+00:00,186,144,42,0,7,137,13,9,4,0,0,0.6923076923076923,0.6923076923076923,3252,2.952029520295203,4,0.0277777777777777,0.0291970802919708,5,0.0347222222222222,0.0364963503649635,6,0.0416666666666666,0.0437956204379562,8,0.0555555555555555,0.0583941605839416,91,0.0329670329670329,False,,,,,
v1,week_2026-07-06,2026-07-10 00:00:00+00:00,2026-07-13 00:00:00+00:00,385,51,334,0,1,50,4,2,2,0,0,0.5,0.5,19207,0.2499088873848076,1,0.0196078431372549,0.02,2,0.0392156862745098,0.04,2,0.0392156862745098,0.04,2,0.0392156862745098,0.04,30,0.0666666666666666,False,,,,,
v1,week_2026-07-13,2026-07-13 00:00:00+00:00,2026-07-20 00:00:00+00:00,811,111,700,0,2,109,7,1,6,0,0,0.1428571428571428,0.1428571428571428,44996,0.3200284469730642,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.009009009009009,0.0091743119266055,44,0.0,False,,,,,
v1,week_2026-07-20,2026-07-20 00:00:00+00:00,2026-07-27 00:00:00+00:00,935,172,763,0,1,171,2,1,1,0,0,0.5,0.5,45192,0.0531067445565586,0,0.0,0.0,1,0.005813953488372,0.0058479532163742,1,0.005813953488372,0.0058479532163742,1,0.005813953488372,0.0058479532163742,78,0.0128205128205128,False,,,,,
v1,week_2026-07-27,2026-07-27 00:00:00+00:00,2026-08-03 00:00:00+00:00,855,98,757,0,1,97,9,4,5,0,0,0.4444444444444444,0.4444444444444444,45192,0.2655337227827934,1,0.010204081632653,0.0103092783505154,1,0.010204081632653,0.0103092783505154,1,0.010204081632653,0.0103092783505154,4,0.0408163265306122,0.0412371134020618,49,0.0204081632653061,False,,,,,
v1,week_2026-08-03,2026-08-03 00:00:00+00:00,2026-08-10 00:00:00+00:00,986,198,788,0,9,189,13,5,8,0,0,0.3846153846153846,0.3846153846153846,45192,0.4248539564524695,1,0.005050505050505,0.0052910052910052,1,0.005050505050505,0.0052910052910052,2,0.0101010101010101,0.0105820105820105,5,0.0252525252525252,0.0264550264550264,79,0.0126582278481012,False,,,,,
v1,week_2026-08-10,2026-08-10 00:00:00+00:00,2026-08-17 00:00:00+00:00,807,107,700,0,3,104,7,2,5,0,0,0.2857142857142857,0.2857142857142857,45420,0.2642007926023778,1,0.0093457943925233,0.0096153846153846,1,0.0093457943925233,0.0096153846153846,2,0.0186915887850467,0.0192307692307692,2,0.0186915887850467,0.0192307692307692,53,0.0188679245283018,False,,,,,
