instrument,asset,symbol,venue,minutes,decision_i,bar_open,confirmed_at,open,high,low,close,volume,atr,rv,expansion,ready,s20,e20,s60,e60,s120,e120,md,sb,middle,prog_dense,prog_dense_hits,prog_recent_dense,prog_prior_high,prog_prior_low,prog_advance,prog_volume_base,prog_volume_ratio,prog_efficiency,prog_close_position,prog_up,fast_high,early_condition,tag_recent_density,tag_above_six,tag_md_ge_signal,tag_middle_rising,tag_advance,tag_volume,tag_efficiency,tag_close_position,breadth_valid,breadth_above_fast,breadth_positive_return,breadth_joint,early,confirmed,parent_i,frozen_parent_high,confirm_age,candidate_edge,cooldown_blocked
okx:0G-USDT-SWAP:segment0,0G,0G-USDT-SWAP,okx,60,2654,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,0.1405,0.1441,0.1404,0.1433,438992.0,0.0017546626997726185,1.9127524966449971,2.3052652578312944,True,0.14093,0.14150199831976895,0.14764499999999997,0.14670364216250495,0.1547375,0.1511063118539714,-0.007890211601008335,-0.008401505575700895,0.13871211472429504,False,0.0,False,0.1426,0.1362,2.1637063009565214,229508.0,1.1513324154277846,0.5806451612903274,0.7837837837837857,False,0.14150199831976895,True,False,False,True,True,True,False,True,True,True,True,True,True,True,False,2654.0,0.1426,,True,False
okx:0G-USDT-SWAP:segment0,0G,0G-USDT-SWAP,okx,60,2655,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,0.1435,0.1476,0.1433,0.1465,840226.0,0.001936472506931717,3.4818928114109062,2.4506134430037307,True,0.14106000000000002,0.14197799847979095,0.14746333333333334,0.14669696537029167,0.15464583333333334,0.15103017446795533,-0.00725810921321407,-0.008285119608068702,0.13924708986722745,False,0.0,False,0.1441,0.1362,3.7968875336622046,229508.0,2.129026729641959,0.7078651685393266,0.7441860465116237,False,0.14197799847979095,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,2654.0,0.1426,,False,False
okx:1INCH-USDT-SWAP:segment0,1INCH,1INCH-USDT-SWAP,okx,60,2654,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,0.08358,0.085,0.08353,0.08479,380414.0,0.00042434924265908046,4.548312081158796,4.2743173230481535,True,0.0832345,0.08329410813884452,0.08290416666666665,0.08298432327987018,0.08270008333333334,0.08287752232442411,0.00021843769342130837,0.0001085443624873154,0.08338438211764866,True,10.0,True,0.08365,0.08278,4.66107160382598,83638.5,2.4217595166500274,0.7117117117117064,0.8571428571428571,True,0.08329410813884452,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2654.0,0.08365,0.0,True,False
okx:1INCH-USDT-SWAP:segment0,1INCH,1INCH-USDT-SWAP,okx,60,2655,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,0.08477,0.08792,0.08472,0.08605,1589482.0,0.0006226100110405744,18.690333125595288,7.540958433077385,True,0.083371,0.08355657403038315,0.0829625,0.0830848372706941,0.08272825,0.08292995997195429,0.00040807429075288837,0.00014405429809973927,0.08371384387897356,True,10.0,True,0.085,0.08278,7.896861203905032,83638.5,8.150512822045668,0.535714285714287,0.415625,False,0.08355657403038315,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,2654.0,0.08365,,False,False
okx:2Z-USDT-SWAP:segment0,2Z,2Z-USDT-SWAP,okx,60,2654,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,0.04813,0.04837,0.04766,0.04829,156740.0,0.0004943078178416604,2.341062693700758,1.4862383387871567,True,0.04695149999999999,0.04717973335713388,0.04796366666666666,0.047744758330413375,0.0488375,0.04872247429384002,-0.0008149486145298743,-0.0010977813472615788,0.04678009057950901,False,0.0,False,0.04813,0.04618,3.1702386009406385,65052.5,2.2609789528970192,0.6143497757847509,0.887323943661967,False,0.04717973335713388,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,2652.0,0.04716,,False,False
okx:2Z-USDT-SWAP:segment0,2Z,2Z-USDT-SWAP,okx,60,2655,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,0.0483,0.04966,0.04801,0.04869,360301.0,0.0005768572594243995,5.230509040495322,3.338001019697696,True,0.047051499999999996,0.04732356827550208,0.047963500000000006,0.04777574986056375,0.048807416666666666,0.04872193752865258,-0.0006326336347263484,-0.0010307875208803812,0.046974610288899626,False,0.0,False,0.04837,0.04645,3.0454723245131494,65052.5,3.3377554026875726,0.4281249999999977,0.4121212121212107,False,0.04732356827550208,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,2652.0,0.04716,,False,False
okx:A-USDT-SWAP:segment0,A,A-USDT-SWAP,okx,60,2654,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,0.06113,0.06197,0.06111,0.06189,10277.0,0.00044212317639633823,0.9089461814000795,2.12604996080922,True,0.06066699999999999,0.060739915174771175,0.060628,0.060722062820875625,0.06108208333333333,0.06114932523268057,0.0,-0.00010456417881188572,0.06068911097062796,True,3.0,True,0.06163,0.06035,3.1719677323965456,10235.0,1.095847581827064,0.5825242718446622,0.9069767441860502,False,0.060739915174771175,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,2654.0,0.06163,,True,False
okx:A-USDT-SWAP:segment0,A,A-USDT-SWAP,okx,60,2655,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,0.06187,0.06401,0.06184,0.06298,66642.0,0.0005655429495108853,5.894131694158228,4.9081344653479935,True,0.06078599999999999,0.06095325658669773,0.060658833333333335,0.06079609354806003,0.061093166666666664,0.0611795843197437,0.0,-7.93268057277761e-05,0.06094166737324386,True,4.0,True,0.06197,0.06035,5.354098830239298,10235.0,3.0061553492916464,0.528645833333334,0.5253456221198138,False,0.06095325658669773,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,2654.0,0.06163,1.0,False,False
okx:AAVE-USDT-SWAP:segment0,AAVE,AAVE-USDT-SWAP,okx,60,2654,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,89.29,91.23,89.28,91.12,225790.8,0.7502376072677475,4.374095311894615,2.9637591871207087,True,88.173,88.60608150701461,88.078,88.09467545984211,87.23266666666667,87.85496946419242,0.41584506058187287,0.15065825617101167,88.73389864433015,True,10.0,True,89.85,86.94,3.228469500106802,51620.0,3.5655559860519155,0.593123209169055,0.943589743589744,True,88.60608150701461,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,2651.0,88.57,,True,True
okx:AAVE-USDT-SWAP:segment0,AAVE,AAVE-USDT-SWAP,okx,60,2655,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,91.11,94.73,91.1,92.86,859456.3,0.9559349210343376,16.06161657785141,4.838467126727923,True,88.34849999999999,89.01121660158465,88.18149999999999,88.25091560869974,87.28849999999998,87.93769724164379,0.7104619168983106,0.2191749949356547,89.21710215994811,True,10.0,True,91.23,87.1,5.0606661875098515,51620.0,7.977127728270695,0.5454545454545432,0.484848484848485,False,89.01121660158465,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,,,,False,False
