arm,period,candidates,valid,matched,invalid,natural_exits,censored,mean_net_bp,mean_gross_bp,wins,win_rate,natural_wins,natural_win_rate,median_peak_r,median_net_r,max_peak_r,max_net_r,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,asset_balanced_excess_bp,permutation_assets,permutation_p,account_return_not_computed,forward_known,forward_success_rate,control_forward_known,control_forward_success_rate,holm_p
early,full,10386,10386,10260,0,9912,474,25.006476673055996,45.006476673056014,3064,0.2950125168496052,2735,0.27592816787732044,0.991934173320477,-1.046842465270433,83.83749999999993,57.71152499999994,24.1797094999826,122.39341374050207,-98.21370424051945,-95.34160165515472,272,1.0,True,10206,0.22134038800705466,30051,0.2304415826428405,1.0
early,first31,4981,4981,4924,0,4981,0,-106.07410819426313,-86.07410819426312,1078,0.2164224051395302,1078,0.2164224051395302,0.8571428571428713,-1.0606614173228337,32.23809523809522,15.747666666666776,-107.08766929604337,0.5728055786520496,-107.6604748746954,-99.60795576769273,269,1.0,True,4981,0.15779963862678176,14658,0.19695729294583164,
early,last30,5405,5405,5336,0,4931,474,145.80432925846148,165.8043292584615,1986,0.36743755781683624,1657,0.3360373149462584,1.1590909090909172,-1.0342077922077921,83.83749999999993,57.71152499999994,145.31175095268722,234.80808289135464,-89.49633193866744,-90.78775343432818,272,1.0,True,5225,0.2819138755980861,15393,0.2623270317676866,
early,case_night,224,224,219,0,224,0,1728.1110457610173,1748.1110457610173,208,0.9285714285714286,208,0.9285714285714286,9.090890232337621,5.752316946029746,44.025000000000155,28.440190476190594,1740.5682430889997,976.4270191475075,764.1412239414922,764.1412239414922,219,9.999000099990002e-05,True,224,0.7946428571428571,648,0.43209876543209874,
early,week_2026-07-06,486,486,464,0,486,0,-222.41612051495056,-202.41612051495053,59,0.12139917695473251,59,0.12139917695473251,0.7373654442619991,-1.0701693517453,12.61666666666675,5.953966666666712,-228.8328079863364,-122.23186395801828,-106.60094402831814,-93.34182689387409,249,1.0,True,486,0.12757201646090535,1361,0.16678912564290962,
early,week_2026-07-13,984,984,981,0,984,0,-196.23726506118402,-176.237265061184,170,0.17276422764227642,170,0.17276422764227642,0.8102982151231792,-1.0592062037929932,25.490196078431545,15.747666666666776,-195.59887404578885,-67.3662029927237,-128.2326710530651,-125.78071632447617,268,1.0,True,984,0.133130081300813,2934,0.15167007498295842,
early,week_2026-07-20,1229,1229,1221,0,1229,0,-126.0614012480833,-106.06140124808329,238,0.193653376729048,238,0.193653376729048,0.8823529411764749,-1.0642857142857136,31.512195121951272,15.455707317073204,-128.19453218774916,-1.661361380752399,-126.53317080699676,-122.12458234172436,268,1.0,True,1229,0.1838893409275834,3634,0.21931755641166759,
early,week_2026-07-27,1031,1031,1026,0,1031,0,-138.72730384139413,-118.72730384139409,225,0.21823472356935014,225,0.21823472356935014,0.6181818181818196,-1.055435897435898,32.23809523809522,15.029047619047612,-140.57775643283878,-40.43180902140616,-100.14594741143263,-84.06638809337196,268,1.0,True,1031,0.12124151309408342,3067,0.15552657319856536,
early,week_2026-08-03,1251,1251,1232,0,1251,0,56.589834427832166,76.58983442783219,386,0.3085531574740208,386,0.3085531574740208,1.2614379084967327,-1.0578823529411752,24.344380403458207,14.276610169491487,58.05157194171732,137.28399592818712,-79.23242398646978,-68.86642403800761,269,0.9904009599040096,True,1251,0.19344524380495604,3662,0.2569634079737848,
early,week_2026-08-10,985,985,981,0,985,0,-42.24044684560878,-22.240446845608762,203,0.20609137055837565,203,0.20609137055837565,0.6315789473684249,-1.062866666666667,59.66022544283434,38.10632528180367,-42.53783560357405,29.808831369838817,-72.34666697341285,-59.132548461629824,271,0.9939006099390061,True,985,0.132994923857868,2937,0.16853932584269662,
early,week_2026-08-17,1611,1611,1592,0,1599,12,555.3826147099335,575.3826147099336,915,0.5679702048417132,905,0.5659787367104441,3.139860139860139,0.8031058823529446,83.83749999999993,57.71152499999994,551.0451204855622,605.5482487457551,-54.503128260193,-55.36330691508363,271,0.9532046795320468,True,1611,0.5183116076970825,4738,0.39658083579569436,
early,week_2026-08-24,1063,1063,1058,0,1054,9,-191.2487263635114,-171.24872636351137,158,0.14863593603010347,151,0.1432637571157495,0.7128712871287134,-1.0498965517241379,76.46130952380963,45.76370833333341,-189.01412500180572,-72.16058037910703,-116.85354462269869,-109.0147956272032,271,1.0,True,1063,0.11853245531514581,3159,0.1373852484963596,
early,week_2026-08-31,1390,1390,1387,0,1108,282,121.48970260855879,141.4897026085588,624,0.4489208633093525,390,0.351985559566787,1.5654739246288565,-0.4995575163398679,44.966037735849056,29.97578113207548,123.09667951225157,231.56853200465767,-108.47185249240607,-99.45240610793529,272,1.0,True,1390,0.2525179856115108,4140,0.27560386473429954,
early,week_2026-09-07,356,356,318,0,185,171,-85.99843543336539,-65.99843543336539,86,0.24157303370786518,8,0.043243243243243246,0.3979671031619282,-0.7813654050936192,12.942857142857134,10.19021212121215,-97.19767998098212,46.606902144180395,-143.80458212516254,-133.7351786029664,219,1.0,True,176,0.17045454545454544,419,0.21241050119331742,
confirmed,full,3809,3809,3712,0,3587,222,66.90483967619964,86.90483967619966,1201,0.3153058545550013,1058,0.294954000557569,0.9594594594594712,-1.0384788732394372,81.56097560975626,56.07175609756108,64.08085310036066,142.6934319554089,-78.6125788550482,-68.51515475700003,272,0.9999000099990001,True,3736,0.23072805139186295,10833,0.2342841318194406,1.0
