window,policy,schedule,n_candidates,n_accepted,n_natural,n_blocked,n_capacity_rejected,n_profit,n_net_be,n_other_zero,n_net_loss,n_strict_positive,n_full_initial_stop,n_tp,max_net_loss_streak,max_initial_stop_streak,max_gross_loss_streak,max_unrecovered_loss_events,max_risk,max_attempted_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,n_boundary,boundary_pnl,natural_net_r,natural_gross_r,positive_cash,negative_cash,halt_reason,halt_time,halt_risk,halt_equity,initial_balance,final_balance,residual_debt,profit,profit_rate,be_rate,loss_rate,mean_net_r,mean_gross_r,cash_pf
development,original,fixed,70,66,66,4,0,14,0,0,52,14,43,0,13,7,7,52,1.0,1.0,0.886986258479237,0.034509450763192784,0,0,0.0,-34.509450763193115,-11.89019598370677,31.358277899448126,-65.86772866264096,,,,,1000,965.4905492368072,34.50945076319283,-34.50945076319283,0.21212121212121213,0.0,0.7878787878787878,-0.5228704661089866,-0.18015448460161773,0.4760795390419163
development,original,double,70,9,9,0,61,1,0,0,8,1,7,0,7,7,7,8,128.0,256.0,9.670155316593489,0.3216746873823194,0,0,0.0,-12.410816980109606,-6.826815129426648,0.2626782988004379,-321.9373656811199,,,,,1000,678.3253126176805,321.67468738231946,-321.67468738231946,0.1111111111111111,0.0,0.8888888888888888,-1.378979664456623,-0.7585350143807387,0.0008159298261159958
development,trail3_atr,fixed,70,66,66,4,0,16,0,0,50,16,43,0,7,7,7,50,1.0,1.0,0.8865508622954485,0.03601669457875578,0,0,0.0,-36.01669457875595,-13.397439799269655,28.924444195916294,-64.94113877467203,,,,,1000,963.9833054212443,36.01669457875573,-36.01669457875573,0.24242424242424243,0.0,0.7575757575757576,-0.5457074936175145,-0.2029915121101463,0.44539477966772645
development,trail3_atr,double,70,11,11,1,58,2,0,0,9,2,8,0,4,4,4,8,128.0,256.0,9.666242063971811,0.3215380762579232,1,0,0.0,-13.602781827862245,-6.451084486024154,1.9772595856060207,-323.28782886512056,,,,,1000,678.6894307204855,321.6458968350446,-321.31056927951454,0.18181818181818182,0.0,0.8181818181818182,-1.2366165298056586,-0.5864622260021958,0.006116096583490486
development,trail2_atr,fixed,70,66,66,4,0,16,0,0,50,16,43,0,7,7,7,49,1.0,1.0,0.8861158933490074,0.029821883357145418,1,0,0.0,-29.623978269469358,-7.004723489983069,35.31716050520265,-64.94113877467203,,,,,1000,970.3760217305306,29.827966675599214,-29.623978269469376,0.24242424242424243,0.0,0.7575757575757576,-0.4488481555980206,-0.10613217409065255,0.5438334031644183
development,trail2_atr,double,70,11,11,1,58,2,0,0,9,2,7,0,4,4,4,8,128.0,256.0,9.705020306098678,0.26825280652832373,1,0,0.0,-12.09611479380232,-4.909895020188331,13.958720872411504,-281.2479708609619,,,,,1000,732.7107500114496,268.60603883088527,-267.2892499885504,0.18181818181818182,0.0,0.8181818181818182,-1.0996467994365746,-0.4463540927443937,0.04963136562258846
development,cost_be1,fixed,70,66,66,4,0,26,0,0,40,26,35,0,5,5,5,40,1.0,1.0,0.886986258479237,0.03319199379895299,0,0,0.0,-33.19199379895343,-10.572739019467052,20.077940670310568,-53.2699344692636,,,,,1000,966.808006201047,33.191993798953035,-33.191993798953035,0.3939393939393939,0.0,0.6060606060606061,-0.50290899695384,-0.1601930154464705,0.37690943062630206
development,cost_be1,double,70,10,10,0,60,2,0,0,8,2,7,0,5,5,5,8,128.0,256.0,9.670155316593489,0.3215371921062835,0,0,0.0,-12.408668616421547,-6.554942389007269,0.26749102475821473,-321.80468313104177,,,,,1000,678.4628078937164,321.53719210628356,-321.53719210628356,0.2,0.0,0.8,-1.2408668616421548,-0.6554942389007269,0.0008312216657496249
development,cost_be2,fixed,70,66,66,4,0,17,0,0,49,17,42,0,7,7,7,49,1.0,1.0,0.886986258479237,0.0388628543593561,0,0,0.0,-38.86285435935651,-16.243599579870164,24.712562937008443,-63.57541729636455,,,,,1000,961.1371456406439,38.862854359356106,-38.862854359356106,0.25757575757575757,0.0,0.7424242424242424,-0.5888311266569168,-0.24611514514954794,0.38871255570070146
development,cost_be2,double,70,9,9,0,61,1,0,0,8,1,7,0,7,7,7,8,128.0,256.0,9.670155316593489,0.3216746873823194,0,0,0.0,-12.410816980109606,-6.826815129426648,0.2626782988004379,-321.9373656811199,,,,,1000,678.3253126176805,321.67468738231946,-321.67468738231946,0.1111111111111111,0.0,0.8888888888888888,-1.378979664456623,-0.7585350143807387,0.0008159298261159958
