symbol,conf,signal,outcome,gross,net_taker
VIRTUAL_USDT,0.364,2026-07-09 00:30:00+00:00,SL,-0.00607,-0.00707
VIRTUAL_USDT_SWAP,0.366,2026-07-09 00:30:00+00:00,SL,-0.00783,-0.00883
ONDO_USDT,0.358,2026-07-09 12:45:00+00:00,SL,-0.00829,-0.00929
ONDO_USDT_SWAP,0.352,2026-07-09 12:45:00+00:00,SL,-0.00879,-0.00979
BEAT_USDT_SWAP,0.496,2026-07-09 00:00:00+00:00,TIMEOUT,0.05115,0.05015
PYTH_USDT_SWAP,0.466,2026-07-09 05:15:00+00:00,SL,-0.0149,-0.0159
LDO_USDT_SWAP,0.347,2026-07-09 03:00:00+00:00,SL,-0.02463,-0.02563
ZEC_USDT,0.328,2026-07-09 01:45:00+00:00,SL,-0.01377,-0.01477
ZEC_USDT_SWAP,0.327,2026-07-09 01:45:00+00:00,SL,-0.01436,-0.01536
PUMP_USDT_SWAP,0.381,2026-07-09 02:30:00+00:00,SL,-0.01686,-0.01786
HOME_USDT_SWAP,0.422,2026-07-09 16:00:00+00:00,TIMEOUT,-0.00128,-0.00228
SLX_USDT_SWAP,0.46,2026-07-09 05:15:00+00:00,TP,0.08801,0.08701
SOXL_USDT_SWAP,0.42,2026-07-10 06:00:00+00:00,TP,0.05157,0.05057
KIOXIA_USDT_SWAP,0.545,2026-07-10 04:45:00+00:00,TIMEOUT,0.00173,0.00073
PARTI_USDT_SWAP,0.417,2026-07-09 03:00:00+00:00,SL,-0.01225,-0.01325
RAM_USDT_SWAP,0.521,2026-07-09 02:45:00+00:00,SL,-0.04896,-0.04996
MVLL_USDT_SWAP,0.435,2026-07-10 06:00:00+00:00,TP,0.04662,0.04562
LAB_USDT_SWAP,0.309,2026-07-10 16:30:00+00:00,TIMEOUT,0.22277,0.22177
MUU_USDT_SWAP,0.335,2026-07-10 05:15:00+00:00,TP,0.04482,0.04382
KORU_USDT_SWAP,0.481,2026-07-09 01:45:00+00:00,SL,-0.06138,-0.06238
