fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout
2023H1,63,0.5425224610766489,-19.457477538923357,-31.587030381587926,0.36507936507936506,0.20258713567099282,-0.5266254187997348,-0.5302375423165087,12,40,11,0
2023H2,34,6.038783784389816,-13.961216215610186,-30.21174534372116,0.38235294117647056,0.2652915230001203,-0.2828722275069846,-0.297131931031546,7,18,9,0
2024H1,73,-3.1974619698698357,-23.19746196986984,-31.86555793009414,0.2328767123287671,0.14840273198872667,-0.6647313458532516,-0.6723097823355058,7,52,14,0
2024H2,75,5.280961599777105,-14.7190384002229,-32.19761125964003,0.38666666666666666,0.37453932832557385,-0.5414735981775994,-0.5503773871657281,11,45,19,0
