bar,step,family,value_json,distance_from_inherited,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp
5m,1,gap_window,"[2,8]",0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,1,gap_window,"[3,12]",5.0,108,3.8881720130858413,-16.11182798691416,-37.40009285337685,0.37037037037037035,0.42745202694006446,-0.5376176278316578,-0.5498733528275541,22,66,19,1,11,False,-15.943151479021456,-25.332432626047808,28,11,30,39,-12.895155764991358,-9.93397076468473,-25.332432626047808,-13.070933435230902
5m,1,gap_window,"[6,18]",14.0,98,-0.6026898363099122,-20.602689836309914,-37.41510250026446,0.336734693877551,0.28160923320429554,-0.6039526155924819,-0.6060826981885186,15,64,18,1,16,False,-21.42904123132863,-22.944087634043342,22,16,26,34,-18.891439075975132,-21.955831177309076,-18.15614099586538,-22.944087634043342
5m,1,gap_window,"[9,27]",26.0,90,-3.0094026186279703,-23.009402618627977,-38.57010630651468,0.3111111111111111,0.27681226684717536,-0.5745203225153637,-0.5745203225153637,16,62,11,1,15,False,-23.912083673264004,-28.15944896708443,22,15,25,28,-28.15944896708443,-20.804476787090138,-23.70299793546729,-19.52486636455806
5m,1,gap_window,"[12,36]",38.0,106,0.40745702872579115,-19.592542971274217,-38.67290327942639,0.330188679245283,0.3482568133392686,-0.6107904038815835,-0.6127666082668346,20,71,15,0,20,False,-24.65981111876039,-30.152621931025756,23,20,32,31,-30.152621931025756,-22.843302738509752,-19.233274942554566,-10.031238632565579
5m,1,gap_window,"[18,54]",62.0,90,1.5146798500834422,-18.485320149916557,-37.86509726191265,0.3888888888888889,0.33870092950055886,-0.510835628960207,-0.510835628960207,16,55,19,0,14,False,-19.37471946217595,-21.31084203804839,20,14,25,31,-16.873802805270664,-13.56953947685304,-19.023724061265384,-21.31084203804839
5m,1,gap_window,"[24,72]",86.0,81,1.577477959831192,-18.42252204016881,-37.48485795074251,0.4074074074074074,0.3157484007231175,-0.48136748860907697,-0.4843775477605361,12,48,21,0,13,False,-20.49059718438337,-21.531377536355087,20,13,20,28,-12.90741463926957,-17.507089094035496,-20.180263161393917,-21.531377536355087
5m,2,k1_min_body_ratio,0.5,0.15000000000000002,132,-0.10047218313344235,-20.100472183133444,-38.70948698744546,0.32575757575757575,0.3250005116763977,-0.6767456959268261,-0.6965131943009537,23,86,23,0,13,False,-20.40959848038361,-27.454157390679367,32,13,39,48,-16.55963380484125,-12.062194617546028,-27.454157390679367,-18.663195378210435
5m,2,k1_min_body_ratio,0.55,0.09999999999999998,128,0.24254456560922344,-19.757455434390785,-38.70948698744546,0.328125,0.3356141102389485,-0.6569495195457242,-0.6779275845836102,23,83,22,0,13,False,-19.987279938159645,-26.98534197802484,30,13,38,47,-16.251796430386865,-12.062194617546028,-26.98534197802484,-18.279763351007905
5m,2,k1_min_body_ratio,0.6,0.050000000000000044,120,0.8072481919199626,-19.192751808080043,-38.6152759005509,0.3333333333333333,0.3491589399737014,-0.6230808251095785,-0.6389422507822453,22,77,21,0,13,False,-19.65651094519229,-25.84146661789596,29,13,35,43,-16.81220320384848,-12.062194617546028,-25.84146661789596,-17.54224331171028
5m,2,k1_min_body_ratio,0.65,0.0,112,2.0414952437841243,-17.958504756215884,-38.29299354744296,0.3482142857142857,0.37415389133400667,-0.57883378042188,-0.5965572000107575,21,70,21,0,12,False,-18.290644167615426,-24.332215540938353,29,12,33,38,-16.81220320384848,-15.826330719480014,-24.332215540938353,-13.971567323680175
5m,2,k1_min_body_ratio,0.7,0.04999999999999993,102,-0.13226448737261026,-20.132264487372616,-38.18865916589863,0.3333333333333333,0.31096098049992577,-0.571365764452912,-0.5875642101708307,18,65,19,0,12,False,-20.800460562241522,-26.003526275912055,25,12,30,35,-13.874388416716581,-15.826330719480014,-26.003526275912055,-21.045986010942002
