timeframe_min,arm,control_pool,reason,draws
15,joint,all,censored_boundary,39
15,joint,all,matched,2698
15,joint,all,target_censored,53
15,joint,high20,censored_boundary,28
15,joint,high20,empty_stratum,261
15,joint,high20,matched,2448
15,joint,high20,target_censored,53
15,v9_both,all,censored_boundary,44
15,v9_both,all,matched,6925
15,v9_both,all,target_censored,91
15,v9_both,high20,censored_boundary,35
15,v9_both,high20,empty_stratum,575
15,v9_both,high20,matched,6359
15,v9_both,high20,target_censored,91
60,joint,all,censored_boundary,5
60,joint,all,matched,651
60,joint,all,target_censored,33
60,joint,high20,censored_boundary,10
60,joint,high20,empty_stratum,138
60,joint,high20,matched,508
60,joint,high20,target_censored,33
60,v9_both,all,censored_boundary,11
60,v9_both,all,empty_stratum,2
60,v9_both,all,matched,1551
60,v9_both,all,target_censored,51
60,v9_both,high20,censored_boundary,13
60,v9_both,high20,empty_stratum,345
60,v9_both,high20,matched,1206
60,v9_both,high20,target_censored,51
