timeframe_min,arm,period,policy,control_pool,matched,weeks,mean_excess_bp,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,target_mean_net_bp,random_mean_net_bp,target_mean_net_r,random_mean_net_r,target_win_rate,random_win_rate,holm_primary_p
15,joint,all,baseline,all,2697,10,-10.051954056730834,0.7333984375,-35.44080423255829,20.13815150510723,0.0009765625,-3.80742361818503,6.244530438545801,0.03024107797948447,0.21330830136341172,0.2732665925101965,0.292918057100482,
15,joint,all,high20,all,681,10,-25.171445756741868,0.90625,-59.38571010304615,6.859585083298928,0.0009765625,-39.60445088601462,-14.433005129272761,-0.15529862641825018,0.09423248029848516,0.2657856093979442,0.2643171806167401,
15,joint,all,high20,high20,686,10,-0.8688434179187585,0.521484375,-32.19515731359039,30.022171731854144,0.0009765625,-39.01607735829855,-38.14723394037979,-0.15066682802388057,-0.0898579213443242,0.2696793002915452,0.29008746355685133,1.0
15,joint,earlier,baseline,all,1318,5,5.24816260002988,0.40625,-19.956896006966048,32.5285752757827,0.03125,34.79081608697449,29.542653486944605,0.2663043505852695,0.4589938399825295,0.2936267071320182,0.2936267071320182,
15,joint,earlier,high20,all,371,5,-4.593316669763335,0.59375,-38.2109523813963,27.86526322118888,0.03125,-9.366251763837338,-4.772935094074002,0.0009362165907884257,0.2767129425221486,0.29380053908355797,0.261455525606469,
15,joint,earlier,high20,high20,369,5,14.734694520249109,0.125,-2.2108441959935887,34.25073121953822,0.03125,-9.398054620579952,-24.132749140829056,0.001067541701449258,0.007058264028716227,0.2926829268292683,0.27371273712737126,
15,joint,later,baseline,all,1372,5,-24.39291711673159,0.84375,-60.357269134529936,27.25446748456804,0.03125,-39.298013563219264,-14.90509644648767,-0.19566069599827404,-0.018629873650418502,0.2543731778425656,0.29300291545189505,
15,joint,later,high20,all,308,5,-47.509995337076894,0.90625,-92.28838778088773,12.404612742347574,0.03125,-70.79795324442968,-23.28795790735278,-0.3408282854705658,-0.12071652736928194,0.23376623376623376,0.2694805194805195,
15,joint,later,high20,high20,313,5,-16.206344865073962,0.65625,-66.65299324419283,48.83402859090418,0.03125,-69.01012017156927,-52.803775306495325,-0.32771307143286893,-0.2006676189273414,0.24281150159744408,0.30990415335463256,
15,v9_both,all,baseline,all,5799,10,-20.69926711729395,0.9482421875,-39.34491530629434,-0.3759070090547321,0.0009765625,-22.95380902007694,-2.2545419027829845,-0.0844572737855962,-0.02877634622864953,0.2683221245042249,0.27504742196930504,
15,v9_both,all,high20,all,1602,10,-30.395857604838447,0.9599609375,-63.2823419327197,-1.3739235111813541,0.0009765625,-38.30999275005328,-7.91413514521483,-0.09603035926013956,0.017379511032793057,0.28277153558052437,0.2777777777777778,
