timeframe_min,arm,period,policy,candidates,taken,censored,crossing_excluded_closed,skipped_in_position,filtered_unknown,filtered_quintile,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate
15,joint,all,baseline,2790,2789,53,0,1,0,0,2736,749,1987,0,0.2737573099415205,0.25737563291444526,0.2907734046924652,0.28362573099415206,0.02418725193242265,66.17632128710837,-1.0759034749034755,-4.975603852947959,15.024396147052043,1.0319400867849045,2.8545601265185625,-1.042722301698689,78.61485477178441,-2.0886936416184967,442.03496747148876,12.612481725146198,7.25,174.47428147147053,2461,1739,30,89,38,1390,1633,64,2649,1653,1900,17,1745,791,996,4,1326,447,578,6,877,126,148,2,580,34,34,2,283,8,8,0,88,1,1,0,177,0.06469298245614036,89,0.03252923976608187,38,0.013888888888888888
15,joint,all,high20,2790,701,12,0,0,0,2089,689,187,502,0,0.2714078374455733,0.23953908058698792,0.30581145240707086,0.28156748911465895,-0.14835925009887085,-102.21952331812201,-1.0530614886731386,-38.355843163182385,-18.355843163182374,0.7926062839622317,2.089075629523094,-0.9818260279660171,20.366499999999863,-1.485034482758628,136.35711459482874,15.740928882438316,9.5,214.552238805969,572,398,9,16,5,324,425,16,671,381,484,4,433,166,246,0,319,93,133,2,209,29,33,1,128,6,6,0,55,3,3,0,15,1,1,0,34,0.04934687953555878,16,0.023222060957910014,5,0.00725689404934688
15,joint,earlier,baseline,1325,1325,0,2,0,0,0,1323,388,935,0,0.29327286470143615,0.26936777362228714,0.31837498468646086,0.30839002267573695,0.2654098648838838,351.13725124137824,-1.069987012987012,34.26926315963701,54.26926315963702,1.3568610431531527,3.440974169153825,-1.0523644132516639,78.61485477178441,-2.0886936416184967,235.86807761521402,13.748299319727892,8.25,157.79383571744398,1189,816,22,60,28,629,745,33,1274,768,886,8,874,393,486,1,668,222,280,4,462,72,84,2,312,24,24,2,161,6,6,0,58,1,1,0,100,0.07558578987150416,60,0.045351473922902494,28,0.021164021164021163
15,joint,earlier,high20,1325,373,0,2,0,0,952,371,109,262,0,0.29380053908355797,0.24975328922149842,0.34207414508466316,0.30727762803234504,0.0009362165907884257,0.34733635518250594,-1.0505111111111107,-9.366251763837338,10.63374823616266,1.0013320562407715,2.395406936612572,-0.995236716548045,20.366499999999863,-1.485034482758628,102.11871868349155,17.150269541778975,10.0,192.735359525573,309,207,6,14,4,158,211,7,360,197,251,2,237,87,128,0,179,51,70,2,121,15,18,1,78,4,4,0,37,2,2,0,10,1,1,0,24,0.0646900269541779,14,0.03773584905660377,4,0.01078167115902965
15,joint,later,baseline,1465,1464,53,0,1,0,0,1411,361,1050,0,0.25584691708008506,0.23376408678926813,0.2792555553232929,0.26080793763288446,-0.20115545069680602,-283.83034093319327,-1.079333333333334,-40.58221492002653,-20.582214920026516,0.7388379739794989,2.224286861857948,-1.0350456172037261,24.859655172413778,-1.9914074074074104,440.9043784504116,11.518958185683912,6.5,185.684336627732,1272,923,8,29,10,761,886,31,1373,885,1012,9,871,398,510,3,658,225,298,2,415,54,64,0,268,10,10,0,122,2,2,0,30,0,0,0,77,0.05457122608079376,29,0.020552799433026223,10,0.007087172218284904
15,joint,later,high20,1465,328,12,0,0,0,1137,316,78,238,0,0.2468354430379747,0.20252534714763337,0.2972268095626653,0.25316455696202533,-0.3210008564943922,-101.43627065222793,-1.0559495798319336,-67.28580533335773,-47.28580533335772,0.5608706481644583,1.660997264487798,-0.9705632658919165,15.762078431372576,-1.3448786677240263,133.13007098318135,13.978639240506329,8.375,241.61369668176897,263,191,3,2,1,166,212,9,309,184,231,2,196,79,118,0,140,42,63,0,88,14,15,0,50,2,2,0,18,1,1,0,5,0,0,0,10,0.03164556962025317,2,0.006329113924050633,1,0.0031645569620253164
15,v9_both,all,baseline,7060,5913,71,0,1147,0,0,5842,1570,4272,0,0.2687435809654228,0.25753060171174635,0.28026048978373275,0.27901403628894217,-0.08650475473143221,-505.360777141027,-1.0767276485788106,-23.54449266196437,-3.5444926619643664,0.8862129946928684,2.506959543876703,-1.0396271678435043,80.7416571428571,-2.8925263157896213,1015.1851079843606,14.098553577541937,8.25,171.0803114653135,5112,3658,73,153,45,2915,3518,126,5668,3486,4098,28,3756,1690,2186,8,2803,908,1236,13,1761,222,279,3,1106,49,50,4,488,10,10,1,120,1,1,1,359,0.061451557685724065,153,0.026189661074974325,45,0.007702841492639507
15,v9_both,all,high20,7060,1621,14,0,115,0,5324,1607,457,1150,0,0.28438083385189794,0.2628591163087618,0.3069309482694881,0.2943372744243933,-0.09402103691079863,-151.0918063156534,-1.043246376811592,-37.71213182777628,-17.712131827776272,0.8629225178094735,2.081279451048793,-0.9584665351695232,29.207911111111184,-1.7192578512396628,352.6859593417519,18.06767268201618,11.0,222.58064516129002,1275,878,21,33,7,727,989,31,1566,839,1109,10,1018,362,561,0,731,175,278,1,473,53,64,0,285,11,11,0,109,3,3,0,24,1,1,0,88,0.054760423148724334,33,0.020535158680771624,7,0.0043559427504667085
15,v9_both,earlier,baseline,3282,2761,0,6,521,0,0,2755,775,1980,0,0.2813067150635209,0.2648302179833348,0.29839223681889776,0.2943738656987296,0.030877788739844564,85.06830797827178,-1.0764571428571423,-1.1849435800856374,18.815056419914367,1.0406524066288483,2.8098654490470008,-1.0568572803197744,80.7416571428571,-2.8925263157896213,486.45456812452505,14.027041742286752,8.75,146.77314914741999,2415,1687,44,84,31,1306,1592,61,2662,1596,1887,15,1822,811,1047,2,1366,434,592,5,890,120,149,3,567,32,32,4,250,8,8,1,71,1,1,1,172,0.06243194192377496,84,0.030490018148820328,31,0.011252268602540834
15,v9_both,earlier,high20,3282,784,0,4,56,0,2442,780,234,546,0,0.3,0.2688845077067066,0.33307581671235575,0.3128205128205128,-0.005299840339492717,-4.133875464804319,-1.03864209563029,-19.96957185685896,0.030428143141059013,0.9922558097503892,2.263545185965082,-0.977661994470025,29.207911111111184,-1.551843112244872,177.05452621200635,17.974038461538463,11.0,190.5096833835595,629,419,11,20,5,343,463,15,759,400,525,4,509,182,275,0,371,91,138,1,251,27,34,0,156,5,5,0,62,2,2,0,14,1,1,0,48,0.06153846153846154,20,0.02564102564102564,5,0.00641025641025641
15,v9_both,later,baseline,3778,3152,71,0,626,0,0,3081,793,2288,0,0.25738396624472576,0.24225531021159505,0.2731168669562536,0.26517364492048034,-0.19212369712028013,-591.933110827583,-1.0770740740740732,-44.02078353939098,-24.020783539390965,0.7476871420298472,2.211973784704754,-1.025362028889184,24.859655172413778,-1.9914074074074104,1016.689133692645,14.128691983122362,7.75,190.901705930138,2693,1969,29,69,14,1607,1922,65,3000,1888,2207,13,1931,879,1138,6,1435,474,644,8,869,102,130,0,538,17,18,0,238,2,2,0,49,0,0,0,187,0.060694579681921455,69,0.022395326192794548,14,0.004543979227523531
15,v9_both,later,high20,3778,837,14,0,59,0,2882,823,222,601,0,0.26974483596597815,0.24054390540508094,0.30108527159242804,0.2770352369380316,-0.17900994794317593,-147.32518715723378,-1.0456170212765967,-56.11374568073425,-36.11374568073424,0.7400706315737937,1.889478026979688,-0.9430770534887266,15.762078431372576,-1.7192578512396628,314.1400395342172,18.081105710814096,11.0,249.9132245748,644,458,10,13,2,383,523,16,803,438,581,6,507,180,285,0,359,84,140,0,221,26,30,0,129,6,6,0,47,1,1,0,10,0,0,0,40,0.04860267314702309,13,0.015795868772782502,2,0.002430133657351154
60,joint,all,baseline,689,689,33,0,0,0,0,656,249,407,0,0.3795731707317073,0.34324039421092734,0.4173081468463816,0.38414634146341464,0.589337724708446,386.6055474087406,-1.028348076923077,133.2737228416074,153.27372284160742,1.9517312528052675,3.1840099774270874,-0.9980661842029591,49.90969230769294,-1.3708453608247366,66.0501353895736,52.84146341463415,43.0,342.1130961705955,606,367,3,39,11,329,367,21,650,361,401,1,483,201,234,3,385,112,136,4,278,33,37,1,208,2,2,1,123,0,0,0,39,0,0,0,75,0.11432926829268293,39,0.05945121951219512,11,0.01676829268292683
60,joint,all,high20,689,185,7,0,0,0,504,178,74,104,0,0.4157303370786517,0.3458552734127156,0.4891658478180393,0.4157303370786517,1.0191591468796009,181.41032814456895,-1.0244978829336793,281.3846256282903,301.3846256282903,2.7103080248676314,3.884853148745095,-1.0198923544477696,28.19157894736854,-1.3708453608247366,25.106135744683883,52.41573033707865,44.0,388.964069883569,166,95,0,17,5,86,94,2,177,94,103,0,126,46,52,0,98,22,24,2,74,3,3,0,63,0,0,0,45,0,0,0,15,0,0,0,30,0.16853932584269662,17,0.09550561797752809,5,0.028089887640449437
60,joint,earlier,baseline,403,403,0,1,0,0,0,402,170,232,0,0.4228855721393035,0.3755467936843183,0.47168419111722626,0.42786069651741293,0.9029149427900756,362.9718070016104,-1.0181237989544956,245.3472935612255,265.3472935612255,2.549487595329431,3.513085920617328,-1.0097103426867904,49.90969230769294,-1.3708453608247366,63.431126686835945,52.51243781094527,45.5,320.22104047107746,372,207,2,31,7,179,202,11,398,203,228,0,304,113,134,1,246,61,76,4,185,16,19,1,153,2,2,1,94,0,0,0,32,0,0,0,60,0.14925373134328357,31,0.07711442786069651,7,0.017412935323383085
60,joint,earlier,high20,403,130,0,1,0,0,273,129,62,67,0,0.4806201550387597,0.39621670915436646,0.5661444389231485,0.4806201550387597,1.4231367101026606,183.5846356032432,-0.7461428571428562,444.5986648246204,464.5986648246204,3.665570465663735,4.071890092966447,-1.0279485098608423,28.19157894736854,-1.3708453608247366,16.13768178316547,53.8062015503876,49.0,354.368270410249,122,61,0,16,4,53,58,2,128,60,66,0,95,28,33,0,78,14,16,2,64,3,3,0,54,0,0,0,38,0,0,0,14,0,0,0,27,0.20930232558139536,16,0.12403100775193798,4,0.031007751937984496
60,joint,later,baseline,286,286,33,0,0,0,0,253,78,175,0,0.308300395256917,0.2546191616079956,0.36771595351518116,0.31225296442687744,0.0244398385750718,6.183279159493166,-1.034280821917808,-53.79042933032484,-33.790429330324834,1.035957630940311,2.28388995675336,-0.9826293569558223,25.983122302158147,-1.3422914572864248,66.0501353895736,53.1501976284585,35.0,383.615889122634,233,160,1,7,3,150,165,10,251,158,173,1,178,88,100,2,138,51,60,0,92,17,18,0,54,0,0,0,28,0,0,0,6,0,0,0,14,0.05533596837944664,7,0.02766798418972332,3,0.011857707509881422
60,joint,later,high20,286,55,7,0,0,0,231,48,11,37,0,0.22916666666666666,0.13307826208858892,0.3653926420668379,0.22916666666666666,-0.40884934804815226,-19.624768706311308,-1.0352304262947456,-201.53527486654914,-181.53527486654912,0.47239933526658784,1.5974078177800257,-1.0053041811322054,3.4383982683982786,-1.0736170212765943,25.106135744683886,47.541666666666664,31.0,478.53491178746407,43,34,0,0,0,33,36,0,48,34,37,0,30,18,19,0,19,8,8,0,9,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,2,0.041666666666666664,0,0.0,0,0.0
60,v9_both,all,baseline,1615,1322,41,0,293,0,0,1281,441,840,0,0.3442622950819672,0.3187441119701519,0.37071173704377475,0.34894613583138173,0.2637806976337191,337.90307366879415,-1.0325940594059388,43.47920696331983,63.47920696331984,1.4085418672155907,2.6417197538901247,-0.9846373069008936,49.90969230769294,-1.3708453608247366,172.58202800143692,60.20843091334895,45.0,334.354595418412,1134,722,7,47,13,652,768,30,1270,711,829,5,891,357,450,5,692,188,254,5,466,42,46,1,316,2,2,1,157,0,0,0,41,0,0,0,112,0.08743169398907104,47,0.03669008587041374,13,0.01014832162373146
60,v9_both,all,high20,1615,441,16,0,44,0,1130,425,156,269,0,0.36705882352941177,0.322614774733094,0.41388458264065614,0.37411764705882355,0.39484237641636877,167.80800997695673,-0.9063887537698196,98.28034358378208,118.2803435837821,1.6611432502681607,2.702710981019418,-0.943549825509563,28.19157894736854,-1.3708453608247366,56.68950797780633,67.52470588235295,51.0,388.84192730346496,353,211,4,19,5,192,249,5,421,207,265,1,296,97,140,1,225,44,71,3,153,6,7,0,103,0,0,0,56,0,0,0,16,0,0,0,40,0.09411764705882353,19,0.04470588235294118,5,0.011764705882352941
60,v9_both,earlier,baseline,972,776,0,9,196,0,0,767,312,455,0,0.4067796610169492,0.3725631771986684,0.4419252648117906,0.41199478487614083,0.5598040729083157,429.3697239206781,-1.0188009708737868,153.25105838646172,173.25105838646172,1.9418246553469005,2.837375272083731,-1.0019590350976837,49.90969230769294,-1.3708453608247366,104.43419883633564,62.16297262059974,49.0,299.384042400803,684,393,4,39,9,345,405,16,759,385,447,4,558,197,246,2,440,98,131,5,321,21,24,1,232,2,2,1,119,0,0,0,32,0,0,0,91,0.11864406779661017,39,0.05084745762711865,9,0.011734028683181226
60,v9_both,earlier,high20,972,284,0,5,34,0,654,279,126,153,0,0.45161290322580644,0.39426964925533653,0.5102705121948578,0.45878136200716846,0.7267979782378211,202.77663592835208,-0.4914250832408376,248.81542124547144,268.81542124547144,2.3724031731321378,2.78198094773578,-0.9657056437016743,28.19157894736854,-1.3708453608247366,42.36031411684236,66.72401433691756,55.0,346.504559270515,237,123,2,17,4,109,138,2,276,120,150,1,202,53,76,0,158,20,34,3,122,3,4,0,83,0,0,0,45,0,0,0,14,0,0,0,35,0.12544802867383512,17,0.06093189964157706,4,0.014336917562724014
60,v9_both,later,baseline,643,546,41,0,97,0,0,505,125,380,0,0.24752475247524752,0.21188402361691827,0.2869775656870949,0.2514851485148515,-0.21933331742066817,-110.76332529743742,-1.0363645833333337,-130.5478888880018,-110.5478888880018,0.6995909249080756,2.063559955158262,-0.9702850518216319,25.983122302158147,-1.3422914572864248,173.6065871273711,55.902970297029704,38.0,386.247877758912,445,328,3,7,3,306,358,14,502,325,377,1,325,159,200,3,246,90,121,0,141,21,22,0,80,0,0,0,35,0,0,0,8,0,0,0,20,0.039603960396039604,7,0.013861386138613862,3,0.005940594059405941
60,v9_both,later,high20,643,157,16,0,10,0,476,141,29,112,0,0.20567375886524822,0.14719363660863272,0.2797660154063184,0.2127659574468085,-0.3615738240575958,-50.98190919212101,-1.0324913294797704,-202.79058771169935,-182.79058771169935,0.5100599446659497,1.8301908076438265,-0.9290843090517139,9.623650000000035,-1.1942322264319238,56.52027600288462,67.51063829787235,43.0,487.332133462551,114,87,2,1,0,82,107,3,140,86,111,0,90,43,61,1,65,24,36,0,30,3,3,0,19,0,0,0,10,0,0,0,1,0,0,0,4,0.028368794326241134,1,0.0070921985815602835,0,0.0
