timeframe_min,arm,period,quintile,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,control_matched,control_weeks,control_mean_excess_bp,control_p_one_sided,control_ci_low_bp,control_ci_high_bp,control_minimum_p_resolution,control_target_mean_net_bp,control_random_mean_net_bp,control_target_mean_net_r,control_random_mean_net_r,control_target_win_rate,control_random_win_rate
15,joint,all,1,216,63,153,0,0.2916666666666667,0.23511331103036226,0.35550075940939163,0.30092592592592593,0.05825369337191682,12.582797768334032,-1.121211111111112,0.9473205072964822,20.947320507296485,1.0740387733658232,2.8973263229784716,-1.1107762129366645,16.660335684061973,-2.0886936416184967,53.23904834722983,10.409722222222221,6.75,125.2026313023165,204,142,3,9,4,106,117,4,207,133,144,0,145,73,82,1,116,44,53,0,77,13,15,0,53,3,3,1,35,0,0,0,8,0,0,0,23,0.10648148148148148,9,0.041666666666666664,4,0.018518518518518517,212,10,-20.255502613949194,0.7265625,-72.698180305935,52.96422688264802,0.0009765625,3.982596275210835,24.238098889160035,0.08097020662057398,0.3365602123325827,0.2971698113207547,0.2971698113207547
15,joint,all,2,461,128,333,0,0.27765726681127983,0.23874132383867036,0.3202480991500615,0.2841648590021692,0.31840309078697626,146.78382485279604,-1.09712426035503,65.87714160503533,85.87714160503535,1.4083331463121191,3.95511391383313,-1.0794917601136476,78.61485477178441,-1.7369473684210883,75.3219465791653,10.276572668112799,6.0,150.509074811862,435,308,3,20,11,254,278,14,443,290,315,2,298,147,170,1,227,81,99,1,158,25,31,0,103,5,5,0,53,0,0,0,19,0,0,0,32,0.06941431670281996,20,0.04338394793926247,11,0.02386117136659436,455,10,47.283355462044746,0.2421875,-50.634838484352144,183.53060619702262,0.0009765625,68.94528636953721,21.661930907492504,0.3316450490316757,0.2436340168307518,0.27912087912087913,0.3142857142857143
15,joint,all,3,634,161,473,0,0.2539432176656151,0.2216136904973206,0.28923654406219856,0.2586750788643533,-0.06130593808225604,-38.86796474415033,-1.0938095238095247,-19.793291321083544,0.20670867891646547,0.923293373542968,2.905847106217347,-1.0712671222941716,37.7162500000001,-1.4427999999999868,108.72997304570482,11.100157728706625,6.25,161.409870179552,583,427,3,23,7,336,381,14,611,404,450,7,389,188,228,2,297,109,136,2,187,24,29,0,121,7,7,0,65,0,0,0,23,0,0,0,46,0.07255520504731862,23,0.03627760252365931,7,0.011041009463722398,618,10,-34.38312976017,0.982421875,-53.98915868171248,-12.330880855947653,0.0009765625,-17.207673626942476,17.175456133227517,-0.047291886858649754,0.3003932392453202,0.255663430420712,0.3042071197411003
15,joint,all,4,736,210,526,0,0.28532608695652173,0.2538827016655256,0.3189987634015724,0.3016304347826087,0.06507769935903615,47.8971867282506,-1.0692920054200548,-7.08031659533062,12.919683404669374,1.0882273465305548,2.813242231534796,-1.0320982545514386,41.86333333333372,-2.0237500000000224,114.20601538212948,13.096127717391305,7.75,185.74867611828049,667,464,12,21,11,370,432,16,717,445,507,4,480,217,270,0,367,120,157,1,246,35,40,1,175,13,13,1,75,5,5,0,23,0,0,0,42,0.057065217391304345,21,0.028532608695652172,11,0.014945652173913044,731,10,-8.12496787954845,0.6083984375,-63.953300721825265,46.66551210994165,0.0009765625,-6.673137964299262,1.451829915249186,0.06632114482512914,0.19599576630334542,0.28454172366621067,0.2954856361149111
15,joint,all,5,689,187,502,0,0.2714078374455733,0.23953908058698792,0.30581145240707086,0.28156748911465895,-0.14835925009887085,-102.21952331812201,-1.0530614886731386,-38.355843163182385,-18.355843163182374,0.7926062839622317,2.089075629523094,-0.9818260279660171,20.366499999999863,-1.485034482758628,136.35711459482874,15.740928882438316,9.5,214.552238805969,572,398,9,16,5,324,425,16,671,381,484,4,433,166,246,0,319,93,133,2,209,29,33,1,128,6,6,0,55,3,3,0,15,1,1,0,34,0.04934687953555878,16,0.023222060957910014,5,0.00725689404934688,681,10,-25.171445756741868,0.90625,-59.38571010304615,6.859585083298928,0.0009765625,-39.60445088601462,-14.433005129272761,-0.15529862641825018,0.09423248029848516,0.2657856093979442,0.2643171806167401
15,joint,earlier,1,94,30,64,0,0.3191489361702128,0.23361158082800026,0.41888746825864764,0.32978723404255317,-0.09495870368299957,-8.92611814620196,-1.084732046332046,-27.831208047097352,-7.831208047097361,0.8769344944771859,2.1201773453710664,-1.1333037266770931,6.90507964601774,-2.0886936416184967,22.33165846337874,10.954787234042554,9.125,101.853553853861,89,60,2,2,0,43,47,4,89,55,59,0,65,32,35,0,52,19,22,0,40,10,11,0,27,2,2,1,19,0,0,0,3,0,0,0,9,0.09574468085106383,2,0.02127659574468085,0,0.0,94,5,-59.7195401203531,0.90625,-120.23014657578933,8.150804916236421,0.03125,-27.831208047097352,31.888332073255736,-0.09495870368299957,0.16447721542686553,0.3191489361702128,0.32978723404255317
15,joint,earlier,2,187,57,130,0,0.3048128342245989,0.2433137643922059,0.37416977179577615,0.32085561497326204,1.0048510170020033,187.90714017937464,-1.0838292682926844,191.84649500848138,211.84649500848138,2.326566901531986,5.7816901763490405,-1.0896092297886202,78.61485477178441,-1.7369473684210883,31.754994263483802,11.223262032085561,7.25,138.888888888889,176,119,3,13,8,97,107,3,180,112,123,0,122,55,65,0,92,27,35,0,67,7,10,0,48,3,3,0,26,0,0,0,12,0,0,0,16,0.0855614973262032,13,0.06951871657754011,8,0.0427807486631016,186,5,107.96878289509804,0.28125,-142.92818369269156,312.0020107798591,0.03125,195.32647335948462,87.35769046438658,1.0158767303346494,0.7835940475619567,0.3064516129032258,0.34946236559139787
15,joint,earlier,3,287,78,209,0,0.27177700348432055,0.22357464630159563,0.3260081384090727,0.27526132404181186,0.1534130681706842,44.029550564986366,-1.1036527777777765,8.287755408092623,28.287755408092636,1.1935674952629103,3.4806808379300285,-1.0883423674332817,37.7162500000001,-1.4427999999999868,75.32124787160032,11.250871080139373,6.5,141.330166270782,266,191,1,14,6,148,166,6,273,177,195,3,188,96,110,1,140,54,62,1,92,14,16,0,64,6,6,0,36,0,0,0,14,0,0,0,23,0.08013937282229965,14,0.04878048780487805,6,0.020905923344947737,286,5,-35.977308161034294,0.96875,-57.461211270029295,-13.778644324195717,0.03125,9.587205500288848,45.56451366132313,0.1574411876677188,0.5669996674430694,0.2727272727272727,0.2972027972027972
15,joint,earlier,4,384,114,270,0,0.296875,0.2533725003947168,0.344401289828814,0.3229166666666667,0.3327587038750955,127.77934228803667,-1.0664326775021373,34.31085352161971,54.3108535216197,1.4538190580487327,3.5907355769240703,-1.0428315314122496,41.86333333333372,-2.0237500000000224,95.61732096492118,14.241536458333334,8.5,173.921155827597,349,239,10,17,10,183,214,13,372,227,258,3,262,123,148,0,205,71,91,1,142,26,29,1,95,9,9,1,43,4,4,0,19,0,0,0,28,0.07291666666666667,17,0.044270833333333336,10,0.026041666666666668,381,5,11.659191806305364,0.40625,-59.70825887213657,72.30340406188822,0.03125,33.78646652361267,22.127274717307298,0.3296237909375123,0.4696118725351433,0.29658792650918636,0.28608923884514437
15,joint,earlier,5,371,109,262,0,0.29380053908355797,0.24975328922149842,0.34207414508466316,0.30727762803234504,0.0009362165907884257,0.34733635518250594,-1.0505111111111107,-9.366251763837338,10.63374823616266,1.0013320562407715,2.395406936612572,-0.995236716548045,20.366499999999863,-1.485034482758628,102.11871868349155,17.150269541778975,10.0,192.735359525573,309,207,6,14,4,158,211,7,360,197,251,2,237,87,128,0,179,51,70,2,121,15,18,1,78,4,4,0,37,2,2,0,10,1,1,0,24,0.0646900269541779,14,0.03773584905660377,4,0.01078167115902965,371,5,-4.593316669763335,0.59375,-38.2109523813963,27.86526322118888,0.03125,-9.366251763837338,-4.772935094074002,0.0009362165907884257,0.2767129425221486,0.29380053908355797,0.261455525606469
