timeframe_min,arm,policy,status,n
15,joint,baseline,censored_boundary,53
15,joint,baseline,closed,2736
15,joint,baseline,skipped_in_position,1
15,joint,high20,censored_boundary,12
15,joint,high20,closed,689
15,joint,high20,filtered_quintile,2089
15,v9_both,baseline,censored_boundary,71
15,v9_both,baseline,closed,5842
15,v9_both,baseline,skipped_in_position,1147
15,v9_both,high20,censored_boundary,14
15,v9_both,high20,closed,1607
15,v9_both,high20,filtered_quintile,5324
15,v9_both,high20,skipped_in_position,115
60,joint,baseline,censored_boundary,33
60,joint,baseline,closed,656
60,joint,high20,censored_boundary,7
60,joint,high20,closed,178
60,joint,high20,filtered_quintile,504
60,v9_both,baseline,censored_boundary,41
60,v9_both,baseline,closed,1281
60,v9_both,baseline,skipped_in_position,293
60,v9_both,high20,censored_boundary,16
60,v9_both,high20,closed,425
60,v9_both,high20,filtered_quintile,1130
60,v9_both,high20,skipped_in_position,44
