timeframe_min,arm,policy,period,candidates,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,all_matched,all_weeks,all_mean_excess_bp,all_p_one_sided,all_ci_low_bp,all_ci_high_bp,all_minimum_p_resolution,all_target_mean_net_bp,all_random_mean_net_bp,all_target_mean_net_r,all_random_mean_net_r,all_target_win_rate,all_random_win_rate,high20_matched,high20_weeks,high20_mean_excess_bp,high20_p_one_sided,high20_ci_low_bp,high20_ci_high_bp,high20_minimum_p_resolution,high20_target_mean_net_bp,high20_random_mean_net_bp,high20_target_mean_net_r,high20_random_mean_net_r,high20_target_win_rate,high20_random_win_rate
15,joint,baseline,all,2790,2737,749,1988,0,0.27365728900255754,0.25728058160719613,0.2906684630246261,0.2835221044939715,0.023742657881052873,64.98365462044171,-1.0759459459459455,-5.0190202301933935,14.98097976980661,1.031346400372759,2.8545601265185625,-1.042797726429558,78.61485477178441,-2.0886936416184967,443.2276341381554,12.609152356594812,7.25,174.47199265380902,2462,1740,30,89,38,1391,1634,64,2650,1654,1901,17,1745,791,996,4,1326,447,578,6,877,126,148,2,580,34,34,2,283,8,8,0,88,1,1,0,177,0.06466934599926927,89,0.03251735476799415,38,0.013883814395323347,2698,10,-10.056639703768443,0.7333984375,-35.426602391301685,20.13815150510723,0.0009765625,-3.8519005658334793,6.204739137934961,0.029787813433655663,0.2127672043545404,0.2731653076352854,0.29280948851000743,,,,,,,,,,,,,
15,joint,baseline,earlier,1325,1323,388,935,0,0.29327286470143615,0.26936777362228714,0.31837498468646086,0.30839002267573695,0.2654098648838838,351.13725124137824,-1.069987012987012,34.26926315963701,54.26926315963702,1.3568610431531527,3.440974169153825,-1.0523644132516639,78.61485477178441,-2.0886936416184967,235.86807761521402,13.748299319727892,8.25,157.79383571744398,1189,816,22,60,28,629,745,33,1274,768,886,8,874,393,486,1,668,222,280,4,462,72,84,2,312,24,24,2,161,6,6,0,58,1,1,0,100,0.07558578987150416,60,0.045351473922902494,28,0.021164021164021163,1318,5,5.24816260002988,0.40625,-19.956896006966048,32.5285752757827,0.03125,34.79081608697449,29.542653486944605,0.2663043505852695,0.4589938399825295,0.2936267071320182,0.2936267071320182,,,,,,,,,,,,,
15,joint,baseline,later,1465,1412,361,1051,0,0.2556657223796034,0.2335962234592581,0.2790610760768127,0.26062322946175637,-0.20185765410754955,-285.02300759985997,-1.0793495934959365,-40.64115543946964,-20.641155439469628,0.7380280520443294,2.224286861857948,-1.03519558965802,24.859655172413778,-1.9914074074074104,442.0970451170783,11.513279036827196,6.5,185.65653957135152,1273,924,8,29,10,762,887,31,1374,886,1013,9,871,398,510,3,658,225,298,2,415,54,64,0,268,10,10,0,122,2,2,0,30,0,0,0,77,0.05453257790368272,29,0.020538243626062325,10,0.007082152974504249,1373,5,-24.391679616838992,0.84375,-60.29454900235619,27.25446748456804,0.03125,-39.35956361042282,-14.967883993583824,-0.19638684746999172,-0.01952422292567051,0.2541879096868172,0.29278951201748,,,,,,,,,,,,,
15,joint,high20,all,701,689,187,502,0,0.2714078374455733,0.23953908058698792,0.30581145240707086,0.28156748911465895,-0.14835925009887085,-102.21952331812201,-1.0530614886731386,-38.355843163182385,-18.355843163182374,0.7926062839622317,2.089075629523094,-0.9818260279660171,20.366499999999863,-1.485034482758628,136.35711459482874,15.740928882438316,9.5,214.552238805969,572,398,9,16,5,324,425,16,671,381,484,4,433,166,246,0,319,93,133,2,209,29,33,1,128,6,6,0,55,3,3,0,15,1,1,0,34,0.04934687953555878,16,0.023222060957910014,5,0.00725689404934688,681,10,-25.171445756741868,0.90625,-59.38571010304615,6.859585083298928,0.0009765625,-39.60445088601462,-14.433005129272761,-0.15529862641825018,0.09423248029848516,0.2657856093979442,0.2643171806167401,686.0,10.0,-0.8688434179187585,0.521484375,-32.19515731359039,30.022171731854144,0.0009765625,-39.01607735829855,-38.14723394037979,-0.15066682802388057,-0.0898579213443242,0.2696793002915452,0.29008746355685133
15,joint,high20,earlier,373,371,109,262,0,0.29380053908355797,0.24975328922149842,0.34207414508466316,0.30727762803234504,0.0009362165907884257,0.34733635518250594,-1.0505111111111107,-9.366251763837338,10.63374823616266,1.0013320562407715,2.395406936612572,-0.995236716548045,20.366499999999863,-1.485034482758628,102.11871868349155,17.150269541778975,10.0,192.735359525573,309,207,6,14,4,158,211,7,360,197,251,2,237,87,128,0,179,51,70,2,121,15,18,1,78,4,4,0,37,2,2,0,10,1,1,0,24,0.0646900269541779,14,0.03773584905660377,4,0.01078167115902965,371,5,-4.593316669763335,0.59375,-38.2109523813963,27.86526322118888,0.03125,-9.366251763837338,-4.772935094074002,0.0009362165907884257,0.2767129425221486,0.29380053908355797,0.261455525606469,369.0,5.0,14.734694520249109,0.125,-2.2108441959935887,34.25073121953822,0.03125,-9.398054620579952,-24.132749140829056,0.001067541701449258,0.007058264028716227,0.2926829268292683,0.27371273712737126
15,joint,high20,later,328,316,78,238,0,0.2468354430379747,0.20252534714763337,0.2972268095626653,0.25316455696202533,-0.3210008564943922,-101.43627065222793,-1.0559495798319336,-67.28580533335773,-47.28580533335772,0.5608706481644583,1.660997264487798,-0.9705632658919165,15.762078431372576,-1.3448786677240263,133.13007098318135,13.978639240506329,8.375,241.61369668176897,263,191,3,2,1,166,212,9,309,184,231,2,196,79,118,0,140,42,63,0,88,14,15,0,50,2,2,0,18,1,1,0,5,0,0,0,10,0.03164556962025317,2,0.006329113924050633,1,0.0031645569620253164,308,5,-47.509995337076894,0.90625,-92.28838778088773,12.404612742347574,0.03125,-70.79795324442968,-23.28795790735278,-0.3408282854705658,-0.12071652736928194,0.23376623376623376,0.2694805194805195,313.0,5.0,-16.206344865073962,0.65625,-66.65299324419283,48.83402859090418,0.03125,-69.01012017156927,-52.803775306495325,-0.32771307143286893,-0.2006676189273414,0.24281150159744408,0.30990415335463256
15,v9_both,baseline,all,7060,6969,1894,5075,0,0.27177500358731527,0.2614580505001975,0.282343422864959,0.28181948629645576,-0.09068578016044987,-631.9892019381751,-1.0765600000000008,-25.807289227326365,-5.807289227326354,0.8805822180302143,2.460540932977324,-1.0428086165511776,80.7416571428571,-2.8925263157896213,1211.1239081537647,14.10202324580284,8.25,171.606864274571,6132,4375,83,175,51,3495,4182,148,6767,4175,4873,35,4510,2048,2616,8,3363,1098,1473,13,2116,259,325,3,1331,57,59,4,588,10,10,1,139,1,1,1,434,0.06227579279667097,175,0.025111206772851197,51,0.007318123116659492,6925,10,-21.8658655643956,0.947265625,-41.428563513710415,-1.0721453877207212,0.0009765625,-25.34682037200928,-3.480954807613681,-0.08909007824454253,-0.017733035890307284,0.2713357400722022,0.27783393501805054,,,,,,,,,,,,,
15,v9_both,baseline,earlier,3282,3276,937,2339,0,0.286019536019536,0.2708026721688137,0.301737641874841,0.29853479853479853,0.028666418815949276,93.91118804104983,-1.0765448721586441,-3.2092130500482194,16.790786949951787,1.0378171328074985,2.750489434717202,-1.0616919248777121,80.7416571428571,-2.8925263157896213,584.024280906293,14.022283272283273,8.75,146.7238417149955,2895,2010,49,99,36,1562,1883,73,3166,1902,2229,18,2174,973,1237,2,1637,525,701,5,1075,140,174,3,683,35,35,4,304,8,8,1,84,1,1,1,210,0.0641025641025641,99,0.03021978021978022,36,0.01098901098901099,3260,5,-21.960271587315983,0.96875,-44.85945209932852,-2.863687944076925,0.03125,-3.7403030178491976,18.219968569466786,0.025391252336250374,0.10844220936219964,0.2852760736196319,0.27975460122699386,,,,,,,,,,,,,
15,v9_both,baseline,later,3778,3687,955,2732,0,0.2590181719555194,0.24513311377515848,0.27340486196910085,0.26688364524003255,-0.19728896546989674,-727.4044156875093,-1.076656603773586,-46.29325852728048,-26.293258527280468,0.7407935895833944,2.176827620026079,-1.0271869666224067,24.859655172413778,-1.9914074074074104,1212.6279338620463,14.144629780309195,8.0,191.011235955055,3233,2363,34,76,15,1931,2295,75,3595,2271,2640,17,2333,1075,1378,6,1724,573,772,8,1039,119,151,0,647,22,24,0,284,2,2,0,55,0,0,0,224,0.06075400054244643,76,0.02061296446975861,15,0.0040683482506102524,3643,5,-23.19799992275373,0.71875,-51.59038935960302,7.010114448058641,0.03125,-45.66537925912982,-22.467379336376094,-0.19554323513389818,-0.13024487331037923,0.25802909689816084,0.2758715344496294,,,,,,,,,,,,,
15,v9_both,high20,all,1736,1721,496,1225,0,0.28820453224869264,0.2672962525737619,0.31005620712835047,0.2975014526438117,-0.09980089374646545,-171.75733813766703,-1.0448912875867395,-36.98333116624191,-16.983331166241904,0.8546195589029119,2.03563762808884,-0.9644355931997811,29.207911111111184,-1.7192578512396628,376.64582088997173,18.0171411969785,11.0,221.46507666098802,1377,946,21,33,7,781,1050,32,1676,903,1180,10,1089,388,593,0,784,185,292,1,510,54,66,0,304,11,11,0,114,3,3,0,24,1,1,0,91,0.05287623474723998,33,0.01917489831493318,7,0.004067402672864613,1716,10,-27.93831408691902,0.93359375,-61.83786529594285,3.1070290820805813,0.0009765625,-37.5393505101697,-9.601036423250678,-0.10169357072072095,0.016845820552048904,0.2867132867132867,0.27564102564102566,1717.0,10.0,-37.37814975818276,0.990234375,-70.48817297320039,-10.468958305983216,0.0009765625,-36.28706034247862,1.091089415704141,-0.09775019790909137,0.03682624303805625,0.2888759464181712,0.31624927198602215
