timeframe_min,arm,period,baseline_closed,high20_closed,weeks,valid_bootstrap_draws,delta_win_rate,ci_low_win_rate,ci_high_win_rate,delta_mean_net_r,ci_low_mean_net_r,ci_high_mean_net_r,delta_mean_net_bp,ci_low_mean_net_bp,ci_high_mean_net_bp,delta_net_ge5r_rate,ci_low_net_ge5r_rate,ci_high_net_ge5r_rate,delta_net_ge10r_rate,ci_low_net_ge10r_rate,ci_high_net_ge10r_rate
15,joint,all,2736,689,10,2000,-0.0023494724959471913,-0.05227240611562212,0.040162221117466444,-0.1725465020312935,-0.36263796972934187,-0.01370623583322087,-33.38023931023443,-56.472433887011036,-11.049307871019916,-0.009307178808171859,-0.019205718694079128,0.0017030551041245575,-0.006631994839542008,-0.01065354378821625,-0.002914666599431508
15,joint,earlier,1323,371,5,2000,0.0005276743821218122,-0.030667381724537424,0.03509083064445684,-0.2644736482930954,-0.4386289932793812,-0.12949002638251667,-43.635514923474354,-61.8717762201766,-25.115242555368916,-0.007615624866298722,-0.017629380783494304,0.003913727098714806,-0.010382350004991513,-0.015310409462560189,-0.004944041323330463
15,joint,later,1411,316,5,2000,-0.009011474042110362,-0.10237963693764796,0.07489496698962528,-0.11984540579758618,-0.43006695992475746,0.13500033406113926,-26.7035904133312,-61.05245974976959,12.23275374736997,-0.01422368550897559,-0.025913943839522842,-0.006284367635506678,-0.003922615256259587,-0.009187374295750228,-0.00038429463621245005
15,v9_both,all,5842,1607,10,2000,0.01563725288647516,-0.023909685919431937,0.048534834073946494,-0.007516282179366424,-0.16397115144116373,0.11952776723761191,-14.167639165811913,-41.19670609647585,12.763910713410317,-0.0056545023942027005,-0.01403429659404947,0.0008961467746554624,-0.003346898742172798,-0.00535202867029673,-0.001603915559008073
15,v9_both,earlier,2755,780,5,2000,0.018693284936479093,-0.029438607950212747,0.04778155497579961,-0.03617762907933728,-0.16249960742447953,0.043501321314500685,-18.784628276773322,-43.671844597001225,13.33571184928541,-0.004848992507794688,-0.011005967333149957,0.005128934744844278,-0.004842012192284424,-0.006091032681216073,-0.0028490194648975726
15,v9_both,later,3081,823,5,2000,0.012360869721252388,-0.050518636656965876,0.06677419079559321,0.0131137491771042,-0.29389125951004375,0.22351057472481922,-12.092962141343264,-55.41690341191513,34.129124875215645,-0.0065994574200120455,-0.02141417399016367,0.0036233186753007384,-0.0021138455701723772,-0.0060489353024149005,-0.00025686319688009336
60,joint,all,656,178,10,2000,0.03615716634694438,-0.09794263287357212,0.17383891781748848,0.4298214221711548,-0.4347188638936117,1.1754129459065814,148.11090278668289,-123.54336435362751,407.10272241358246,0.03605439846533297,-0.020726317294092866,0.07875469827640308,0.011321594957522607,-0.008104622893973087,0.026260129107750066
60,joint,earlier,402,129,5,2000,0.05773458289945621,-0.09999732627469854,0.17166881514748222,0.5202217673125851,-0.394848991814657,1.1459083063195827,199.2513712633949,-101.53998946202648,418.6497853914688,0.04691657989124147,-0.008063081757277523,0.08533653846153846,0.01359481661460141,0.0,0.025318287037037035
60,joint,later,253,48,5,1999,-0.07913372859025034,-0.14245536806065054,0.2714285714285714,-0.4332891866232241,-0.5943820437367373,0.5774230253232498,-147.74484553622432,-197.0773448381604,347.4457138458798,-0.02766798418972332,-0.047244094488188976,-0.018808777429467086,-0.011857707509881422,-0.02,-0.005747126436781609
60,v9_both,all,1281,425,10,2000,0.022796528447444564,-0.05418147094734398,0.10872252945739852,0.13106167878264968,-0.22335454990920164,0.539850244871995,54.80113662046225,-83.49204810991,201.4441226920129,0.00801579648252744,-0.007937214547341476,0.022989223814715153,0.0016163842586214804,-0.004143724996183881,0.008172413688422848
60,v9_both,earlier,767,279,5,2000,0.04483324220885726,-0.051588195539535975,0.15234728546990728,0.16699390532950542,-0.24432407591208555,0.5230176616122533,95.56436285900972,-78.43993092034567,241.1630557181091,0.010084442014458413,-0.0059247578283397155,0.022205444775058848,0.0026028888795427887,0.0,0.004831517612741304
60,v9_both,later,505,141,5,1999,-0.041850993609999304,-0.09958072457088901,0.005852448450717453,-0.14224050663692764,-0.4525869523445151,0.05069759776255134,-72.24269882369754,-213.64944667334882,-8.863494970485533,-0.006769187557053578,-0.023923444976076555,0.005082817942702779,-0.005940594059405941,-0.010238907849829351,-0.0028011204481792717
