timeframe_min,arm,period,threshold_net_r,baseline_count,retained,lost,retention_rate,new_count,high20_total,baseline_high20_gate_passed
15,joint,all,0,2736,689,2047,0.25182748538011696,0,689,689
15,joint,all,3,177,34,143,0.192090395480226,0,34,34
15,joint,all,5,89,16,73,0.1797752808988764,0,16,16
15,joint,all,10,38,5,33,0.13157894736842105,0,5,5
15,joint,earlier,0,1323,371,952,0.2804232804232804,0,371,371
15,joint,earlier,3,100,24,76,0.24,0,24,24
15,joint,earlier,5,60,14,46,0.23333333333333334,0,14,14
15,joint,earlier,10,28,4,24,0.14285714285714285,0,4,4
15,joint,later,0,1411,316,1095,0.22395464209780297,0,316,316
15,joint,later,3,77,10,67,0.12987012987012986,0,10,10
15,joint,later,5,29,2,27,0.06896551724137931,0,2,2
15,joint,later,10,10,1,9,0.1,0,1,1
15,v9_both,all,0,5842,1434,4408,0.2454638822321123,173,1607,1438
15,v9_both,all,3,359,76,283,0.2116991643454039,12,88,76
15,v9_both,all,5,153,27,126,0.17647058823529413,6,33,27
15,v9_both,all,10,45,6,39,0.13333333333333333,1,7,6
15,v9_both,earlier,0,2755,685,2070,0.24863883847549909,95,780,687
15,v9_both,earlier,3,172,41,131,0.23837209302325582,7,48,41
15,v9_both,earlier,5,84,16,68,0.19047619047619047,4,20,16
15,v9_both,earlier,10,31,4,27,0.12903225806451613,1,5,4
15,v9_both,later,0,3081,745,2336,0.24180460889321648,78,823,747
15,v9_both,later,3,187,35,152,0.18716577540106952,5,40,35
15,v9_both,later,5,69,11,58,0.15942028985507245,2,13,11
15,v9_both,later,10,14,2,12,0.14285714285714285,0,2,2
60,joint,all,0,656,178,478,0.27134146341463417,0,178,178
60,joint,all,3,75,30,45,0.4,0,30,30
60,joint,all,5,39,17,22,0.4358974358974359,0,17,17
60,joint,all,10,11,5,6,0.45454545454545453,0,5,5
60,joint,earlier,0,402,129,273,0.3208955223880597,0,129,129
60,joint,earlier,3,60,27,33,0.45,0,27,27
60,joint,earlier,5,31,16,15,0.5161290322580645,0,16,16
60,joint,earlier,10,7,4,3,0.5714285714285714,0,4,4
60,joint,later,0,253,48,205,0.18972332015810275,0,48,48
60,joint,later,3,14,2,12,0.14285714285714285,0,2,2
60,joint,later,5,7,0,7,0.0,0,0,0
60,joint,later,10,3,0,3,0.0,0,0,0
60,v9_both,all,0,1281,382,899,0.29820452771272443,43,425,383
60,v9_both,all,3,112,34,78,0.30357142857142855,6,40,34
60,v9_both,all,5,47,17,30,0.3617021276595745,2,19,17
60,v9_both,all,10,13,5,8,0.38461538461538464,0,5,5
60,v9_both,earlier,0,767,245,522,0.3194263363754889,34,279,246
60,v9_both,earlier,3,91,31,60,0.34065934065934067,4,35,31
60,v9_both,earlier,5,39,16,23,0.41025641025641024,1,17,16
60,v9_both,earlier,10,9,4,5,0.4444444444444444,0,4,4
60,v9_both,later,0,505,132,373,0.2613861386138614,9,141,132
60,v9_both,later,3,20,2,18,0.1,2,4,2
60,v9_both,later,5,7,0,7,0.0,1,1,0
60,v9_both,later,10,3,0,3,0.0,0,0,0
