trade_key,arm,matched,reason,control_signal_i,control_signal_bar_open,control_net_r,control_net_return,control_exit_time,month,vol_bin,fold
binance_um:1000PEPEUSDT:4h:v9_long:1524,v9_long,True,matched,1529,2024-09-14 20:00:00+00:00,-1.0446045441472542,-0.046838480882068545,2024-09-15 20:00:00+00:00,2024-09,3,earlier
binance_um:1000PEPEUSDT:4h:v9_long:1558,v9_long,True,matched,1502,2024-09-10 08:00:00+00:00,-1.033226797240152,-0.06219237982959125,2024-09-11 12:00:00+00:00,2024-09,3,earlier
binance_um:1000PEPEUSDT:4h:v9_long:4950,v9_long,False,target_censored,5039,2026-04-22 20:00:00+00:00,,,2026-04-30 20:00:00+00:00,2026-04,3,later
binance_um:1000PEPEUSDT:4h:joint:1558,v10_4,True,matched,1569,2024-09-21 12:00:00+00:00,-1.0344158663883098,-0.06011273141969764,2024-09-22 20:00:00+00:00,2024-09,3,earlier
binance_um:1000PEPEUSDT:4h:joint:4999,v10_4,False,target_censored,5056,2026-04-25 16:00:00+00:00,,,2026-04-30 20:00:00+00:00,2026-04,3,later
binance_um:1000PEPEUSDT:4h:box_htf:1572,box_htf,True,matched,1545,2024-09-17 12:00:00+00:00,-1.0311334846296674,-0.0662395165138101,2024-09-18 12:00:00+00:00,2024-09,3,earlier
binance_um:1000PEPEUSDT:4h:box_chart:1562,box_chart,True,matched,1607,2024-09-27 20:00:00+00:00,-1.0185977930315406,-0.10953964175255337,2024-10-01 20:00:00+00:00,2024-09,3,earlier
binance_um:1000PEPEUSDT:4h:box_chart:4986,box_chart,False,target_censored,4990,2026-04-14 16:00:00+00:00,,,2026-04-29 16:00:00+00:00,2026-04,3,later
binance_um:1000PEPEUSDT:4h:box_any:1562,box_any,True,matched,1618,2024-09-29 16:00:00+00:00,-1.0242626326963908,-0.08443128538551081,2024-09-30 20:00:00+00:00,2024-09,3,earlier
binance_um:1000PEPEUSDT:4h:box_any:4986,box_any,False,target_censored,4950,2026-04-08 00:00:00+00:00,,,2026-04-30 20:00:00+00:00,2026-04,3,later
