signal_i,signal_bar_open,entry_i,entry_time,entry_price,initial_stop,initial_risk,initial_risk_frac,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,mfe_r,status,arm,trade_key,symbol,asset,timeframe,source,box_entry_i,bars_after_v9
1524,2024-09-14 00:00:00+00:00,1525,2024-09-14 04:00:00+00:00,0.007913,0.0072637,0.0006493000000000002,0.08205484645520034,1536,2024-09-16 00:00:00+00:00,0.0072637,initial_stop,-0.08205484645520034,-0.08405484645520034,-1.0,-1.024373941167411,False,0.03511473894963791,closed,v9_long,binance_um:1000PEPEUSDT:4h:v9_long:1524,1000PEPEUSDT,1000PEPE,4h,,1524,0
1558,2024-09-19 16:00:00+00:00,1559,2024-09-19 20:00:00+00:00,0.0080878,0.0074791,0.0006086999999999993,0.07526150498281355,1630,2024-10-01 16:00:00+00:00,0.009861,trailing_stop,0.21924379930265347,0.21724379930265347,2.9130934779037334,2.8865194677180916,False,6.377854443896837,closed,v9_long,binance_um:1000PEPEUSDT:4h:v9_long:1558,1000PEPEUSDT,1000PEPE,4h,,1558,0
4950,2026-04-08 00:00:00+00:00,4951,2026-04-08 04:00:00+00:00,0.0037065,0.0032936999999999997,0.0004128000000000005,0.11137191420477552,5087,2026-04-30 20:00:00+00:00,0.0038727,boundary_mark,,,,,True,1.1034399224806182,censored_boundary,v9_long,binance_um:1000PEPEUSDT:4h:v9_long:4950,1000PEPEUSDT,1000PEPE,4h,,4950,0
1558,2024-09-19 16:00:00+00:00,1559,2024-09-19 20:00:00+00:00,0.0080878,0.0074791,0.0006086999999999993,0.07526150498281355,1630,2024-10-01 16:00:00+00:00,0.009861,trailing_stop,0.21924379930265347,0.21724379930265347,2.9130934779037334,2.8865194677180916,False,6.377854443896837,closed,v10_4,binance_um:1000PEPEUSDT:4h:joint:1558,1000PEPEUSDT,1000PEPE,4h,,1558,0
4999,2026-04-16 04:00:00+00:00,5000,2026-04-16 08:00:00+00:00,0.0038613,0.0035627999999999996,0.00029850000000000015,0.07730557066273021,5087,2026-04-30 20:00:00+00:00,0.0038727,boundary_mark,,,,,True,1.0073701842546061,censored_boundary,v10_4,binance_um:1000PEPEUSDT:4h:joint:4999,1000PEPEUSDT,1000PEPE,4h,chart,4950,49
1572,2024-09-22 00:00:00+00:00,1573,2024-09-22 04:00:00+00:00,0.0082305,0.0077582,0.00047230000000000015,0.05738412004130978,1577,2024-09-22 20:00:00+00:00,0.0077582,initial_stop,-0.05738412004130977,-0.059384120041309774,-0.9999999999999999,-1.0348528477662502,False,0.104594537370315,closed,box_htf,binance_um:1000PEPEUSDT:4h:box_htf:1572,1000PEPEUSDT,1000PEPE,4h,htf,1558,14
1562,2024-09-20 08:00:00+00:00,1563,2024-09-20 12:00:00+00:00,0.0081841,0.0076428,0.0005412999999999998,0.06614044305421485,1630,2024-10-01 16:00:00+00:00,0.009861,trailing_stop,0.20489730086387015,0.20289730086387014,3.0979124330315915,3.067673748383522,False,6.9940883059301715,closed,box_chart,binance_um:1000PEPEUSDT:4h:box_chart:1562,1000PEPEUSDT,1000PEPE,4h,chart,1558,4
4986,2026-04-14 00:00:00+00:00,4987,2026-04-14 04:00:00+00:00,0.0037027,0.0034346,0.0002681000000000003,0.07240662219461481,5087,2026-04-30 20:00:00+00:00,0.0038727,boundary_mark,,,,,True,1.7131667288325223,censored_boundary,box_chart,binance_um:1000PEPEUSDT:4h:box_chart:4986,1000PEPEUSDT,1000PEPE,4h,chart,4950,36
1562,2024-09-20 08:00:00+00:00,1563,2024-09-20 12:00:00+00:00,0.0081841,0.0076428,0.0005412999999999998,0.06614044305421485,1630,2024-10-01 16:00:00+00:00,0.009861,trailing_stop,0.20489730086387015,0.20289730086387014,3.0979124330315915,3.067673748383522,False,6.9940883059301715,closed,box_any,binance_um:1000PEPEUSDT:4h:box_any:1562,1000PEPEUSDT,1000PEPE,4h,chart,1558,4
4986,2026-04-14 00:00:00+00:00,4987,2026-04-14 04:00:00+00:00,0.0037027,0.0034346,0.0002681000000000003,0.07240662219461481,5087,2026-04-30 20:00:00+00:00,0.0038727,boundary_mark,,,,,True,1.7131667288325223,censored_boundary,box_any,binance_um:1000PEPEUSDT:4h:box_any:4986,1000PEPEUSDT,1000PEPE,4h,chart,4950,36
