arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1524,closed,,1000PEPEUSDT,1000PEPE,4h,2024-09-14 00:00:00+00:00
v9_long,1558,closed,,1000PEPEUSDT,1000PEPE,4h,2024-09-19 16:00:00+00:00
v9_long,4950,censored_boundary,,1000PEPEUSDT,1000PEPE,4h,2026-04-08 00:00:00+00:00
v9_long,4998,skipped_in_position,binance_um:1000PEPEUSDT:4h:v9_long:4950,1000PEPEUSDT,1000PEPE,4h,2026-04-16 00:00:00+00:00
v10_4,1558,closed,,1000PEPEUSDT,1000PEPE,4h,2024-09-19 16:00:00+00:00
v10_4,4999,censored_boundary,,1000PEPEUSDT,1000PEPE,4h,2026-04-16 04:00:00+00:00
box_htf,1572,closed,,1000PEPEUSDT,1000PEPE,4h,2024-09-22 00:00:00+00:00
box_chart,1562,closed,,1000PEPEUSDT,1000PEPE,4h,2024-09-20 08:00:00+00:00
box_chart,4986,censored_boundary,,1000PEPEUSDT,1000PEPE,4h,2026-04-14 00:00:00+00:00
box_any,1562,closed,,1000PEPEUSDT,1000PEPE,4h,2024-09-20 08:00:00+00:00
box_any,4986,censored_boundary,,1000PEPEUSDT,1000PEPE,4h,2026-04-14 00:00:00+00:00
