方向,入场北京时间,入场纽约时间,ICT时段,入场价,初始止损,退出根北京时间,退出价,是否开盘退出,退出原因,毛R,净R,是否边界未平
空,2023-08-06 18:00:00+08:00,2023-08-06 06:00:00-04:00,lunch,1831.8,1838.45,2023-08-07 02:45:00+08:00,1834.18,True,opposite_v6_next_open,-0.3578947368421167,-0.9088120300751644,False
空,2023-08-07 15:00:00+08:00,2023-08-07 03:00:00-04:00,london,1832.81,1841.98,2023-08-08 02:00:00+08:00,1827.94,False,trailing_stop,0.5310796074154691,0.1313391494001955,False
多,2023-08-12 21:15:00+08:00,2023-08-12 09:15:00-04:00,new_york,1852.36,1850.27,2023-08-12 23:45:00+08:00,1850.27,False,initial_stop,-1.0,-2.772593301435522,False
空,2023-08-21 18:15:00+08:00,2023-08-21 06:15:00-04:00,lunch,1667.59,1675.86,2023-08-21 20:00:00+08:00,1675.86,False,initial_stop,-1.0,-1.403286577992724,False
多,2023-08-27 14:15:00+08:00,2023-08-27 02:15:00-04:00,london,1650.98,1647.99,2023-08-27 16:15:00+08:00,1647.99,False,initial_stop,-1.0,-2.1043344481605484,False
多,2023-08-27 22:15:00+08:00,2023-08-27 10:15:00-04:00,new_york,1656.01,1649.16,2023-08-28 08:45:00+08:00,1649.16,False,initial_stop,-1.0,-1.483506569343065,False
多,2023-09-24 20:00:00+08:00,2023-09-24 08:00:00-04:00,new_york,1593.97,1591.86,2023-09-24 23:15:00+08:00,1591.86,False,initial_stop,-1.0,-2.5108720379147234,False
多,2023-10-01 15:45:00+08:00,2023-10-01 03:45:00-04:00,london,1678.36,1674.36,2023-10-01 22:30:00+08:00,1679.15,False,trailing_stop,0.1975000000000589,-0.6416800000000287,False
多,2023-10-15 17:00:00+08:00,2023-10-15 05:00:00-04:00,lunch,1557.55,1553.43,2023-10-15 20:15:00+08:00,1553.43,False,initial_stop,-1.0,-1.7560922330097284,False
多,2023-10-28 19:30:00+08:00,2023-10-28 07:30:00-04:00,lunch,1795.7,1788.2,2023-10-28 19:30:00+08:00,1788.2,False,initial_stop,-1.0,-1.4788533333333314,False
空,2023-11-07 17:45:00+08:00,2023-11-07 04:45:00-05:00,london,1879.48,1893.31,2023-11-08 02:00:00+08:00,1893.31,False,initial_stop,-1.0,-1.2717975415762772,False
空,2023-11-19 19:30:00+08:00,2023-11-19 06:30:00-05:00,lunch,1947.41,1961.85,2023-11-19 23:15:00+08:00,1961.85,False,initial_stop,-1.0,-1.2697243767313071,False
空,2023-11-25 19:00:00+08:00,2023-11-25 06:00:00-05:00,lunch,2075.58,2085.01,2023-11-26 04:00:00+08:00,2085.01,False,initial_stop,-1.0,-1.4402078472958375,False
空,2023-12-10 17:00:00+08:00,2023-12-10 04:00:00-05:00,london,2344.83,2357.4500000000003,2023-12-11 02:15:00+08:00,2357.4500000000003,False,initial_stop,-1.0,-1.371605388272562,False
多,2023-12-24 22:30:00+08:00,2023-12-24 09:30:00-05:00,new_york,2302.52,2288.98,2023-12-24 22:45:00+08:00,2288.98,False,initial_stop,-1.0,-1.3401063515509677,False
多,2024-01-01 23:45:00+08:00,2024-01-01 10:45:00-05:00,new_york,2318.67,2298.82,2024-01-02 19:30:00+08:00,2389.13,False,trailing_stop,3.5496221662468694,3.316003022670038,False
多,2024-01-07 15:15:00+08:00,2024-01-07 02:15:00-05:00,london,2249.47,2239.56,2024-01-07 16:45:00+08:00,2239.56,False,initial_stop,-1.0,-1.4539798183652932,False
空,2024-01-07 17:15:00+08:00,2024-01-07 04:15:00-05:00,london,2236.74,2254.07,2024-01-07 21:30:00+08:00,2253.02,True,opposite_v6_next_open,-0.939411425274082,-1.1975464512405989,False
多,2024-01-07 21:30:00+08:00,2024-01-07 08:30:00-05:00,new_york,2253.02,2234.7200000000003,2024-01-07 23:15:00+08:00,2234.7200000000003,False,initial_stop,-1.0,-1.2462316939890783,False
多,2024-01-16 17:00:00+08:00,2024-01-16 04:00:00-05:00,london,2543.62,2521.4700000000003,2024-01-16 22:30:00+08:00,2521.4700000000003,False,initial_stop,-1.0,-1.229672234762982,False
空,2024-01-29 21:30:00+08:00,2024-01-29 08:30:00-05:00,new_york,2248.55,2267.65,2024-01-29 23:45:00+08:00,2267.65,False,initial_stop,-1.0,-1.2354502617800995,False
空,2024-02-03 20:45:00+08:00,2024-02-03 07:45:00-05:00,lunch,2305.4,2312.98,2024-02-04 00:15:00+08:00,2312.98,False,initial_stop,-1.0,-1.6082849604221638,False
多,2024-02-18 17:15:00+08:00,2024-02-18 04:15:00-05:00,london,2816.57,2794.43,2024-02-18 20:30:00+08:00,2794.43,False,initial_stop,-1.0,-1.2544327009936758,False
多,2024-02-24 16:00:00+08:00,2024-02-24 03:00:00-05:00,london,2963.99,2943.66,2024-02-26 17:15:00+08:00,3077.1,False,trailing_stop,5.563698967043804,5.272111165764898,False
空,2024-03-03 15:00:00+08:00,2024-03-03 02:00:00-05:00,london,3414.01,3432.6800000000003,2024-03-03 20:00:00+08:00,3432.6800000000003,False,initial_stop,-1.0,-1.3657214783074307,False
多,2024-03-03 20:30:00+08:00,2024-03-03 07:30:00-05:00,lunch,3443.43,3400.9500000000003,2024-03-04 08:45:00+08:00,3471.74,False,trailing_stop,0.6664312617702611,0.5043112052730915,False
多,2024-03-24 17:00:00+08:00,2024-03-24 05:00:00-04:00,lunch,3379.01,3325.34,2024-03-25 01:30:00+08:00,3344.82,True,opposite_v6_next_open,-0.6370411775666109,-0.7629591950810523,False
空,2024-03-29 16:30:00+08:00,2024-03-29 04:30:00-04:00,london,3532.53,3577.78,2024-03-31 12:00:00+08:00,3538.13,True,opposite_v6_next_open,-0.123756906077346,-0.2798908287292819,False
空,2024-04-12 21:30:00+08:00,2024-04-12 09:30:00-04:00,new_york,3478.1,3529.26,2024-04-13 12:45:00+08:00,3255.26,False,trailing_stop,4.355746677091445,4.219777169663767,False
空,2024-04-18 14:45:00+08:00,2024-04-18 02:45:00-04:00,london,2960.76,3025.55,2024-04-18 19:00:00+08:00,3025.55,False,initial_stop,-1.0,-1.0913955857385376,False
空,2024-04-23 15:30:00+08:00,2024-04-23 03:30:00-04:00,london,3166.88,3192.74,2024-04-23 21:30:00+08:00,3192.74,False,initial_stop,-1.0,-1.2449249806651264,False
多,2024-04-23 22:00:00+08:00,2024-04-23 10:00:00-04:00,new_york,3207.87,3171.51,2024-04-24 22:15:00+08:00,3233.36,False,trailing_stop,0.7010451045104639,0.5245946094609634,False
多,2024-05-03 21:30:00+08:00,2024-05-03 09:30:00-04:00,new_york,3045.2,2965.42,2024-05-06 18:30:00+08:00,3163.51,False,trailing_stop,1.482953121082988,1.4066131862622302,False
空,2024-05-19 19:15:00+08:00,2024-05-19 07:15:00-04:00,lunch,3094.38,3128.34,2024-05-20 13:00:00+08:00,3123.86,True,opposite_v6_next_open,-0.8680800942285037,-1.0503168433451038,False
多,2024-05-26 15:30:00+08:00,2024-05-26 03:30:00-04:00,london,3775.28,3750.22,2024-05-28 03:45:00+08:00,3885.89,False,trailing_stop,4.4138068635275305,4.11250758180367,False
多,2024-05-31 18:30:00+08:00,2024-05-31 06:30:00-04:00,lunch,3772.52,3728.01,2024-06-01 00:00:00+08:00,3728.01,False,initial_stop,-1.0,-1.1695133677825256,False
多,2024-06-01 17:00:00+08:00,2024-06-01 05:00:00-04:00,lunch,3800.14,3766.7,2024-06-02 17:30:00+08:00,3781.15,True,opposite_v6_next_open,-0.5678827751196175,-0.7951638755980954,False
多,2024-06-03 14:45:00+08:00,2024-06-03 02:45:00-04:00,london,3834.47,3808.85,2024-06-03 18:45:00+08:00,3808.85,False,initial_stop,-1.0,-1.299334113973467,False
多,2024-06-03 21:00:00+08:00,2024-06-03 09:00:00-04:00,new_york,3841.8,3803.11,2024-06-03 22:30:00+08:00,3803.11,False,initial_stop,-1.0,-1.1985939519255602,False
空,2024-06-17 14:45:00+08:00,2024-06-17 02:45:00-04:00,london,3561.71,3598.36,2024-06-19 04:45:00+08:00,3449.71,False,trailing_stop,3.055934515688942,2.8615710777626147,False
空,2024-06-23 19:45:00+08:00,2024-06-23 07:45:00-04:00,lunch,3495.02,3504.79,2024-06-23 21:00:00+08:00,3504.79,False,initial_stop,-1.0,-1.7154595701125992,False
