方向,入场北京时间,入场纽约时间,ICT时段,入场价,初始止损,退出根北京时间,退出价,是否开盘退出,退出原因,毛R,净R,是否边界未平
空,2026-01-01 22:35:00+08:00,2026-01-01 09:35:00-05:00,new_york,2979.33,2984.43,2026-01-01 22:50:00+08:00,2984.43,False,initial_stop,-1.0,-2.1683647058824342,False
空,2026-01-09 16:40:00+08:00,2026-01-09 03:40:00-05:00,london,3097.22,3115.07,2026-01-09 23:25:00+08:00,3115.07,False,initial_stop,-1.0,-1.3470274509803908,False
空,2026-01-16 23:30:00+08:00,2026-01-16 10:30:00-05:00,new_york,3288.0,3312.42,2026-01-17 05:35:00+08:00,3294.01,True,opposite_v6_next_open,-0.2461097461097543,-0.5153972153972347,False
多,2026-01-17 19:30:00+08:00,2026-01-17 06:30:00-05:00,lunch,3299.4,3289.87,2026-01-18 05:30:00+08:00,3309.09,False,trailing_stop,1.0167890870933736,0.3243651626442544,False
多,2026-01-18 16:50:00+08:00,2026-01-18 03:50:00-05:00,london,3313.33,3306.74,2026-01-18 22:55:00+08:00,3322.19,False,trailing_stop,1.3444613050076697,0.3388983308043285,False
空,2026-01-23 16:35:00+08:00,2026-01-23 03:35:00-05:00,london,2923.21,2949.34,2026-01-23 23:45:00+08:00,2949.34,False,initial_stop,-1.0,-1.2237435897436002,False
多,2026-01-24 19:25:00+08:00,2026-01-24 06:25:00-05:00,lunch,2962.5,2959.75,2026-01-24 19:55:00+08:00,2959.75,False,initial_stop,-1.0,-3.1545454545454517,False
空,2026-01-24 22:05:00+08:00,2026-01-24 09:05:00-05:00,new_york,2951.14,2960.55,2026-01-24 23:00:00+08:00,2960.55,False,initial_stop,-1.0,-1.6272348565355963,False
空,2026-01-27 16:35:00+08:00,2026-01-27 03:35:00-05:00,london,2923.95,2931.69,2026-01-27 19:40:00+08:00,2919.03,False,trailing_stop,0.6356589147286134,-0.1198837209302965,False
多,2026-01-27 22:20:00+08:00,2026-01-27 09:20:00-05:00,new_york,2928.72,2908.52,2026-01-27 22:35:00+08:00,2908.52,False,initial_stop,-1.0,-1.289972277227718,False
空,2026-02-05 19:00:00+08:00,2026-02-05 06:00:00-05:00,lunch,2096.86,2135.2200000000003,2026-02-06 08:35:00+08:00,1856.64,False,trailing_stop,6.262252346193932,6.15292700729925,False
空,2026-02-08 15:10:00+08:00,2026-02-08 02:10:00-05:00,london,2070.54,2084.27,2026-02-08 15:55:00+08:00,2084.27,False,initial_stop,-1.0,-1.3016081573197258,False
多,2026-02-13 21:35:00+08:00,2026-02-13 08:35:00-05:00,new_york,1977.17,1955.86,2026-02-14 14:05:00+08:00,2047.51,False,trailing_stop,3.300797747536373,3.1152351008916073,False
空,2026-02-17 18:20:00+08:00,2026-02-17 05:20:00-05:00,lunch,1963.99,1977.63,2026-02-17 21:10:00+08:00,1977.63,False,initial_stop,-1.0,-1.2879750733137691,False
空,2026-02-20 19:10:00+08:00,2026-02-20 06:10:00-05:00,lunch,1955.12,1963.14,2026-02-20 22:35:00+08:00,1950.01,False,trailing_stop,0.6371571072318911,0.149596009975039,False
多,2026-02-21 17:20:00+08:00,2026-02-21 04:20:00-05:00,london,1970.75,1965.33,2026-02-21 20:25:00+08:00,1971.36,False,trailing_stop,0.1125461254612766,-0.6146678966789351,False
空,2026-02-22 20:15:00+08:00,2026-02-22 07:15:00-05:00,lunch,1972.99,1981.04,2026-02-23 05:35:00+08:00,1948.12,False,trailing_stop,3.089440993788824,2.599257142857147,False
空,2026-02-26 23:00:00+08:00,2026-02-26 10:00:00-05:00,new_york,2050.32,2079.46,2026-02-27 03:00:00+08:00,2018.96,False,trailing_stop,1.0761839396019308,0.9354619080302058,False
空,2026-03-02 19:30:00+08:00,2026-03-02 06:30:00-05:00,lunch,1937.34,1952.11,2026-03-02 19:45:00+08:00,1952.11,False,initial_stop,-1.0,-1.2623344617467815,False
多,2026-03-02 22:40:00+08:00,2026-03-02 09:40:00-05:00,new_york,1947.9,1918.57,2026-03-03 07:30:00+08:00,2029.39,False,trailing_stop,2.7783839072621745,2.6455574497101737,False
空,2026-03-05 22:00:00+08:00,2026-03-05 09:00:00-05:00,new_york,2116.58,2132.11,2026-03-06 04:35:00+08:00,2096.4,False,trailing_stop,1.2994204764970751,1.0268409529941789,False
多,2026-03-06 15:30:00+08:00,2026-03-06 02:30:00-05:00,london,2083.41,2066.6,2026-03-06 17:10:00+08:00,2066.6,False,initial_stop,-1.0,-1.2478774538964938,False
空,2026-03-06 17:30:00+08:00,2026-03-06 04:30:00-05:00,london,2056.12,2077.39,2026-03-07 11:10:00+08:00,1984.87,False,trailing_stop,3.349788434414661,3.156453220498347,False
多,2026-03-07 19:20:00+08:00,2026-03-07 06:20:00-05:00,lunch,1989.82,1980.04,2026-03-07 20:45:00+08:00,1980.04,False,initial_stop,-1.0,-1.4069161554192309,False
空,2026-03-07 22:10:00+08:00,2026-03-07 09:10:00-05:00,new_york,1972.89,1982.64,2026-03-07 22:35:00+08:00,1982.64,False,initial_stop,-1.0,-1.4046953846153678,False
多,2026-03-07 22:45:00+08:00,2026-03-07 09:45:00-05:00,new_york,1984.15,1971.75,2026-03-08 02:00:00+08:00,1971.75,False,initial_stop,-1.0,-1.3200241935483912,False
多,2026-03-11 21:20:00+08:00,2026-03-11 09:20:00-04:00,new_york,2040.39,2020.07,2026-03-12 06:50:00+08:00,2060.13,False,trailing_stop,0.9714566929133784,0.7706309055117948,False
空,2026-03-18 18:45:00+08:00,2026-03-18 06:45:00-04:00,lunch,2313.38,2331.29,2026-03-19 01:35:00+08:00,2207.37,False,trailing_stop,5.919039642657793,5.660705750977172,False
多,2026-03-20 15:40:00+08:00,2026-03-20 03:40:00-04:00,london,2147.14,2126.01,2026-03-20 17:30:00+08:00,2141.11,True,opposite_v6_next_open,-0.2853762423095051,-0.4886076668244197,False
空,2026-03-20 17:30:00+08:00,2026-03-20 05:30:00-04:00,lunch,2141.11,2160.34,2026-03-21 05:30:00+08:00,2150.98,True,opposite_v6_next_open,-0.5132605304212107,-0.7359448777951109,False
多,2026-03-24 17:55:00+08:00,2026-03-24 05:55:00-04:00,lunch,2164.07,2149.49,2026-03-24 21:15:00+08:00,2149.49,False,initial_stop,-1.0,-1.296854595336084,False
多,2026-04-03 14:20:00+08:00,2026-04-03 02:20:00-04:00,london,2059.11,2051.84,2026-04-03 20:45:00+08:00,2051.84,False,initial_stop,-1.0,-1.5664676753782527,False
空,2026-04-03 21:05:00+08:00,2026-04-03 09:05:00-04:00,new_york,2046.57,2060.77,2026-04-04 05:10:00+08:00,2060.77,False,initial_stop,-1.0,-1.2882492957746503,False
多,2026-04-04 14:20:00+08:00,2026-04-04 02:20:00-04:00,london,2054.58,2051.95,2026-04-04 14:25:00+08:00,2051.95,False,initial_stop,-1.0,-2.562418250950508,False
空,2026-04-04 17:30:00+08:00,2026-04-04 05:30:00-04:00,lunch,2049.28,2051.81,2026-04-04 18:40:00+08:00,2051.81,False,initial_stop,-1.0,-2.619984189723452,False
多,2026-04-04 18:50:00+08:00,2026-04-04 06:50:00-04:00,lunch,2053.0,2046.42,2026-04-04 22:40:00+08:00,2046.42,False,initial_stop,-1.0,-1.6240121580547036,False
空,2026-04-09 19:30:00+08:00,2026-04-09 07:30:00-04:00,lunch,2179.54,2192.52,2026-04-09 23:15:00+08:00,2192.52,False,initial_stop,-1.0,-1.335830508474579,False
多,2026-04-11 19:50:00+08:00,2026-04-11 07:50:00-04:00,lunch,2242.66,2237.31,2026-04-11 21:10:00+08:00,2237.31,False,initial_stop,-1.0,-1.838377570093468,False
空,2026-04-11 21:30:00+08:00,2026-04-11 09:30:00-04:00,new_york,2236.72,2242.68,2026-04-11 22:05:00+08:00,2242.68,False,initial_stop,-1.0,-1.7505771812080162,False
多,2026-04-13 21:00:00+08:00,2026-04-13 09:00:00-04:00,new_york,2191.55,2172.24,2026-04-14 19:20:00+08:00,2371.89,False,trailing_stop,9.339202485758683,9.11221646815123,False
多,2026-04-15 19:55:00+08:00,2026-04-15 07:55:00-04:00,lunch,2335.15,2322.04,2026-04-15 21:30:00+08:00,2322.04,False,initial_stop,-1.0,-1.356239511823028,False
多,2026-04-21 15:30:00+08:00,2026-04-21 03:30:00-04:00,london,2319.84,2310.35,2026-04-21 20:35:00+08:00,2310.35,False,initial_stop,-1.0,-1.4889020021074808,False
空,2026-04-28 19:10:00+08:00,2026-04-28 07:10:00-04:00,lunch,2278.0,2286.93,2026-04-29 00:50:00+08:00,2286.93,False,initial_stop,-1.0,-1.5101903695409038,False
