方向,入场北京时间,入场纽约时间,ICT时段,入场价,初始止损,退出根北京时间,退出价,是否开盘退出,退出原因,毛R,净R,是否边界未平
多,2026-01-01 17:09:00+08:00,2026-01-01 04:09:00-05:00,london,2983.06,2979.74,2026-01-01 21:33:00+08:00,2981.66,True,opposite_v6_next_open,-0.4216867469880161,-2.218710843373717,False
空,2026-01-04 19:15:00+08:00,2026-01-04 06:15:00-05:00,lunch,3139.41,3145.38,2026-01-04 20:30:00+08:00,3143.11,True,opposite_v6_next_open,-0.6197654941373727,-1.6714941373533874,False
多,2026-01-04 20:30:00+08:00,2026-01-04 07:30:00-05:00,lunch,3143.11,3135.58,2026-01-04 20:42:00+08:00,3135.58,False,initial_stop,-1.0,-1.8348233731739627,False
空,2026-01-04 23:39:00+08:00,2026-01-04 10:39:00-05:00,new_york,3128.41,3136.49,2026-01-05 00:03:00+08:00,3136.49,False,initial_stop,-1.0,-1.7743589108910258,False
空,2026-01-06 15:30:00+08:00,2026-01-06 02:30:00-05:00,london,3219.91,3235.28,2026-01-06 19:06:00+08:00,3231.98,True,opposite_v6_next_open,-0.7852960312296612,-1.2042823682498438,False
多,2026-01-06 19:06:00+08:00,2026-01-06 06:06:00-05:00,lunch,3231.98,3224.69,2026-01-06 22:48:00+08:00,3269.5,False,trailing_stop,5.146776406035689,4.260087791495197,False
空,2026-01-09 16:03:00+08:00,2026-01-09 03:03:00-05:00,london,3106.57,3116.62,2026-01-09 17:00:00+08:00,3097.16,False,trailing_stop,0.9363184079602552,0.3180955223880962,False
多,2026-01-13 23:39:00+08:00,2026-01-13 10:39:00-05:00,new_york,3161.85,3135.69,2026-01-14 04:36:00+08:00,3193.12,False,trailing_stop,1.1953363914373147,0.9536047400611568,False
空,2026-01-14 17:57:00+08:00,2026-01-14 04:57:00-05:00,london,3326.65,3332.65,2026-01-14 18:12:00+08:00,3332.65,False,initial_stop,-1.0,-2.1088833333332904,False
多,2026-01-16 16:12:00+08:00,2026-01-16 03:12:00-05:00,london,3317.29,3306.28,2026-01-16 17:57:00+08:00,3306.28,False,initial_stop,-1.0,-1.6025958219800334,False
空,2026-01-16 18:18:00+08:00,2026-01-16 05:18:00-05:00,lunch,3301.88,3307.08,2026-01-16 20:18:00+08:00,3307.08,False,initial_stop,-1.0,-2.2699538461538564,False
多,2026-01-16 20:39:00+08:00,2026-01-16 07:39:00-05:00,lunch,3309.18,3302.94,2026-01-16 20:54:00+08:00,3302.94,False,initial_stop,-1.0,-2.0606346153846347,False
空,2026-01-16 22:54:00+08:00,2026-01-16 09:54:00-05:00,new_york,3294.65,3308.9,2026-01-16 23:09:00+08:00,3308.9,False,initial_stop,-1.0,-1.4624070175438706,False
多,2026-01-16 23:12:00+08:00,2026-01-16 10:12:00-05:00,new_york,3309.25,3283.9,2026-01-16 23:18:00+08:00,3283.9,False,initial_stop,-1.0,-1.2610848126232754,False
空,2026-01-16 23:42:00+08:00,2026-01-16 10:42:00-05:00,new_york,3260.79,3300.29,2026-01-17 05:03:00+08:00,3292.77,True,opposite_v6_next_open,-0.8096202531645574,-0.974723544303806,False
多,2026-01-17 16:09:00+08:00,2026-01-17 03:09:00-05:00,london,3291.96,3287.12,2026-01-18 00:33:00+08:00,3310.36,False,trailing_stop,3.801652892561888,2.441338842975173,False
空,2026-01-21 16:39:00+08:00,2026-01-21 03:39:00-05:00,london,2957.06,2970.65,2026-01-21 17:18:00+08:00,2970.65,False,initial_stop,-1.0,-1.435181751287707,False
空,2026-01-21 17:57:00+08:00,2026-01-21 04:57:00-05:00,london,2955.29,2970.39,2026-01-21 21:03:00+08:00,2936.87,False,trailing_stop,1.2198675496688864,0.8284384105960351,False
空,2026-01-22 16:12:00+08:00,2026-01-22 03:12:00-05:00,london,2997.03,3007.56,2026-01-22 17:06:00+08:00,3007.56,False,initial_stop,-1.0,-1.569236467236462,False
