方向,入场北京时间,入场纽约时间,ICT时段,入场价,初始止损,退出根北京时间,退出价,是否开盘退出,退出原因,毛R,净R,是否边界未平
多,2023-08-04 15:54:00+08:00,2023-08-04 03:54:00-04:00,london,1836.86,1831.63,2023-08-04 20:36:00+08:00,1831.63,False,initial_stop,-1.0,-1.7024321223709722,False
空,2023-08-05 16:15:00+08:00,2023-08-05 04:15:00-04:00,london,1830.65,1831.65,2023-08-05 16:33:00+08:00,1831.65,False,initial_stop,-1.0,-4.661299999999905,False
多,2023-08-05 16:39:00+08:00,2023-08-05 04:39:00-04:00,london,1832.14,1829.98,2023-08-05 20:51:00+08:00,1830.7,True,opposite_v6_next_open,-0.6666666666666666,-2.363092592592506,False
空,2023-08-05 20:51:00+08:00,2023-08-05 08:51:00-04:00,new_york,1830.7,1832.43,2023-08-05 21:15:00+08:00,1832.43,False,initial_stop,-1.0,-3.116416184971187,False
多,2023-08-06 14:03:00+08:00,2023-08-06 02:03:00-04:00,london,1836.71,1835.97,2023-08-06 14:09:00+08:00,1835.97,False,initial_stop,-1.0,-5.964081081081137,False
多,2023-08-08 19:54:00+08:00,2023-08-08 07:54:00-04:00,lunch,1836.9,1834.32,2023-08-08 21:33:00+08:00,1838.81,False,trailing_stop,0.7403100775192791,-0.6836434108527434,False
多,2023-08-10 15:21:00+08:00,2023-08-10 03:21:00-04:00,london,1853.94,1851.03,2023-08-10 15:45:00+08:00,1851.03,False,initial_stop,-1.0,-2.27418556701024,False
空,2023-08-10 19:36:00+08:00,2023-08-10 07:36:00-04:00,lunch,1851.89,1853.09,2023-08-10 20:15:00+08:00,1853.09,False,initial_stop,-1.0,-4.086483333333256,False
多,2023-08-10 20:21:00+08:00,2023-08-10 08:21:00-04:00,new_york,1853.39,1850.36,2023-08-10 22:36:00+08:00,1856.29,False,trailing_stop,0.9570957095709208,-0.2662640264026326,False
多,2023-08-11 19:39:00+08:00,2023-08-11 07:39:00-04:00,lunch,1850.02,1848.59,2023-08-11 20:54:00+08:00,1848.92,True,opposite_v6_next_open,-0.7692307692307937,-3.3566713286716885,False
空,2023-08-11 20:54:00+08:00,2023-08-11 08:54:00-04:00,new_york,1848.92,1851.96,2023-08-11 21:54:00+08:00,1851.96,False,initial_stop,-1.0,-2.216394736842095,False
