symbol,timeframe_min,fold,variant,raw_long_signals,raw_short_signals,admitted_long_signals,trades,win_rate,profit_factor,net_r,gross_return,net_return,max_drawdown_closed_trade
BTC,30,development,A,118,113,118,161,0.2857142857142857,0.7467492554294897,-23.339647608235907,-0.14884060730095794,-0.3836230196858169,0.4870157050516104
BTC,30,development,B12,118,113,42,119,0.2605042016806723,0.6550933609678421,-26.570244409964932,-0.23139761117616908,-0.394690363601357,0.44537976031909676
BTC,30,development,C24,118,113,55,131,0.26717557251908397,0.6477670711538595,-32.51117750602505,-0.24809057943996493,-0.4219200636837157,0.4703292107788132
BTC,30,validation,A,121,117,121,163,0.26993865030674846,0.8533020516528975,-5.835971190850556,0.011891476003276003,-0.26992068293685345,0.4290735119675648
BTC,30,validation,B12,121,117,36,113,0.2920353982300885,0.8581089891976157,2.6027285130340587,0.00010686626204847727,-0.20244461933901126,0.29439264410612576
BTC,30,validation,C24,121,117,58,130,0.2846153846153846,0.821900847379885,-5.200175359856887,-0.03809289571045815,-0.2586360692658197,0.32186468021725767
BTC,60,development,A,65,66,65,83,0.2289156626506024,0.8149878413665327,-15.037550317875311,-0.13148402987862784,-0.26475081008351475,0.367778440696232
BTC,60,development,B12,65,66,20,59,0.2033898305084746,0.5840565273363655,-19.41897019292881,-0.269156551530905,-0.35102623744840755,0.35102623744840755
BTC,60,development,C24,65,66,33,67,0.22388059701492538,0.7129931842194962,-14.59455744831018,-0.1936504812579346,-0.29523067774401945,0.29523067774401945
BTC,60,validation,A,48,76,48,81,0.2839506172839506,0.89714033407291,1.9829762898528918,-0.049299476880162896,-0.1918194841922869,0.31444917883080126
BTC,60,validation,B12,48,76,20,63,0.23809523809523808,0.7030839795367637,-9.710817371904877,-0.21846499831720323,-0.31148499896008675,0.3373081025180308
BTC,60,validation,C24,48,76,29,69,0.2753623188405797,0.9499828062441732,4.60095688972375,0.005362857640742069,-0.12446599225550126,0.26976121286827237
BTC,240,development,A,17,15,17,23,0.21739130434782608,1.0291069837640585,0.8175724242175628,-0.021445522489630497,-0.0656741865945234,0.3721105285135049
BTC,240,development,B12,17,15,4,16,0.125,0.2995922729373071,-7.262313820818459,-0.3182173386303312,-0.3402428258526834,0.3402428258526834
BTC,240,development,C24,17,15,7,19,0.21052631578947367,0.8230154995465286,-1.0157835589720885,-0.1139285859043,-0.14728846657331474,0.28185574225170285
BTC,240,validation,A,17,14,17,24,0.20833333333333334,0.5170359883992398,-11.09334650501124,-0.24526624140746578,-0.28111060009669364,0.2911843607447375
BTC,240,validation,B12,17,14,3,16,0.25,0.4739916396456969,-8.099634409615064,-0.17300458710453337,-0.1994004114628113,0.21305317832077886
BTC,240,validation,C24,17,14,6,17,0.23529411764705882,0.6023904628275255,-6.725228626192545,-0.15358744468760965,-0.18221388852522158,0.19615974020876947
ETH,30,development,A,123,110,123,159,0.3081761006289308,1.004252301436247,19.459852368158025,0.1552598140139998,-0.1597505912696282,0.549430882970041
ETH,30,development,B12,123,110,43,113,0.2920353982300885,0.8148992143748435,6.3898590643430175,-0.22115425450301807,-0.3792721846444581,0.5084804615562002
ETH,30,development,C24,123,110,69,130,0.2846153846153846,0.931080169608394,13.434657490024598,-0.03835226353401189,-0.2589669306727347,0.45986216272091585
ETH,30,validation,A,112,122,112,159,0.2893081761006289,0.9483592979639227,-11.146715374566426,0.09272451615398092,-0.20521861341334957,0.4829933126275937
ETH,30,validation,B12,112,122,35,109,0.3119266055045872,1.0809519734165942,10.649380894149715,0.2665137566944502,0.018508651100317852,0.3564950568083024
ETH,30,validation,C24,112,122,53,122,0.29508196721311475,0.9963765901981386,2.2444034106270436,0.14381595658086632,-0.10398307166599086,0.38414487627260197
ETH,60,development,A,58,61,58,79,0.24050632911392406,0.9201297662293385,-5.035260901619898,-0.16352597377105105,-0.28637610843077876,0.5050765271415154
ETH,60,development,B12,58,61,17,56,0.26785714285714285,0.8504585054507398,-4.239279271744621,-0.18635375002763022,-0.27309511654219176,0.3856744108736865
ETH,60,development,C24,58,61,32,64,0.265625,0.8958297793201743,-4.059916426149903,-0.14928584621126506,-0.25200871299843386,0.4346442082161627
ETH,60,validation,A,61,66,61,82,0.2073170731707317,0.8126400041656496,-5.778456730666494,-0.23327346828857187,-0.3498350506333714,0.5381389120812594
ETH,60,validation,B12,61,66,19,59,0.23728813559322035,1.052882482367709,7.590538191954014,0.08360859664628495,-0.03714083932671419,0.3354637142530511
ETH,60,validation,C24,61,66,28,65,0.2153846153846154,0.9410432404834698,3.0339289940700223,-0.051157450500688095,-0.16718133717976724,0.42521373478515534
ETH,240,development,A,14,16,14,16,0.5625,2.9879639834327216,10.28865987136168,1.191924069989752,1.1255805901672828,0.17516810282670858
ETH,240,development,B12,14,16,4,11,0.5454545454545454,3.5209906933726702,8.905986137892207,0.9460611782039632,0.9057674265913227,0.17823512091713978
ETH,240,development,C24,14,16,7,13,0.5384615384615384,2.8692048741396086,8.35557046129106,0.8511284286822327,0.8053607637633564,0.15265603946859307
ETH,240,validation,A,17,13,17,21,0.38095238095238093,1.1589441899449373,13.48227181937818,0.07189781037968124,0.027772757052360708,0.29676113663224823
ETH,240,validation,B12,17,13,1,9,0.4444444444444444,1.4065319840277797,3.0237908059562155,0.08908886442130748,0.0697661159923233,0.1316115846204925
ETH,240,validation,C24,17,13,3,11,0.45454545454545453,1.2390510317791599,2.5465565457714563,0.06058343801060673,0.03754626266600147,0.1316115846204925
SOL,30,development,A,101,113,101,158,0.27848101265822783,0.7840272296125683,7.110452750008724,-0.41287738334587665,-0.5726812065406461,0.6158526088897793
SOL,30,development,B12,101,113,28,107,0.2803738317757009,0.9026480477622236,9.704691454546175,-0.08495091317618164,-0.2616757190877155,0.3662483647010706
SOL,30,development,C24,101,113,44,120,0.2916666666666667,0.9417511383057713,17.313490778787354,-0.011283234447779011,-0.22263248849365236,0.4228367166096012
SOL,30,validation,A,107,123,107,161,0.2546583850931677,0.8714424435017014,-18.25993071663014,-0.1009319651255971,-0.3489476590209847,0.544152546999622
SOL,30,validation,B12,107,123,36,120,0.23333333333333334,0.8079935678974284,-25.050368630503407,-0.18272129725435382,-0.3576262288544956,0.43390926340756186
SOL,30,validation,C24,107,123,52,130,0.23846153846153847,0.8041834031854493,-25.948031538201334,-0.19324196877008915,-0.37848332156271025,0.45228953904259495
SOL,60,development,A,60,74,60,87,0.3448275862068966,0.9464927275859025,-0.9080718671355251,-0.06655397289329423,-0.21607593254044077,0.42053351218066126
SOL,60,development,B12,60,74,16,58,0.3620689655172414,0.9556475356046956,-1.5262906363607796,-0.049649556695316455,-0.15408841007952412,0.3893247030824857
SOL,60,development,C24,60,74,27,66,0.3484848484848485,0.911357700676247,-0.8130235976969182,-0.11482867246735129,-0.22474355727435147,0.43870037829203523
SOL,60,validation,A,53,63,53,77,0.3246753246753247,0.8302642372278186,6.694250766476477,-0.26371570453964566,-0.3694491004085999,0.6112239911510211
SOL,60,validation,B12,53,63,21,58,0.3448275862068966,0.889812432088977,10.964242038448862,-0.14689874803886105,-0.24082600880564864,0.521081075382465
SOL,60,validation,C24,53,63,34,69,0.34782608695652173,0.8827567631053905,11.118977762060739,-0.17032457442189786,-0.27781168044501303,0.594254268816726
SOL,240,development,A,19,13,19,20,0.45,1.4849073697292205,2.60477677655639,0.3185457262186395,0.26724281222871027,0.21628117297757132
SOL,240,development,B12,19,13,3,12,0.3333333333333333,0.6330739132147687,-2.4750894532929566,-0.196622240326085,-0.21610048681913718,0.27667244362288546
SOL,240,development,C24,19,13,8,16,0.3125,0.5901416401905719,-3.979001156260597,-0.25711112789813106,-0.2810246540310848,0.3329857894419851
SOL,240,validation,A,14,14,14,18,0.3333333333333333,0.7272480015015355,-4.6452295942080255,-0.17916474867936738,-0.20860887571697695,0.3822733370635082
SOL,240,validation,B12,14,14,3,12,0.4166666666666667,1.1528218535041743,-0.5892003837733284,0.044068433780519944,0.019304167024778884,0.16347909610893474
SOL,240,validation,C24,14,14,7,16,0.3125,0.6823133148645166,-4.780974201966673,-0.1848966233175009,-0.21098495878612367,0.3366471380922571
XRP,30,development,A,106,114,106,143,0.38461538461538464,1.508683705064261,64.88859689717125,2.2419878024893496,1.439313484993379,0.3248121335655354
XRP,30,development,B12,106,114,27,95,0.3684210526315789,1.0322961088906868,13.945095530371532,0.15982631512374668,-0.04094334949999712,0.3966765747744345
XRP,30,development,C24,106,114,50,112,0.4017857142857143,1.4261322077269343,50.39844056127831,1.21776948407252,0.7744624902976036,0.2541702682903848
XRP,30,validation,A,102,125,102,156,0.28846153846153844,0.8708798641577974,6.565166900609405,-0.06328461655226703,-0.31477902812194536,0.47363269022584553
XRP,30,validation,B12,102,125,35,115,0.30434782608695654,0.9007617702241744,-2.9467364773570948,-0.004382795644636839,-0.2092529657457043,0.37426401325252734
XRP,30,validation,C24,102,125,54,129,0.3023255813953488,0.8915131719976594,-5.5010170882108795,-0.016413469303198647,-0.240426386787419,0.4075566214965276
XRP,60,development,A,56,56,56,72,0.3472222222222222,1.4193419071253908,26.31366841376913,0.7736134401726567,0.5364166198668008,0.4311709415748125
XRP,60,development,B12,56,56,11,45,0.35555555555555557,0.8179400072771233,-5.8452457056916725,-0.1388725055241259,-0.21337775199883036,0.250231057768317
XRP,60,development,C24,56,56,25,53,0.32075471698113206,0.7014752997951493,-6.7734790702132806,-0.2970943646713071,-0.36838458026237364,0.3979758055950683
XRP,60,validation,A,53,64,53,79,0.2911392405063291,0.9860959429369927,35.384608679736246,-0.02412713880463746,-0.16715674567650296,0.3798833148876065
XRP,60,validation,B12,53,64,19,60,0.26666666666666666,0.6399608063424109,-15.382564291290082,-0.32911513687623306,-0.4055913204555429,0.4055913204555429
XRP,60,validation,C24,53,64,25,66,0.25757575757575757,0.56680732458554,-19.761144955598095,-0.43819634555375797,-0.5083614686097032,0.5083614686097032
XRP,240,development,A,18,19,18,17,0.47058823529411764,5.118119294160928,52.34595716730348,3.1626359352857625,3.028296454209821,0.34520246479539296
XRP,240,development,B12,18,19,2,10,0.5,2.0722191241128334,2.099629501618792,0.2837242570834755,0.2587030551664147,0.15601643219946504
XRP,240,development,C24,18,19,9,14,0.5,6.447153227308874,52.269455369585,3.605119269799715,3.4843906288057225,0.35065542013123097
XRP,240,validation,A,11,15,11,19,0.21052631578947367,0.44168779804819663,-7.450834874391447,-0.41343669574467834,-0.43600327258224625,0.43600327258224625
XRP,240,validation,B12,11,15,2,13,0.15384615384615385,0.5067696194378623,-4.368124743793793,-0.31099415290797194,-0.3292679215234774,0.34067091685976714
XRP,240,validation,C24,11,15,4,14,0.21428571428571427,0.5680054042879851,-3.5197277972289043,-0.28036070287728065,-0.3007883940346978,0.3126755646915894
DOGE,30,development,A,119,111,119,156,0.32051282051282054,1.4007853867345788,63.442007752600844,2.027583016563692,1.2189395108666412,0.3777257373687858
DOGE,30,development,B12,119,111,38,110,0.32727272727272727,1.3292141798484713,30.866797075979377,0.9859023273666723,0.5949479983416157,0.4202659006743851
DOGE,30,development,C24,119,111,62,128,0.328125,1.576289253907887,60.47196831083748,2.5242392677454473,1.7328991881081408,0.4291520371348623
DOGE,30,validation,A,107,132,107,146,0.363013698630137,1.2185738613410566,3.71181167003866,0.7976131957152894,0.3433010376485204,0.2861499717983591
DOGE,30,validation,B12,107,132,32,103,0.3786407766990291,1.266807974913473,6.118272419493714,0.6243999149325286,0.32278628194454995,0.18672898665364146
