tf,arm,period,adds,trades,add_mean_r,add_win,add_total_r,add_mean_bp,add_price_in_r_median,combined_mean_r,base_mean_r
15m,v9_add,full,7089,23205,-0.05181314980601544,0.3343207786711807,-367.30341897484345,-12.386282274124301,0.2079207920792103,-0.11571757071167664,-0.0998889381335752
15m,v9_add,later,3314,10857,-0.27596461679373196,0.27127338563669284,-914.5467400544278,-54.34027591883341,0.199999999999994,-0.31800072855140826,-0.23376505202433565
15m,v9_exit6_add,full,4331,25897,-0.01214162905337647,0.32925421380743475,-52.58539543017349,-5.015464182979465,0.0,-0.10475779494340286,-0.10272723559559527
15m,v9_exit6_add,later,2025,12090,-0.23020001861683867,0.2725925925925926,-466.15503769909833,-44.31091935922671,0.0,-0.18702542587566057,-0.1484683507971578
1h,v9_add,full,2198,6551,-0.06444485041371237,0.327115559599636,-141.64978120933978,-64.99210538051689,0.2171568627450979,-0.026749843833872872,-0.005127224201856419
1h,v9_add,later,1045,2926,-0.17267274301138288,0.2755980861244019,-180.44301644689511,-80.22253865122734,0.1714285714285716,-0.2209244188040309,-0.15925558201425133
1h,v9_exit6_add,full,1293,7448,0.007130542519520094,0.32869296210363497,9.21979147773948,-29.997090648561215,0.0,-0.016187108022660025,-0.01742499624469809
1h,v9_exit6_add,later,641,3291,-0.200010849121508,0.25585023400936036,-128.20695428688663,-96.22349783997768,0.0,-0.12644147409685869,-0.0874846359665376
