visual_id,image_path,sheet_no,sheet_position,timeframe_min,status
V0576,blind/cards/V0576.png,72,8,30,ready
V0577,blind/cards/V0577.png,73,1,30,ready
V0578,blind/cards/V0578.png,73,2,240,ready
V0579,blind/cards/V0579.png,73,3,30,ready
V0580,blind/cards/V0580.png,73,4,60,ready
V0581,blind/cards/V0581.png,73,5,60,ready
V0582,blind/cards/V0582.png,73,6,30,ready
V0583,blind/cards/V0583.png,73,7,30,ready
V0584,blind/cards/V0584.png,73,8,60,ready
V0585,blind/cards/V0585.png,74,1,30,ready
V0586,blind/cards/V0586.png,74,2,30,ready
V0587,blind/cards/V0587.png,74,3,240,ready
V0588,blind/cards/V0588.png,74,4,60,ready
V0589,blind/cards/V0589.png,74,5,30,ready
V0590,blind/cards/V0590.png,74,6,30,ready
V0591,blind/cards/V0591.png,74,7,30,ready
V0592,blind/cards/V0592.png,74,8,60,ready
V0593,blind/cards/V0593.png,75,1,30,ready
V0594,blind/cards/V0594.png,75,2,30,ready
V0595,blind/cards/V0595.png,75,3,30,ready
V0596,blind/cards/V0596.png,75,4,30,ready
V0597,blind/cards/V0597.png,75,5,30,ready
V0598,blind/cards/V0598.png,75,6,30,ready
V0599,blind/cards/V0599.png,75,7,30,ready
V0600,blind/cards/V0600.png,75,8,30,ready
V0601,blind/cards/V0601.png,76,1,30,ready
V0602,blind/cards/V0602.png,76,2,30,ready
V0603,blind/cards/V0603.png,76,3,60,ready
V0604,blind/cards/V0604.png,76,4,30,ready
V0605,blind/cards/V0605.png,76,5,60,ready
V0606,blind/cards/V0606.png,76,6,240,ready
V0607,blind/cards/V0607.png,76,7,30,ready
V0608,blind/cards/V0608.png,76,8,60,ready
V0609,blind/cards/V0609.png,77,1,30,ready
V0610,blind/cards/V0610.png,77,2,30,ready
V0611,blind/cards/V0611.png,77,3,30,ready
V0612,blind/cards/V0612.png,77,4,60,ready
V0613,blind/cards/V0613.png,77,5,30,ready
V0614,blind/cards/V0614.png,77,6,30,ready
V0615,blind/cards/V0615.png,77,7,30,ready
V0616,blind/cards/V0616.png,77,8,30,ready
V0617,blind/cards/V0617.png,78,1,60,ready
V0618,blind/cards/V0618.png,78,2,30,ready
V0619,blind/cards/V0619.png,78,3,30,ready
V0620,blind/cards/V0620.png,78,4,30,ready
V0621,blind/cards/V0621.png,78,5,30,ready
V0622,blind/cards/V0622.png,78,6,30,ready
V0623,blind/cards/V0623.png,78,7,30,ready
V0624,blind/cards/V0624.png,78,8,30,ready
V0625,blind/cards/V0625.png,79,1,30,ready
V0626,blind/cards/V0626.png,79,2,30,ready
V0627,blind/cards/V0627.png,79,3,30,ready
V0628,blind/cards/V0628.png,79,4,30,ready
V0629,blind/cards/V0629.png,79,5,30,ready
V0630,blind/cards/V0630.png,79,6,60,ready
V0631,blind/cards/V0631.png,79,7,30,ready
V0632,blind/cards/V0632.png,79,8,30,ready
V0633,blind/cards/V0633.png,80,1,30,ready
V0634,blind/cards/V0634.png,80,2,30,ready
V0635,blind/cards/V0635.png,80,3,30,ready
V0636,blind/cards/V0636.png,80,4,30,ready
V0637,blind/cards/V0637.png,80,5,30,ready
V0638,blind/cards/V0638.png,80,6,30,ready
V0639,blind/cards/V0639.png,80,7,30,ready
V0640,blind/cards/V0640.png,80,8,240,ready
V0641,blind/cards/V0641.png,81,1,30,ready
V0642,blind/cards/V0642.png,81,2,60,ready
V0643,blind/cards/V0643.png,81,3,30,ready
V0644,blind/cards/V0644.png,81,4,30,ready
V0645,blind/cards/V0645.png,81,5,60,ready
V0646,blind/cards/V0646.png,81,6,60,ready
V0647,blind/cards/V0647.png,81,7,30,ready
V0648,blind/cards/V0648.png,81,8,30,ready
V0649,blind/cards/V0649.png,82,1,30,ready
V0650,blind/cards/V0650.png,82,2,240,ready
V0651,blind/cards/V0651.png,82,3,60,ready
V0652,blind/cards/V0652.png,82,4,30,ready
V0653,blind/cards/V0653.png,82,5,60,ready
V0654,blind/cards/V0654.png,82,6,60,ready
V0655,blind/cards/V0655.png,82,7,30,ready
V0656,blind/cards/V0656.png,82,8,240,ready
V0657,blind/cards/V0657.png,83,1,60,ready
V0658,blind/cards/V0658.png,83,2,60,ready
V0659,blind/cards/V0659.png,83,3,30,ready
V0660,blind/cards/V0660.png,83,4,30,ready
V0661,blind/cards/V0661.png,83,5,30,ready
V0662,blind/cards/V0662.png,83,6,240,ready
V0663,blind/cards/V0663.png,83,7,30,ready
V0664,blind/cards/V0664.png,83,8,60,ready
V0665,blind/cards/V0665.png,84,1,30,ready
V0666,blind/cards/V0666.png,84,2,30,ready
V0667,blind/cards/V0667.png,84,3,240,ready
V0668,blind/cards/V0668.png,84,4,30,ready
V0669,blind/cards/V0669.png,84,5,30,ready
V0670,blind/cards/V0670.png,84,6,30,ready
V0671,blind/cards/V0671.png,84,7,30,ready
V0672,blind/cards/V0672.png,84,8,30,ready
V0673,blind/cards/V0673.png,85,1,30,ready
V0674,blind/cards/V0674.png,85,2,60,ready
V0675,blind/cards/V0675.png,85,3,30,ready
V0676,blind/cards/V0676.png,85,4,60,ready
V0677,blind/cards/V0677.png,85,5,30,ready
V0678,blind/cards/V0678.png,85,6,30,ready
V0679,blind/cards/V0679.png,85,7,30,ready
V0680,blind/cards/V0680.png,85,8,30,ready
V0681,blind/cards/V0681.png,86,1,30,ready
V0682,blind/cards/V0682.png,86,2,30,ready
V0683,blind/cards/V0683.png,86,3,30,ready
V0684,blind/cards/V0684.png,86,4,30,ready
V0685,blind/cards/V0685.png,86,5,30,ready
V0686,blind/cards/V0686.png,86,6,30,ready
V0687,blind/cards/V0687.png,86,7,30,ready
V0688,blind/cards/V0688.png,86,8,30,ready
V0689,blind/cards/V0689.png,87,1,240,ready
V0690,blind/cards/V0690.png,87,2,60,ready
V0691,blind/cards/V0691.png,87,3,60,ready
V0692,blind/cards/V0692.png,87,4,30,ready
V0693,blind/cards/V0693.png,87,5,30,ready
V0694,blind/cards/V0694.png,87,6,30,ready
V0695,blind/cards/V0695.png,87,7,30,ready
V0696,blind/cards/V0696.png,87,8,30,ready
V0697,blind/cards/V0697.png,88,1,60,ready
V0698,blind/cards/V0698.png,88,2,60,ready
V0699,blind/cards/V0699.png,88,3,30,ready
V0700,blind/cards/V0700.png,88,4,30,ready
V0701,blind/cards/V0701.png,88,5,30,ready
V0702,blind/cards/V0702.png,88,6,60,ready
V0703,blind/cards/V0703.png,88,7,30,ready
V0704,blind/cards/V0704.png,88,8,60,ready
V0705,blind/cards/V0705.png,89,1,30,ready
V0706,blind/cards/V0706.png,89,2,30,ready
V0707,blind/cards/V0707.png,89,3,30,ready
V0708,blind/cards/V0708.png,89,4,240,ready
V0709,blind/cards/V0709.png,89,5,30,ready
V0710,blind/cards/V0710.png,89,6,30,ready
V0711,blind/cards/V0711.png,89,7,30,ready
V0712,blind/cards/V0712.png,89,8,30,ready
V0713,blind/cards/V0713.png,90,1,30,ready
V0714,blind/cards/V0714.png,90,2,30,ready
V0715,blind/cards/V0715.png,90,3,30,ready
V0716,blind/cards/V0716.png,90,4,30,ready
V0717,blind/cards/V0717.png,90,5,30,ready
V0718,blind/cards/V0718.png,90,6,60,ready
V0719,blind/cards/V0719.png,90,7,30,ready
V0720,blind/cards/V0720.png,90,8,30,ready
V0721,blind/cards/V0721.png,91,1,60,ready
V0722,blind/cards/V0722.png,91,2,30,ready
V0723,blind/cards/V0723.png,91,3,30,ready
V0724,blind/cards/V0724.png,91,4,30,ready
V0725,blind/cards/V0725.png,91,5,30,ready
V0726,blind/cards/V0726.png,91,6,30,ready
V0727,blind/cards/V0727.png,91,7,30,ready
V0728,blind/cards/V0728.png,91,8,30,ready
V0729,blind/cards/V0729.png,92,1,30,ready
V0730,blind/cards/V0730.png,92,2,30,ready
V0731,blind/cards/V0731.png,92,3,30,ready
V0732,blind/cards/V0732.png,92,4,60,ready
V0733,blind/cards/V0733.png,92,5,30,ready
V0734,blind/cards/V0734.png,92,6,240,ready
V0735,blind/cards/V0735.png,92,7,30,ready
V0736,blind/cards/V0736.png,92,8,30,ready
V0737,blind/cards/V0737.png,93,1,30,ready
V0738,blind/cards/V0738.png,93,2,30,ready
V0739,blind/cards/V0739.png,93,3,30,ready
V0740,blind/cards/V0740.png,93,4,30,ready
V0741,blind/cards/V0741.png,93,5,60,ready
V0742,blind/cards/V0742.png,93,6,30,ready
V0743,blind/cards/V0743.png,93,7,30,ready
V0744,blind/cards/V0744.png,93,8,60,ready
V0745,blind/cards/V0745.png,94,1,30,ready
V0746,blind/cards/V0746.png,94,2,30,ready
V0747,blind/cards/V0747.png,94,3,30,ready
V0748,blind/cards/V0748.png,94,4,30,ready
V0749,blind/cards/V0749.png,94,5,240,ready
V0750,blind/cards/V0750.png,94,6,30,ready
V0751,blind/cards/V0751.png,94,7,30,ready
V0752,blind/cards/V0752.png,94,8,30,ready
V0753,blind/cards/V0753.png,95,1,30,ready
V0754,blind/cards/V0754.png,95,2,30,ready
V0755,blind/cards/V0755.png,95,3,30,ready
V0756,blind/cards/V0756.png,95,4,30,ready
V0757,blind/cards/V0757.png,95,5,30,ready
V0758,blind/cards/V0758.png,95,6,60,ready
V0759,blind/cards/V0759.png,95,7,240,ready
V0760,blind/cards/V0760.png,95,8,30,ready
V0761,blind/cards/V0761.png,96,1,30,ready
V0762,blind/cards/V0762.png,96,2,60,ready
V0763,blind/cards/V0763.png,96,3,30,ready
V0764,blind/cards/V0764.png,96,4,30,ready
V0765,blind/cards/V0765.png,96,5,30,ready
V0766,blind/cards/V0766.png,96,6,30,ready
V0767,blind/cards/V0767.png,96,7,240,ready
V0768,blind/cards/V0768.png,96,8,60,ready
V0769,blind/cards/V0769.png,97,1,60,ready
V0770,blind/cards/V0770.png,97,2,60,ready
V0771,blind/cards/V0771.png,97,3,30,ready
V0772,blind/cards/V0772.png,97,4,30,ready
V0773,blind/cards/V0773.png,97,5,30,ready
V0774,blind/cards/V0774.png,97,6,60,ready
V0775,blind/cards/V0775.png,97,7,30,ready
V0776,blind/cards/V0776.png,97,8,30,ready
V0777,blind/cards/V0777.png,98,1,30,ready
V0778,blind/cards/V0778.png,98,2,60,ready
V0779,blind/cards/V0779.png,98,3,30,ready
V0780,blind/cards/V0780.png,98,4,60,ready
V0781,blind/cards/V0781.png,98,5,30,ready
V0782,blind/cards/V0782.png,98,6,60,ready
V0783,blind/cards/V0783.png,98,7,60,ready
V0784,blind/cards/V0784.png,98,8,30,ready
V0785,blind/cards/V0785.png,99,1,30,ready
V0786,blind/cards/V0786.png,99,2,30,ready
V0787,blind/cards/V0787.png,99,3,30,ready
V0788,blind/cards/V0788.png,99,4,30,ready
V0789,blind/cards/V0789.png,99,5,30,ready
V0790,blind/cards/V0790.png,99,6,30,ready
V0791,blind/cards/V0791.png,99,7,30,ready
V0792,blind/cards/V0792.png,99,8,30,ready
V0793,blind/cards/V0793.png,100,1,30,ready
V0794,blind/cards/V0794.png,100,2,30,ready
V0795,blind/cards/V0795.png,100,3,30,ready
V0796,blind/cards/V0796.png,100,4,30,ready
V0797,blind/cards/V0797.png,100,5,30,ready
V0798,blind/cards/V0798.png,100,6,30,ready
V0799,blind/cards/V0799.png,100,7,60,ready
V0800,blind/cards/V0800.png,100,8,30,ready
V0801,blind/cards/V0801.png,101,1,30,ready
V0802,blind/cards/V0802.png,101,2,30,ready
V0803,blind/cards/V0803.png,101,3,30,ready
V0804,blind/cards/V0804.png,101,4,30,ready
V0805,blind/cards/V0805.png,101,5,30,ready
