code,name,collection_status,evaluation_status,error
sh.600000,浦发银行,collected,covered,
sh.600004,白云机场,collected,covered,
sh.600006,东风股份,collected,covered,
sh.600007,中国国贸,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600008,首创环保,collected,covered,
sh.600009,上海机场,collected,covered,
sh.600010,包钢股份,collected,covered,
sh.600011,华能国际,collected,covered,
sh.600012,皖通高速,collected,covered,
sh.600015,华夏银行,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600016,民生银行,collected,covered,
sh.600017,日照港,collected,covered,
sh.600018,上港集团,collected,covered,
sh.600019,宝钢股份,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600020,中原高速,collected,covered,
sh.600021,上海电力,collected,covered,
sh.600022,山东钢铁,collected,covered,
sh.600023,浙能电力,collected,covered,
sh.600025,华能水电,collected,covered,
sh.600026,中远海能,collected,covered,
sh.600027,华电国际,collected,covered,
sh.600028,中国石化,collected,covered,
sh.600029,南方航空,collected,covered,
sh.600030,中信证券,collected,covered,
sh.600031,三一重工,collected,covered,
sh.600032,浙江新能,collected,covered,
sh.600033,福建高速,collected,covered,
sh.600035,楚天高速,collected,covered,
sh.600036,招商银行,collected,covered,
sh.600037,歌华有线,collected,covered,
sh.600038,中直股份,collected,covered,
sh.600039,四川路桥,collected,covered,
sh.600048,保利发展,collected,covered,
sh.600050,中国联通,collected,covered,
sh.600051,宁波联合,collected,covered,
sh.600052,东望时代,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600053,*ST九鼎,collected,covered,
sh.600054,黄山旅游,collected,covered,
sh.600055,万东医疗,collected,covered,
sh.600056,中国医药,collected,covered,
sh.600057,厦门象屿,collected,covered,
sh.600058,五矿发展,collected,covered,
sh.600059,古越龙山,collected,covered,
sh.600060,海信视像,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600061,国投资本,collected,covered,
sh.600062,华润双鹤,collected,covered,
sh.600063,皖维高新,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600064,南京高科,collected,covered,
sh.600066,宇通客车,collected,covered,
sh.600067,冠城新材,collected,covered,
sh.600070,*ST富润,collected,covered,
sh.600071,凤凰光学,collected,covered,
sh.600072,中船科技,collected,covered,
sh.600073,光明肉业,collected,covered,
sh.600075,新疆天业,collected,covered,
sh.600076,康欣新材,collected,covered,
sh.600078,澄星股份,collected,covered,
sh.600079,ST人福,collected,covered,
sh.600080,ST金花,collected,covered,
sh.600081,东风科技,collected,covered,
sh.600082,ST海泰,collected,covered,
sh.600083,*ST博信,collected,covered,
sh.600084,*ST尼雅,collected,covered,
sh.600085,同仁堂,collected,covered,
sh.600088,中视传媒,collected,covered,
sh.600089,特变电工,collected,covered,
sh.600094,大名城,collected,covered,
sh.600095,湘财股份,collected,covered,
sh.600096,云天化,collected,covered,
sh.600097,开创国际,collected,covered,
sh.600098,广州发展,collected,covered,
sh.600099,林海股份,collected,covered,
sh.600100,同方股份,collected,covered,
sh.600101,明星电力,collected,covered,
sh.600103,青山纸业,collected,covered,
sh.600104,上汽集团,collected,covered,
sh.600105,永鼎股份,collected,covered,
sh.600106,重庆路桥,collected,covered,
sh.600107,*ST尔雅,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600108,亚盛集团,collected,covered,
sh.600109,国金证券,collected,covered,
sh.600110,诺德股份,collected,covered,
sh.600111,北方稀土,collected,covered,
sh.600112,*ST天成,collected,covered,
sh.600113,浙江东日,failed,unavailable,AShareDataError: BaoStock query wall-clock timeout
sh.600114,东睦股份,collected,covered,
sh.600115,中国东航,collected,covered,
sh.600116,三峡水利,collected,covered,
sh.600117,西宁特钢,collected,covered,
sh.600118,中国卫星,collected,covered,
sh.600119,*ST长投,collected,covered,
sh.600120,浙江东方,collected,covered,
sh.600121,郑州煤电,collected,covered,
sh.600123,兰花科创,collected,covered,
sh.600125,铁龙物流,collected,covered,
