event_id,entry_time,fold,match_status,event_net_return,control_mean_return,excess
2023-10-06T12:00:00+00:00_S,2023-10-06 13:00:00+00:00,2023H2,matched,-0.0157366266015057,-0.0036563955126568018,-0.012080231088848897
2023-10-08T15:00:00+00:00_S,2023-10-08 16:00:00+00:00,2023H2,matched,-0.0018207885304659,-0.0027832183749511,0.0009624298444852002
2023-10-30T08:00:00+00:00_L,2023-10-30 09:00:00+00:00,2023H2,matched,-0.002,-0.0022057413186871507,0.00020574131868715062
2023-10-31T12:00:00+00:00_S,2023-10-31 13:00:00+00:00,2023H2,matched,-0.006792318298552,-0.0006685995422798964,-0.006123718756272104
2023-11-01T05:00:00+00:00_S,2023-11-01 06:00:00+00:00,2023H2,matched,-0.0048525936771388,-0.0043139118263122245,-0.0005386818508265759
2023-11-26T10:00:00+00:00_S,2023-11-26 11:00:00+00:00,2023H2,matched,-0.0006420394869455,-0.0028747390156573034,0.0022326995287118034
2023-12-20T04:00:00+00:00_L,2023-12-20 05:00:00+00:00,2023H2,matched,0.012336373320376,-0.007824421867525926,0.020160795187901925
2023-12-22T18:00:00+00:00_L,2023-12-22 19:00:00+00:00,2023H2,matched,-0.0089453130507753,-0.006275379168221257,-0.002669933882554044
2023-12-26T05:00:00+00:00_S,2023-12-26 06:00:00+00:00,2023H2,matched,0.0008402317068039,0.0014548501536943443,-0.0006146184468904443
2024-01-15T10:00:00+00:00_S,2024-01-15 11:00:00+00:00,2024H1,matched,-0.0032051900699854,-0.0030881150104359674,-0.00011707505954943256
2024-01-15T14:00:00+00:00_S,2024-01-15 15:00:00+00:00,2024H1,matched,-0.0136232502920623,4.8102258857116976e-05,-0.013671352550919417
2024-01-31T20:00:00+00:00_S,2024-01-31 21:00:00+00:00,2024H1,matched,0.0058584168955964,0.002655283165979259,0.003203133729617141
2024-02-07T03:00:00+00:00_S,2024-02-07 04:00:00+00:00,2024H1,matched,-0.0076364018593353,-0.0031430610063882427,-0.004493340852947057
2024-02-12T14:00:00+00:00_L,2024-02-12 15:00:00+00:00,2024H1,matched,0.0060417639020072,-0.0036436648592258463,0.009685428761233046
2024-02-16T10:00:00+00:00_L,2024-02-16 11:00:00+00:00,2024H1,matched,-0.0115311827956988,0.007983880919404348,-0.01951506371510315
2024-02-19T17:00:00+00:00_L,2024-02-19 18:00:00+00:00,2024H1,matched,-0.0030545590505133,-0.0021709487171258997,-0.0008836103333874001
2024-02-25T17:00:00+00:00_L,2024-02-25 18:00:00+00:00,2024H1,matched,-0.002897763541105,-0.0017945993493592143,-0.0011031641917457857
2024-02-29T19:00:00+00:00_L,2024-02-29 20:00:00+00:00,2024H1,matched,0.0033557033699409,-0.0011353309142105104,0.00449103428415141
2024-03-11T06:00:00+00:00_L,2024-03-11 07:00:00+00:00,2024H1,matched,0.012819059976932,-0.005888540113988036,0.018707600090920037
2024-03-16T01:00:00+00:00_S,2024-03-16 02:00:00+00:00,2024H1,matched,0.0007814726224035,-0.002478730057124214,0.003260202679527714
2024-03-27T05:00:00+00:00_L,2024-03-27 06:00:00+00:00,2024H1,matched,-0.0042985602783244,-0.0020375544883431576,-0.0022610057899812423
2024-04-03T19:00:00+00:00_S,2024-04-03 20:00:00+00:00,2024H1,matched,-0.0080955491391878,-0.003984645530778688,-0.004110903608409113
2024-04-19T01:00:00+00:00_S,2024-04-19 02:00:00+00:00,2024H1,matched,-0.0309642740085218,-0.011774221547328878,-0.019190052461192923
2024-04-21T22:00:00+00:00_L,2024-04-21 23:00:00+00:00,2024H1,matched,-0.0019999999999999,0.0053347415407982365,-0.007334741540798136
2024-04-30T08:00:00+00:00_S,2024-04-30 09:00:00+00:00,2024H1,matched,0.0358583057154485,0.002700095691426671,0.03315821002402183
2024-05-07T11:00:00+00:00_S,2024-05-07 12:00:00+00:00,2024H1,matched,-0.0105184858544944,-0.0012514009490277572,-0.009267084905466643
2024-05-13T06:00:00+00:00_L,2024-05-13 07:00:00+00:00,2024H1,matched,0.0080647302850603,0.0064804258489460365,0.0015843044361142627
2024-05-20T06:00:00+00:00_S,2024-05-20 07:00:00+00:00,2024H1,matched,-0.0066831565981309,-0.0027173397816079655,-0.003965816816522935
2024-05-23T11:00:00+00:00_L,2024-05-23 12:00:00+00:00,2024H1,matched,-0.0082667885923302,-0.00413431171654882,-0.004132476875781379
2024-05-26T13:00:00+00:00_L,2024-05-26 14:00:00+00:00,2024H1,matched,-0.002966124884658,-0.0008110518777099471,-0.002155073006948053
2024-05-30T06:00:00+00:00_S,2024-05-30 07:00:00+00:00,2024H1,matched,-0.0040501558619572,-0.003159829267860476,-0.000890326594096724
2024-06-02T11:00:00+00:00_L,2024-06-02 12:00:00+00:00,2024H1,matched,-0.0104361051825138,0.0012183269494099324,-0.011654432131923733
2024-06-04T10:00:00+00:00_L,2024-06-04 11:00:00+00:00,2024H1,matched,-0.002,-0.0014597394476564627,-0.0005402605523435373
2024-06-06T19:00:00+00:00_S,2024-06-06 20:00:00+00:00,2024H1,matched,-0.0071042556270233,-0.002299334727288677,-0.004804920899734623
2024-06-10T12:00:00+00:00_S,2024-06-10 13:00:00+00:00,2024H1,matched,-0.0042299356244828,-0.003944325531203939,-0.0002856100932788616
2024-06-10T14:00:00+00:00_L,2024-06-10 15:00:00+00:00,2024H1,matched,0.0002367848854481,-0.0058173383352969595,0.006054123220745059
2024-07-11T01:00:00+00:00_L,2024-07-11 02:00:00+00:00,2024H2,matched,-0.0156865948246276,-0.004015071982299221,-0.011671522842328379
2024-07-23T02:00:00+00:00_L,2024-07-23 03:00:00+00:00,2024H2,matched,-0.0028631596372363,-0.004517914933224248,0.0016547552959879485
2024-07-24T18:00:00+00:00_S,2024-07-24 19:00:00+00:00,2024H2,matched,0.0042968385810788,-0.0008587992921759881,0.005155637873254788
2024-07-27T21:00:00+00:00_L,2024-07-27 22:00:00+00:00,2024H2,matched,-0.0110820520936634,-0.0038892893826960578,-0.007192762710967342
2024-07-28T23:00:00+00:00_L,2024-07-29 00:00:00+00:00,2024H2,matched,-0.002,-0.0033055495797927677,0.0013055495797927676
2024-07-31T19:00:00+00:00_S,2024-07-31 20:00:00+00:00,2024H2,matched,0.0114959115371883,-0.001134197677986317,0.012630109215174616
2024-08-02T14:00:00+00:00_S,2024-08-02 15:00:00+00:00,2024H2,matched,0.0875252723587534,-0.0081634123328345,0.09568868469158791
2024-08-08T01:00:00+00:00_L,2024-08-08 02:00:00+00:00,2024H2,matched,0.0032408504950669,-0.0026619625389543784,0.005902813034021279
2024-08-15T17:00:00+00:00_S,2024-08-15 18:00:00+00:00,2024H2,matched,0.0073553257507952,-0.0016793110973867987,0.009034636848181999
2024-08-22T20:00:00+00:00_L,2024-08-22 21:00:00+00:00,2024H2,matched,-0.0037141293706178,-6.362552117226336e-05,-0.0036505038494455367
2024-08-23T12:00:00+00:00_L,2024-08-23 13:00:00+00:00,2024H2,matched,0.0236924204211276,-0.002100153836368152,0.025792574257495753
2024-08-31T13:00:00+00:00_S,2024-08-31 14:00:00+00:00,2024H2,matched,-0.0048261190396623,0.026841442760153433,-0.03166756179981573
2024-09-05T03:00:00+00:00_S,2024-09-05 04:00:00+00:00,2024H2,matched,0.0274577443214145,-0.005396668891273953,0.03285441321268845
2024-09-06T13:00:00+00:00_S,2024-09-06 14:00:00+00:00,2024H2,matched,0.0222433675577906,-0.01055779228633271,0.03280115984412331
2024-09-13T07:00:00+00:00_L,2024-09-13 08:00:00+00:00,2024H2,matched,-0.0034419064825569,-0.0003675351956277089,-0.003074371286929191
2024-09-22T22:00:00+00:00_L,2024-09-22 23:00:00+00:00,2024H2,matched,-0.012939278239321,-0.004364696655380527,-0.008574581583940474
2024-10-03T07:00:00+00:00_S,2024-10-03 08:00:00+00:00,2024H2,matched,0.0011938394677152,-0.004483843898375415,0.0056776833660906155
2024-10-05T22:00:00+00:00_L,2024-10-05 23:00:00+00:00,2024H2,matched,-0.0033375210095544,-0.0016068137689547533,-0.0017307072405996465
2024-10-06T01:00:00+00:00_L,2024-10-06 02:00:00+00:00,2024H2,matched,-0.0048454610307107,-0.0038052237581881827,-0.0010402372725225174
2024-10-07T19:00:00+00:00_L,2024-10-07 20:00:00+00:00,2024H2,matched,-0.0034247666412112,-0.001617862259222001,-0.0018069043819891992
2024-10-18T01:00:00+00:00_L,2024-10-18 02:00:00+00:00,2024H2,matched,-0.0062422907488985,0.003932358138707293,-0.010174648887605792
2024-10-19T14:00:00+00:00_L,2024-10-19 15:00:00+00:00,2024H2,matched,-0.0021464128843338,-0.0011877129292316973,-0.0009586999551021028
2024-10-30T20:00:00+00:00_L,2024-10-30 21:00:00+00:00,2024H2,matched,-0.0114854054321137,-0.002953351423661227,-0.008532054008452472
2024-10-31T01:00:00+00:00_L,2024-10-31 02:00:00+00:00,2024H2,matched,-0.0029243127410087,-0.004106919997427366,0.0011826072564186663
2024-11-01T15:00:00+00:00_S,2024-11-01 16:00:00+00:00,2024H2,matched,-0.0140659194337247,-0.011899255856719172,-0.0021666635770055277
2024-11-02T08:00:00+00:00_S,2024-11-02 09:00:00+00:00,2024H2,matched,0.0030278824156239,-0.003935190159208455,0.006963072574832355
2024-11-04T16:00:00+00:00_S,2024-11-04 17:00:00+00:00,2024H2,matched,-0.0046803715916032,-0.009230008250925124,0.0045496366593219244
2024-11-13T13:00:00+00:00_L,2024-11-13 14:00:00+00:00,2024H2,matched,0.0003744991685047,-0.0038152335875185797,0.004189732756023279
2024-11-22T15:00:00+00:00_L,2024-11-22 16:00:00+00:00,2024H2,matched,-0.0062168857892975,0.019918804386758044,-0.026135690176055545
2024-11-23T14:00:00+00:00_L,2024-11-23 15:00:00+00:00,2024H2,matched,-0.0050463204721037,-0.002937738434483156,-0.0021085820376205437
2024-11-28T18:00:00+00:00_L,2024-11-28 19:00:00+00:00,2024H2,matched,-0.0041555883759766,-0.00044621211637722234,-0.0037093762595993775
2024-11-28T22:00:00+00:00_L,2024-11-28 23:00:00+00:00,2024H2,matched,0.0063437859308038,-0.0062635379992012795,0.01260732393000508
2024-12-06T17:00:00+00:00_L,2024-12-06 18:00:00+00:00,2024H2,matched,-0.0165698344846182,-0.014473757490978493,-0.0020960769936397058
2024-12-09T15:00:00+00:00_S,2024-12-09 16:00:00+00:00,2024H2,matched,0.0135656403734404,0.0014678604138669664,0.012097779959573434
2024-12-14T19:00:00+00:00_L,2024-12-14 20:00:00+00:00,2024H2,matched,-0.002658203764886,-0.0009448100404240139,-0.0017133937244619862
2024-12-23T13:00:00+00:00_S,2024-12-23 14:00:00+00:00,2024H2,matched,-0.0004445369165697,0.0034552538067026232,-0.0038997907232723233
