asset,arm,events,closed,censored,assets,gt5,gt10,gt20,gt10_rate,recorded_mfe_gt10,total_r,gross_r,mean_r,mean_gross_bp,mean_net_bp,total_nominal_return,win_rate,pf_r,event_drawdown_r,total_r_ex_top5
4,baseline,36,36,0,1,1,0,0,0.0,1,-9.55922065165991,-8.109133492922808,-0.26553390699055307,-86.8941873067431,-106.89418730674312,-0.3848190743042752,0.19444444444444445,0.626752873352696,15.610275009465866,-24.84756570174108
4,high_r_v1,36,36,0,1,0,0,0,0.0,0,-11.351764221197888,-9.901677062460786,-0.31532678392216357,-150.79364353732947,-170.79364353732953,-0.6148571167343863,0.25,0.5521410474493638,18.1274762199516,-23.165387857615286
42,baseline,8,8,0,1,0,0,0,0.0,0,-6.905255850890253,-6.411605051224749,-0.8631569813612816,-273.89194729074575,-293.8919472907458,-0.23511355783259663,0.0,0.0,6.905255850890253,-3.2644814646682363
42,high_r_v1,8,8,0,1,0,0,0,0.0,0,-6.470190915825318,-5.976540116159814,-0.8087738644781648,-257.28147525583904,-277.28147525583904,-0.22182518020467124,0.0,0.0,6.470190915825318,-3.2644814646682363
0G,baseline,71,71,0,1,3,0,0,0.0,3,-13.691312856744075,-9.096616940078427,-0.1928353923485081,-160.58420850978106,-180.58420850978112,-1.282147880419446,0.2535211267605634,0.743512692602183,35.47586197971692,-40.3977772442909
0G,high_r_v1,71,71,0,1,3,0,0,0.0,3,-2.5444872159669565,2.0502087006986898,-0.035837848112210656,-115.467165852401,-135.46716585240105,-0.9618168775520475,0.2535211267605634,0.952332644680597,29.016016091051146,-33.83738416935813
1000000BOB,baseline,26,26,0,1,2,0,0,0.0,1,-1.8909250791430798,-0.14532973300755392,-0.07272788765934922,-131.1704313251365,-151.17043132513652,-0.3930431214453549,0.2692307692307692,0.8984123959558465,14.61526887813653,-18.319608273440696
1000000BOB,high_r_v1,26,26,0,1,0,0,0,0.0,0,-5.082822786841949,-3.3372274407064215,-0.19549318410930575,-138.0807405424475,-158.0807405424475,-0.4110099254103635,0.3076923076923077,0.725294259745016,11.467611039946332,-16.58554523293581
1000000MOG,baseline,60,60,0,1,6,1,0,0.016666666666666666,3,38.20090724626547,41.525826255439185,0.6366817874377578,300.7642611506452,280.7642611506452,1.6845855669038714,0.35,2.0316217478957386,9.317157783513045,-1.068546089100053
1000000MOG,high_r_v1,60,60,0,1,5,1,0,0.016666666666666666,3,42.99447002546775,46.31938903464146,0.7165745004244625,345.57180666919976,325.57180666919976,1.9534308400151987,0.38333333333333336,2.1701804500448914,9.317157783513045,1.2432819256666292
