period,metric,delta,blocks,p,total_ci_low,total_ci_high
full,gt10,-108.0,25,1.0,-166.0,-56.0
full,net_r,-613.19350507949,25,0.7865,-2100.152165125209,624.6310233106146
full,net_return,-32.50382674872756,25,0.7092,-135.42730213510498,43.932613526440576
earlier,gt10,-42.0,13,0.9443359375,-97.0,1.0
earlier,net_r,-456.55538011918367,13,0.71728515625,-1863.3433171280146,618.4478720685336
earlier,net_return,-27.02748949342434,13,0.613037109375,-117.08180802270174,30.39727533126853
later,gt10,-58.0,13,1.0,-91.0,-33.0
later,net_r,170.55920729339596,13,0.2972412109375,-457.1785744892477,732.7654036364969
later,net_return,1.6298006254795934,13,0.48291015625,-47.132832753046564,35.267854813966466
crossing,gt10,-8.0,2,1.0,-16.0,0.0
crossing,net_r,-327.19733225370237,2,1.0,-652.4129746401364,-1.9816898672683436
crossing,net_return,-7.10613788078281,2,1.0,-13.967795053958088,-0.24448070760753038
