event_key,asset_old,venue_old,symbol_old,timeframe_min_old,entry_time_old,exit_time_old,censored_old,net_r_old,mfe_r_old,net_return_old,exit_reason_old,asset_new,venue_new,symbol_new,timeframe_min_new,entry_time_new,exit_time_new,censored_new,net_r_new,mfe_r_new,net_return_new,exit_reason_new,_merge,tail_status
binance_240m_154d70e98a3638a0:5153:1,BOME,binance,BOMEUSDT,240,2026-07-23 16:00:00+00:00,2026-08-22 04:00:00+00:00,False,17.541650887573958,33.24852071005916,1.3290916834790405,trailing_stop,BOME,binance,BOMEUSDT,240,2026-07-23 16:00:00+00:00,2026-08-10 00:00:00+00:00,False,9.047568047337275,12.985207100591714,0.6855140103115893,trailing_stop,both,lost
binance_240m_1f9883b64d622516:1153:1,PENGU,binance,PENGUUSDT,240,2025-06-28 04:00:00+00:00,2025-07-30 16:00:00+00:00,False,14.49920921770769,21.6628259551243,2.193101816180517,trailing_stop,PENGU,binance,PENGUUSDT,240,2025-06-28 04:00:00+00:00,2025-07-07 12:00:00+00:00,False,2.1668865979381424,3.819284414796844,0.3277560080719133,trailing_stop,both,lost
binance_240m_202c113ee7c2739a:2638:1,IOTA,binance,IOTAUSDT,240,2024-11-11 20:00:00+00:00,2024-12-09 20:00:00+00:00,False,20.93107266435989,42.102076124567525,1.6873305439330548,trailing_stop,IOTA,binance,IOTAUSDT,240,2024-11-11 20:00:00+00:00,2024-11-19 12:00:00+00:00,False,2.8281314878892765,6.081314878892741,0.2279860529986053,trailing_stop,both,lost
binance_240m_28f201470eba54b4:4079:1,CFX,binance,CFXUSDT,240,2025-07-10 00:00:00+00:00,2025-07-22 16:00:00+00:00,False,20.628185089974355,44.58097686375332,1.0263960092095172,trailing_stop,CFX,binance,CFXUSDT,240,2025-07-10 00:00:00+00:00,2025-07-22 08:00:00+00:00,False,29.96237532133684,44.58097686375332,1.4908370427219242,trailing_stop,both,retained
binance_240m_474f01da59794912:2697:1,PROM,binance,PROMUSDT,240,2026-04-10 08:00:00+00:00,2026-05-13 04:00:00+00:00,False,9.708554216867473,21.65060240963856,0.7358995433789954,trailing_stop,PROM,binance,PROMUSDT,240,2026-04-10 08:00:00+00:00,2026-04-18 16:00:00+00:00,False,12.684457831325306,21.65060240963856,0.9614703196347032,trailing_stop,both,gained
binance_240m_4cd0a68b30b5fe39:2605:1,ADA,binance,ADAUSDT,240,2024-11-06 08:00:00+00:00,2024-12-09 20:00:00+00:00,False,20.532739393939412,29.369696969696992,1.8832140077821016,trailing_stop,ADA,binance,ADAUSDT,240,2024-11-06 08:00:00+00:00,2024-11-10 20:00:00+00:00,False,5.9569818181818235,9.096969696969705,0.5463602001111729,trailing_stop,both,lost
binance_240m_52a85f233fa0eb1b:2607:1,ENS,binance,ENSUSDT,240,2024-11-06 16:00:00+00:00,2024-12-09 20:00:00+00:00,False,9.4518055122205,15.645345813832568,1.0635977529404883,trailing_stop,ENS,binance,ENSUSDT,240,2024-11-06 16:00:00+00:00,2024-12-08 08:00:00+00:00,False,11.931264690587636,15.645345813832568,1.3426076423430282,trailing_stop,both,gained
binance_240m_54e497d887e50e50:3054:1,BMT,binance,BMTUSDT,240,2026-08-08 20:00:00+00:00,2026-08-10 12:00:00+00:00,False,17.886149253731332,45.447761194029816,0.9120030441400304,trailing_stop,BMT,binance,BMTUSDT,240,2026-08-08 20:00:00+00:00,2026-08-09 08:00:00+00:00,False,8.24435820895522,13.477611940298496,0.4203744292237443,trailing_stop,both,lost
binance_240m_564c70d633a34056:5758:1,APE,binance,APEUSDT,240,2026-04-15 20:00:00+00:00,2026-04-24 20:00:00+00:00,False,11.00223333333335,20.116666666666696,0.707539121114684,trailing_stop,APE,binance,APEUSDT,240,2026-04-15 20:00:00+00:00,2026-04-19 04:00:00+00:00,False,1.4355666666666724,4.38333333333334,0.0923193997856379,trailing_stop,both,lost
binance_240m_6c7fb254f200c7dc:1139:1,BEAT,binance,BEATUSDT,240,2026-05-21 16:00:00+00:00,2026-06-13 00:00:00+00:00,False,38.52565095003522,76.12526389866298,7.275076411960134,trailing_stop,BEAT,binance,BEATUSDT,240,2026-05-21 16:00:00+00:00,2026-05-26 00:00:00+00:00,False,1.6136171710063345,5.464461646727661,0.3047109634551495,trailing_stop_gap,both,lost
binance_240m_6fe148c017edb3ea:2605:1,XRP,binance,XRPUSDT,240,2024-11-06 08:00:00+00:00,2024-12-09 20:00:00+00:00,False,50.11397553516827,72.76758409785944,3.0544771668219948,trailing_stop,XRP,binance,XRPUSDT,240,2024-11-06 08:00:00+00:00,2024-11-10 20:00:00+00:00,False,0.896850152905203,2.5321100917431227,0.0546635601118361,trailing_stop,both,lost
binance_240m_7fe68b1c338ef8b9:6510:1,ETH,binance,ETHUSDT,240,2026-08-19 04:00:00+00:00,2026-09-02 08:00:00+00:00,False,15.315953719008256,21.659504132231408,0.2424171201339471,trailing_stop,ETH,binance,ETHUSDT,240,2026-08-19 04:00:00+00:00,2026-08-30 20:00:00+00:00,False,17.67661487603307,21.659504132231408,0.27978107994977,trailing_stop,both,retained
