k1_i,k2_i,direction,entry_time_baseline,gap_bars_baseline,net_return_baseline,entry_time_candidate,gap_bars_candidate,net_return_candidate,sequence_change
38047,38049,1,2024-01-01 00:45:00+00:00,2.0,0.004438435552037491,,,,removed
38449,38454,1,2024-01-05 06:00:00+00:00,5.0,1.734723475976807e-18,2024-01-05 06:00:00+00:00,5.0,1.734723475976807e-18,retained
38475,38479,1,2024-01-05 12:15:00+00:00,4.0,1.734723475976807e-18,,,,removed
38744,38751,1,2024-01-08 08:15:00+00:00,7.0,-0.0038474921373642373,2024-01-08 08:15:00+00:00,7.0,-0.0038474921373642373,retained
38981,38983,1,2024-01-10 18:15:00+00:00,2.0,-0.010749997298716616,,,,removed
38994,38999,1,,,,2024-01-10 22:15:00+00:00,5.0,0.01683633046651023,added_after_replay
39071,39073,-1,2024-01-11 16:45:00+00:00,2.0,-1.0928757898653885e-16,,,,removed
39075,39080,1,,,,2024-01-11 18:30:00+00:00,5.0,1.734723475976807e-18,added_after_replay
39350,39352,1,2024-01-14 14:30:00+00:00,2.0,1.734723475976807e-18,,,,removed
39417,39424,-1,,,,2024-01-15 08:30:00+00:00,7.0,-0.004012930559754045,added_after_replay
39420,39424,-1,2024-01-15 08:30:00+00:00,4.0,-0.004012930559754045,,,,removed
39440,39448,-1,2024-01-15 14:30:00+00:00,8.0,-0.007285556739025754,2024-01-15 14:30:00+00:00,8.0,-0.007285556739025754,retained
39479,39486,-1,2024-01-16 00:00:00+00:00,7.0,-0.0048621151901413456,2024-01-16 00:00:00+00:00,7.0,-0.0048621151901413456,retained
39545,39547,-1,2024-01-16 15:15:00+00:00,2.0,-0.008734994741586675,,,,removed
40334,40342,1,2024-01-24 22:00:00+00:00,8.0,0.004346813402178242,2024-01-24 22:00:00+00:00,8.0,0.004346813402178242,retained
40400,40408,-1,2024-01-25 14:30:00+00:00,8.0,-0.0037628834271454786,2024-01-25 14:30:00+00:00,8.0,-0.0037628834271454786,retained
40752,40760,-1,,,,2024-01-29 06:30:00+00:00,8.0,1.734723475976807e-18,added_after_replay
40756,40760,-1,2024-01-29 06:30:00+00:00,4.0,1.734723475976807e-18,,,,removed
41174,41178,-1,2024-02-02 15:00:00+00:00,4.0,-0.004567637026307246,,,,removed
41269,41277,1,2024-02-03 15:45:00+00:00,8.0,-0.004078611848782774,2024-02-03 15:45:00+00:00,8.0,-0.004078611848782774,retained
41513,41518,1,2024-02-06 04:00:00+00:00,5.0,-0.003981103677759166,2024-02-06 04:00:00+00:00,5.0,-0.003981103677759166,retained
41545,41547,-1,2024-02-06 11:15:00+00:00,2.0,-0.004334229914629837,,,,removed
41545,41551,-1,,,,2024-02-06 12:15:00+00:00,6.0,-0.004509580334610684,added_after_replay
41660,41663,1,2024-02-07 16:15:00+00:00,3.0,-0.0050646566102070505,,,,removed
41660,41665,1,,,,2024-02-07 16:45:00+00:00,5.0,0.004184462552348391,added_after_replay
41926,41933,-1,,,,2024-02-10 11:45:00+00:00,7.0,-0.004307790386331776,added_after_replay
41929,41933,-1,2024-02-10 11:45:00+00:00,4.0,-0.004307790386331776,,,,removed
42295,42298,1,2024-02-14 07:00:00+00:00,3.0,1.734723475976807e-18,,,,removed
42468,42473,1,,,,2024-02-16 02:45:00+00:00,5.0,1.734723475976807e-18,added_after_replay
42471,42473,1,2024-02-16 02:45:00+00:00,2.0,1.734723475976807e-18,,,,removed
42527,42529,1,2024-02-16 16:45:00+00:00,2.0,-0.004395937839896112,,,,removed
42530,42535,-1,,,,2024-02-16 18:15:00+00:00,5.0,-0.0055537575731865445,added_after_replay
42563,42565,-1,2024-02-17 01:45:00+00:00,2.0,-0.0036645089698539284,,,,removed
42644,42648,1,2024-02-17 22:30:00+00:00,4.0,-0.004100540194068246,,,,removed
42651,42656,-1,,,,2024-02-18 00:30:00+00:00,5.0,-0.004625800230047881,added_after_replay
43041,43045,-1,2024-02-22 01:45:00+00:00,4.0,-0.006133292856642434,,,,removed
43092,43099,-1,2024-02-22 15:15:00+00:00,7.0,-0.0045409373235461,2024-02-22 15:15:00+00:00,7.0,-0.0045409373235461,retained
43398,43404,1,2024-02-25 19:30:00+00:00,6.0,1.734723475976807e-18,2024-02-25 19:30:00+00:00,6.0,1.734723475976807e-18,retained
43841,43843,1,2024-03-01 09:15:00+00:00,2.0,-0.006140793410765453,,,,removed
43841,43848,1,,,,2024-03-01 10:30:00+00:00,7.0,-0.0053729443858249164,added_after_replay
43869,43876,-1,2024-03-01 17:30:00+00:00,7.0,-0.005905750501370209,2024-03-01 17:30:00+00:00,7.0,-0.005905750501370209,retained
43983,43988,-1,2024-03-02 21:30:00+00:00,5.0,-0.00490964431577323,2024-03-02 21:30:00+00:00,5.0,-0.00490964431577323,retained
44253,44255,-1,2024-03-05 16:15:00+00:00,2.0,0.0714551855977773,,,,removed
44308,44315,1,2024-03-06 07:15:00+00:00,7.0,1.734723475976807e-18,2024-03-06 07:15:00+00:00,7.0,1.734723475976807e-18,retained
44408,44413,1,2024-03-07 07:45:00+00:00,5.0,0.010523394648299213,2024-03-07 07:45:00+00:00,5.0,0.010523394648299213,retained
44639,44641,-1,2024-03-09 16:45:00+00:00,2.0,-0.003707481794691157,,,,removed
44671,44673,-1,2024-03-10 00:45:00+00:00,2.0,-0.005132146399276836,,,,removed
44913,44915,1,2024-03-12 13:15:00+00:00,2.0,-0.006804188522220976,,,,removed
44917,44925,-1,,,,2024-03-12 15:45:00+00:00,8.0,0.005933727099809662,added_after_replay
45388,45391,-1,2024-03-17 12:15:00+00:00,3.0,0.008610237509750098,,,,removed
45388,45395,-1,,,,2024-03-17 13:15:00+00:00,7.0,-0.004823595358211861,added_after_replay
45676,45678,1,2024-03-20 12:00:00+00:00,2.0,0.011335899345036095,,,,removed
45947,45953,1,2024-03-23 08:45:00+00:00,6.0,-0.005910825120497119,2024-03-23 08:45:00+00:00,6.0,-0.005910825120497119,retained
46016,46023,1,2024-03-24 02:15:00+00:00,7.0,-0.004716586068924665,2024-03-24 02:15:00+00:00,7.0,-0.004716586068924665,retained
46265,46267,1,2024-03-26 15:15:00+00:00,2.0,-0.005696525522711824,,,,removed
46272,46278,-1,,,,2024-03-26 18:00:00+00:00,6.0,-0.004083107425564501,added_after_replay
46305,46310,1,2024-03-27 02:00:00+00:00,5.0,-0.004130408273772533,2024-03-27 02:00:00+00:00,5.0,-0.004130408273772533,retained
46420,46423,1,2024-03-28 06:15:00+00:00,3.0,0.012657582584620465,,,,removed
46516,46523,-1,2024-03-29 07:15:00+00:00,7.0,0.005406628299830409,2024-03-29 07:15:00+00:00,7.0,0.005406628299830409,retained
47000,47007,1,2024-04-03 08:15:00+00:00,7.0,0.002903162539838135,2024-04-03 08:15:00+00:00,7.0,0.002903162539838135,retained
47031,47037,1,2024-04-03 15:45:00+00:00,6.0,0.0043771539976404945,2024-04-03 15:45:00+00:00,6.0,0.0043771539976404945,retained
47099,47102,1,2024-04-04 08:00:00+00:00,3.0,1.734723475976807e-18,,,,removed
47188,47193,-1,2024-04-05 06:45:00+00:00,5.0,-0.003938273445653893,2024-04-05 06:45:00+00:00,5.0,-0.003938273445653893,retained
47222,47224,1,2024-04-05 14:30:00+00:00,2.0,0.0048744088141639014,,,,removed
47240,47246,-1,,,,2024-04-05 20:00:00+00:00,6.0,-0.00713471772404861,added_after_replay
47245,47249,-1,2024-04-05 20:45:00+00:00,4.0,-0.0038331263674531418,,,,removed
47439,47445,1,2024-04-07 21:45:00+00:00,6.0,-0.004187358684926366,2024-04-07 21:45:00+00:00,6.0,-0.004187358684926366,retained
47571,47577,-1,,,,2024-04-09 06:45:00+00:00,6.0,1.734723475976807e-18,added_after_replay
47573,47577,-1,2024-04-09 06:45:00+00:00,4.0,1.734723475976807e-18,,,,removed
47714,47721,1,2024-04-10 18:45:00+00:00,7.0,0.011404729130782611,2024-04-10 18:45:00+00:00,7.0,0.011404729130782611,retained
47810,47817,1,2024-04-11 18:45:00+00:00,7.0,1.734723475976807e-18,2024-04-11 18:45:00+00:00,7.0,1.734723475976807e-18,retained
48459,48465,1,2024-04-18 12:45:00+00:00,6.0,1.734723475976807e-18,2024-04-18 12:45:00+00:00,6.0,1.734723475976807e-18,retained
48531,48534,-1,2024-04-19 06:00:00+00:00,3.0,-0.007631833390521646,,,,removed
48605,48607,1,2024-04-20 00:15:00+00:00,2.0,-0.003686525835222552,,,,removed
48610,48615,-1,,,,2024-04-20 02:15:00+00:00,5.0,-0.0046676548032702474,added_after_replay
48787,48793,1,,,,2024-04-21 22:45:00+00:00,6.0,-0.004723091415654078,added_after_replay
48791,48793,1,2024-04-21 22:45:00+00:00,2.0,-0.004723091415654078,,,,removed
48991,48993,1,2024-04-24 00:45:00+00:00,2.0,-0.005836355462310759,,,,removed
49027,49031,-1,2024-04-24 10:15:00+00:00,4.0,-0.0056690216595987036,,,,removed
49226,49228,-1,2024-04-26 11:30:00+00:00,2.0,-0.004074332860239947,,,,removed
49356,49363,-1,2024-04-27 21:15:00+00:00,7.0,-0.004137259558299798,2024-04-27 21:15:00+00:00,7.0,-0.004137259558299798,retained
49536,49539,-1,2024-04-29 17:15:00+00:00,3.0,-0.004448579823702168,,,,removed
49550,49557,1,,,,2024-04-29 21:45:00+00:00,7.0,0.002943696786597229,added_after_replay
50052,50057,-1,2024-05-05 02:45:00+00:00,5.0,1.734723475976807e-18,2024-05-05 02:45:00+00:00,5.0,1.734723475976807e-18,retained
50186,50193,-1,,,,2024-05-06 12:45:00+00:00,7.0,-0.007208708986512489,added_after_replay
50187,50190,1,2024-05-06 12:00:00+00:00,3.0,-0.004239878878316004,,,,removed
50285,50290,-1,2024-05-07 13:00:00+00:00,5.0,1.734723475976807e-18,2024-05-07 13:00:00+00:00,5.0,1.734723475976807e-18,retained
50686,50690,1,2024-05-11 17:00:00+00:00,4.0,-0.0037140914988251766,,,,removed
50753,50759,1,2024-05-12 10:15:00+00:00,6.0,1.734723475976807e-18,2024-05-12 10:15:00+00:00,6.0,1.734723475976807e-18,retained
50824,50826,-1,2024-05-13 03:00:00+00:00,2.0,-0.004336096458176229,,,,removed
51027,51034,1,2024-05-15 07:00:00+00:00,7.0,0.0031765799706549042,2024-05-15 07:00:00+00:00,7.0,0.0031765799706549042,retained
51353,51355,-1,2024-05-18 15:15:00+00:00,2.0,-0.004570578492576692,,,,removed
