arm,gap_min_bars,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided,ranking_events,score_auc_net_positive,top_decile_events,top_decile_mean_gross_bp,top_decile_mean_net_bp,top_decile_win_rate,ranking_permutation_p_one_sided,single_feature_top_decile_mean_net_bp
baseline_gap2,2,194,6.071059400502657,-13.928940599497349,-39.244104673085126,0.32989690721649484,0.591983925280402,-0.7432354203261559,-0.7484379661871506,40,127,25,2,87,True,-16.09410822146013,-18.821657043932724,87,-7.911461754042345,107,-18.821657043932724,194,8.521920951573984,0.1036389636103639,194,0.6070913461538462,20,21.812885181914265,1.812885181914265,0.5,0.16139193040347982,-32.543190689149
candidate_gap5,5,130,7.978387132114978,-12.021612867885027,-38.48109857369773,0.4153846153846154,0.5884570301931438,-0.504410008668663,-0.5099552311902075,29,75,24,2,61,True,-13.268576702691725,-14.690553005541465,61,-9.002647794142499,69,-14.690553005541465,130,8.550169414163285,0.08105918940810591,130,0.5740740740740741,13,13.085141875471145,-6.914858124528855,0.46153846153846156,0.34223288835558224,-37.00024756313513
