period,pairs,strategy_mean_r,random_mean_r,excess_mean_r,strategy_change,random_change,excess_change,random_share_of_strategy_change,excess_share_of_strategy_change
earlier,31416,0.15073166375409786,-0.0016901514203493222,0.15242181517444717,-0.19194184816171664,-0.05832071015695095,-0.1336211380047657,0.3038457257523854,0.6961542742476147
later,49874,-0.04121018440761878,-0.06001086157730027,0.018800677169681486,-0.19194184816171664,-0.05832071015695095,-0.1336211380047657,0.3038457257523854,0.6961542742476147
