timeframe_min,month,history_start,history_end,n_history,known,cutoff
240,2025-05,2025-02-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,155,True,0.0407643939434211
30,2025-06,2025-03-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,3065,True,0.01767533357945256
60,2025-06,2025-03-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,1613,True,0.0225932105119921
240,2025-06,2025-03-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,320,True,0.04662065031374781
30,2025-07,2025-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,3003,True,0.01559004131901664
60,2025-07,2025-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,1319,True,0.02132539932038818
240,2025-07,2025-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,339,True,0.04240743630762908
30,2025-08,2025-05-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,3042,True,0.01503221309591936
60,2025-08,2025-05-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,1310,True,0.020893622722400793
240,2025-08,2025-05-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,672,True,0.04119616599010929
30,2025-09,2025-06-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,3083,True,0.014686257139087281
60,2025-09,2025-06-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,1731,True,0.0220039292730844
240,2025-09,2025-06-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,746,True,0.042520479546625745
30,2025-10,2025-07-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,3627,True,0.013971456001522841
60,2025-10,2025-07-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,2198,True,0.01940397271465907
240,2025-10,2025-07-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,1156,True,0.038468315945534
30,2025-11,2025-08-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,3660,True,0.0140731779748974
60,2025-11,2025-08-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,2274,True,0.020098632779666153
240,2025-11,2025-08-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,767,True,0.03710659059055686
30,2025-12,2025-09-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,3699,True,0.01458486661949902
60,2025-12,2025-09-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,1857,True,0.0193421126066323
240,2025-12,2025-09-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,536,True,0.0342463746375568
30,2026-01,2025-10-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,3697,True,0.01529402562289816
60,2026-01,2025-10-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,1769,True,0.02229438790368128
240,2026-01,2025-10-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,134,True,0.03930001419922845
30,2026-02,2025-11-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,3656,True,0.0149600802186397
60,2026-02,2025-11-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,1663,True,0.0214563613536655
240,2026-02,2025-11-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,596,True,0.043644368425861155
30,2026-03,2025-12-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,3336,True,0.01461481869606055
60,2026-03,2025-12-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,1854,True,0.02205361768498627
240,2026-03,2025-12-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,609,True,0.04416338808280552
30,2026-04,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,4074,True,0.015869342778433552
60,2026-04,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,1992,True,0.02251301070337616
240,2026-04,2026-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,925,True,0.04381935254936454
30,2026-05,2026-02-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,4968,True,0.01433258548790655
60,2026-05,2026-02-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,2641,True,0.0204191295002687
240,2026-05,2026-02-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,750,True,0.04251302765042329
30,2026-06,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,5845,True,0.01355268327365894
60,2026-06,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,2941,True,0.0191919191919191
240,2026-06,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,1053,True,0.03843855359670572
30,2026-07,2026-04-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,5425,True,0.013269152244353339
60,2026-07,2026-04-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,2690,True,0.019035809880510252
240,2026-07,2026-04-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,695,True,0.03643672946004188
30,2026-08,2026-05-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,5173,True,0.01335173687474148
60,2026-08,2026-05-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,2784,True,0.01891127839790239
240,2026-08,2026-05-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,661,True,0.0346172598732326
30,2026-09,2026-06-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,5348,True,0.01210389002824397
60,2026-09,2026-06-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,2813,True,0.01772524764902262
240,2026-09,2026-06-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,695,True,0.03513697525987928
