arm       selection_mode         policy  blacklist_assets  closed      total_r    mean_r     pf_r  realized_ge10  paired_excess_r  p_month_signflip
 v9 full_history_posthoc       baseline                 0   81854  2758.166357  0.033696 1.049741            462         0.062808          0.016992
 v9 full_history_posthoc   win_le_10pct                26   81712  2908.454014  0.035594 1.052597            462         0.063314          0.016492
 v9 full_history_posthoc mean_lt_neg036               118   78211  4637.889022  0.059300 1.088444            461         0.078534          0.004498
 v9 full_history_posthoc       pf_lt_05               107   78821  4391.250852  0.055712 1.082926            462         0.076489          0.006497
 v9 earlier_frozen_later       baseline                 0   50021 -2089.187300 -0.041766 0.940137            275         0.018801          0.192404
 v9 earlier_frozen_later   win_le_10pct                14   49372 -2228.275589 -0.045132 0.935312            266         0.016096          0.233383
 v9 earlier_frozen_later mean_lt_neg036                63   46657 -2314.032797 -0.049597 0.928887            236         0.014207          0.262869
 v9 earlier_frozen_later       pf_lt_05                64   46426 -2254.936183 -0.048571 0.930313            233         0.013509          0.273863
 v8 full_history_posthoc       baseline                 0   94746 -2021.782949 -0.021339 0.969974            532         0.048774          0.018491
 v8 full_history_posthoc   win_le_10pct                26   94373   338.995744  0.003592 1.005219            532         0.024193          0.118441
 v8 full_history_posthoc mean_lt_neg036               122   90056  2444.813899  0.027148 1.039802            529         0.040289          0.031484
 v8 full_history_posthoc       pf_lt_05               108   90930  2117.832888  0.023291 1.034087            531         0.036983          0.042979
 v8 earlier_frozen_later       baseline                 0   57607 -4829.462643 -0.083835 0.883841            319         0.023530          0.117941
 v8 earlier_frozen_later   win_le_10pct                12   56978 -3931.544284 -0.069001 0.902194            312        -0.010501          0.765117
 v8 earlier_frozen_later mean_lt_neg036                68   53226 -4020.402678 -0.075535 0.892985            274        -0.014630          0.832584
 v8 earlier_frozen_later       pf_lt_05                63   53682 -3998.892771 -0.074492 0.894453            282        -0.012194          0.788106
