trade_id,candidate_id,side,signal_i,signal_time,entry_time,exit_time,exit_reason,pre_cross_path_efficiency_32,project_net_return,net_positive,training_eligible
v9_path_efficiency_lineage|development_continuous_2023_2024|45475|45476|short,pine-v9|short|45475|2023-04-22T08:15:00+00:00,short,45475,2023-04-22 08:15:00+00:00,2023-04-22 08:30:00+00:00,2023-04-22 14:45:00+00:00,stop,0.026635975008222953,-0.011216963537584055,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|45661|45662|short,pine-v9|short|45661|2023-04-24T06:45:00+00:00,short,45661,2023-04-24 06:45:00+00:00,2023-04-24 07:00:00+00:00,2023-04-24 14:15:00+00:00,stop,0.10087148151858079,-0.015794260418752426,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|45697|45698|short,pine-v9|short|45697|2023-04-24T15:45:00+00:00,short,45697,2023-04-24 15:45:00+00:00,2023-04-24 16:00:00+00:00,2023-04-24 17:15:00+00:00,stop,0.03098550084639748,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|45738|45739|short,pine-v9|short|45738|2023-04-25T02:00:00+00:00,short,45738,2023-04-25 02:00:00+00:00,2023-04-25 02:15:00+00:00,2023-04-25 17:30:00+00:00,stop,0.006811145510838204,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|45944|45945|long,pine-v9|long|45944|2023-04-27T05:30:00+00:00,long,45944,2023-04-27 05:30:00+00:00,2023-04-27 05:45:00+00:00,2023-04-27 12:30:00+00:00,stop,0.23138631235898635,-0.02639662844877222,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|46039|46040|long,pine-v9|long|46039|2023-04-28T05:15:00+00:00,long,46039,2023-04-28 05:15:00+00:00,2023-04-28 05:30:00+00:00,2023-04-28 13:30:00+00:00,stop,0.1428197064989535,-0.013300172924514018,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|46533|46534|long,pine-v9|long|46533|2023-05-03T08:45:00+00:00,long,46533,2023-05-03 08:45:00+00:00,2023-05-03 09:00:00+00:00,2023-05-03 12:30:00+00:00,stop,0.10561444837063015,-0.010825213672926546,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|46569|46570|long,pine-v9|long|46569|2023-05-03T17:45:00+00:00,long,46569,2023-05-03 17:45:00+00:00,2023-05-03 18:00:00+00:00,2023-05-04 18:15:00+00:00,stop,0.1786598040186106,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|46698|46699|long,pine-v9|long|46698|2023-05-05T02:00:00+00:00,long,46698,2023-05-05 02:00:00+00:00,2023-05-05 02:15:00+00:00,2023-05-06 13:30:00+00:00,stop,0.20821849160611197,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|46976|46977|short,pine-v9|short|46976|2023-05-07T23:30:00+00:00,short,46976,2023-05-07 23:30:00+00:00,2023-05-07 23:45:00+00:00,2023-05-15 02:30:00+00:00,reverse,0.09806819381399991,0.040005106812235236,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|47659|47660|long,pine-v9|long|47659|2023-05-15T02:15:00+00:00,long,47659,2023-05-15 02:15:00+00:00,2023-05-15 02:30:00+00:00,2023-05-17 11:15:00+00:00,stop,0.20699058006940702,-0.018036064692687814,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|47973|47974|long,pine-v9|long|47973|2023-05-18T08:45:00+00:00,long,47973,2023-05-18 08:45:00+00:00,2023-05-18 09:00:00+00:00,2023-05-18 14:45:00+00:00,stop,0.1417127598703043,-0.010207492416693163,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|48813|48814|long,pine-v9|long|48813|2023-05-27T02:45:00+00:00,long,48813,2023-05-27 02:45:00+00:00,2023-05-27 03:00:00+00:00,2023-05-27 13:45:00+00:00,stop,0.03266331658291862,-0.008080303633458573,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|49165|49166|long,pine-v9|long|49165|2023-05-30T18:45:00+00:00,long,49165,2023-05-30 18:45:00+00:00,2023-05-30 19:00:00+00:00,2023-05-31 02:00:00+00:00,stop,0.011515430677107365,-0.014249326470495703,False,False
