candidate_id,side,signal_i,signal_time,features_available_at,earliest_entry_time,candidate_policy,pre_cross_path_efficiency_32,feature_contract,training_eligible
pine-v9|short|38905|2023-02-12T21:45:00+00:00,short,38905,2023-02-12 21:45:00+00:00,2023-02-12 22:00:00+00:00,2023-02-12 22:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.13834355828221073,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|39151|2023-02-15T11:15:00+00:00,long,39151,2023-02-15 11:15:00+00:00,2023-02-15 11:30:00+00:00,2023-02-15 11:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.19630958482829652,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|39267|2023-02-16T16:15:00+00:00,long,39267,2023-02-16 16:15:00+00:00,2023-02-16 16:30:00+00:00,2023-02-16 16:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.11786965662228403,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|39670|2023-02-20T21:00:00+00:00,long,39670,2023-02-20 21:00:00+00:00,2023-02-20 21:15:00+00:00,2023-02-20 21:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.03859964093357337,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|39923|2023-02-23T12:15:00+00:00,short,39923,2023-02-23 12:15:00+00:00,2023-02-23 12:30:00+00:00,2023-02-23 12:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.3606474456246858,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|39985|2023-02-24T03:45:00+00:00,short,39985,2023-02-24 03:45:00+00:00,2023-02-24 04:00:00+00:00,2023-02-24 04:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.08224016145307773,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|40305|2023-02-27T11:45:00+00:00,long,40305,2023-02-27 11:45:00+00:00,2023-02-27 12:00:00+00:00,2023-02-27 12:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.01309164149043484,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|40404|2023-02-28T12:30:00+00:00,long,40404,2023-02-28 12:30:00+00:00,2023-02-28 12:45:00+00:00,2023-02-28 12:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.17267489711933978,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|40648|2023-03-03T01:30:00+00:00,short,40648,2023-03-03 01:30:00+00:00,2023-03-03 01:45:00+00:00,2023-03-03 01:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.23486430062630473,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|40718|2023-03-03T19:00:00+00:00,short,40718,2023-03-03 19:00:00+00:00,2023-03-03 19:15:00+00:00,2023-03-03 19:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.09819297647459833,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|41014|2023-03-06T21:00:00+00:00,short,41014,2023-03-06 21:00:00+00:00,2023-03-06 21:15:00+00:00,2023-03-06 21:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.05616719537227134,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|41036|2023-03-07T02:30:00+00:00,long,41036,2023-03-07 02:30:00+00:00,2023-03-07 02:45:00+00:00,2023-03-07 02:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.050505050505051094,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|41147|2023-03-08T06:15:00+00:00,short,41147,2023-03-08 06:15:00+00:00,2023-03-08 06:30:00+00:00,2023-03-08 06:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.13917355371900947,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|41197|2023-03-08T18:45:00+00:00,short,41197,2023-03-08 18:45:00+00:00,2023-03-08 19:00:00+00:00,2023-03-08 19:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.15868852459016125,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|41213|2023-03-08T22:45:00+00:00,short,41213,2023-03-08 22:45:00+00:00,2023-03-08 23:00:00+00:00,2023-03-08 23:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.051419169066228,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|41285|2023-03-09T16:45:00+00:00,short,41285,2023-03-09 16:45:00+00:00,2023-03-09 17:00:00+00:00,2023-03-09 17:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.038419319429196803,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|41575|2023-03-12T17:15:00+00:00,long,41575,2023-03-12 17:15:00+00:00,2023-03-12 17:30:00+00:00,2023-03-12 17:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.04453186467348823,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|41744|2023-03-14T11:30:00+00:00,long,41744,2023-03-14 11:30:00+00:00,2023-03-14 11:45:00+00:00,2023-03-14 11:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.04049955396967143,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|42062|2023-03-17T19:00:00+00:00,long,42062,2023-03-17 19:00:00+00:00,2023-03-17 19:15:00+00:00,2023-03-17 19:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.06381084840055656,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|42778|2023-03-25T06:00:00+00:00,short,42778,2023-03-25 06:00:00+00:00,2023-03-25 06:15:00+00:00,2023-03-25 06:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.013865308432371362,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|42944|2023-03-26T23:30:00+00:00,long,42944,2023-03-26 23:30:00+00:00,2023-03-26 23:45:00+00:00,2023-03-26 23:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.1484492622703983,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|43265|2023-03-30T07:45:00+00:00,long,43265,2023-03-30 07:45:00+00:00,2023-03-30 08:00:00+00:00,2023-03-30 08:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.07418239829832392,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|44027|2023-04-07T06:15:00+00:00,short,44027,2023-04-07 06:15:00+00:00,2023-04-07 06:30:00+00:00,2023-04-07 06:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.06603614254349087,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|44760|2023-04-14T21:30:00+00:00,long,44760,2023-04-14 21:30:00+00:00,2023-04-14 21:45:00+00:00,2023-04-14 21:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.040032302722658335,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|44803|2023-04-15T08:15:00+00:00,long,44803,2023-04-15 08:15:00+00:00,2023-04-15 08:30:00+00:00,2023-04-15 08:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.005710909807010048,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|44933|2023-04-16T16:45:00+00:00,long,44933,2023-04-16 16:45:00+00:00,2023-04-16 17:00:00+00:00,2023-04-16 17:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.07073461735128778,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|45298|2023-04-20T12:00:00+00:00,short,45298,2023-04-20 12:00:00+00:00,2023-04-20 12:15:00+00:00,2023-04-20 12:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.12194463200540147,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|45369|2023-04-21T05:45:00+00:00,short,45369,2023-04-21 05:45:00+00:00,2023-04-21 06:00:00+00:00,2023-04-21 06:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.04361617763679469,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|45475|2023-04-22T08:15:00+00:00,short,45475,2023-04-22 08:15:00+00:00,2023-04-22 08:30:00+00:00,2023-04-22 08:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.026635975008222953,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|45661|2023-04-24T06:45:00+00:00,short,45661,2023-04-24 06:45:00+00:00,2023-04-24 07:00:00+00:00,2023-04-24 07:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.10087148151858079,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|45697|2023-04-24T15:45:00+00:00,short,45697,2023-04-24 15:45:00+00:00,2023-04-24 16:00:00+00:00,2023-04-24 16:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.03098550084639748,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|45738|2023-04-25T02:00:00+00:00,short,45738,2023-04-25 02:00:00+00:00,2023-04-25 02:15:00+00:00,2023-04-25 02:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.006811145510838204,pine_pre_cross_path_efficiency_32_v1,False
