reviewer,cohort,n,P,D,B,N,U,strict_p_rate,broad_pd_rate
astra,matched_nonwinner,142,0,36,63,43,0,0.0,0.2535211267605634
astra,winner_gt10,235,6,53,101,75,0,0.02553191489361702,0.251063829787234
budget-mapper-luna-max,matched_nonwinner,167,1,67,45,54,0,0.005988023952095809,0.40718562874251496
budget-mapper-luna-max,winner_gt10,213,2,89,67,55,0,0.009389671361502348,0.4272300469483568
