visual_id,class_astra,reason_astra,reviewer_astra,class_luna,reason_luna,reviewer_luna
V0001,N,Established rise; fast pair separated well above slow pair,astra,N,widely separated MA families at endpoint,budget-mapper-luna-max
V0002,N,Departure began far left; stacked upward lines,astra,B,partial fast/mid convergence with slow spread,budget-mapper-luna-max
V0003,D,Recent six-line gathering but rebound already several bars above bundle,astra,D,compact lines but late stair-step extension,budget-mapper-luna-max
V0004,B,V rebound while fast pair remains below slow group,astra,B,partial cluster with slow-line offset,budget-mapper-luna-max
V0005,B,Fast pair above isolated slow SMA after noisy retest,astra,B,partial fast/mid cluster with slow spread,budget-mapper-luna-max
V0006,D,Recent compact bundle but large repeated spikes and wide departure,astra,D,compact recent core after late price spike,budget-mapper-luna-max
V0007,P,Quiet candles hug converged six-line bundle then fresh upward departure,astra,D,compact core but endpoint rise already extended,budget-mapper-luna-max
V0008,D,Recent bundle with choppy alternating candles before breakout,astra,D,compact lines with late endpoint rise,budget-mapper-luna-max
V0009,N,Recovery through still separated descending MA families,astra,B,partial convergence with slow-line spread,budget-mapper-luna-max
V0010,D,Bundle present but repeated tall wicks and prior impulse,astra,D,compact core with choppy endpoint jump,budget-mapper-luna-max
V0011,N,Launch occurred ten bars earlier; current fast pair separated,astra,N,separated lines under rebound,budget-mapper-luna-max
V0012,N,Established rising stack and continuation,astra,D,compact core with late endpoint rise,budget-mapper-luna-max
V0013,N,Large prior impulse followed by extended rising stack,astra,N,widely separated lines in established trend,budget-mapper-luna-max
V0014,B,Fast and slow groups visibly apart despite sideways candles,astra,D,compact core with multi-bar endpoint rise,budget-mapper-luna-max
V0015,B,Slow purple pair remains below fast-mid convergence,astra,B,partial convergence with slow-line spread,budget-mapper-luna-max
V0016,B,Slow lines above fast-mid rebound; no unified tight core,astra,N,widely separated lines in established trend,budget-mapper-luna-max
V0401,N,Established gradual upward trend; fast and slow families separated,astra,B,fast/mid rise but slow pair far below; endpoint already extended,budget-mapper-luna-max
V0402,N,Earlier quiet cluster preceded an already extended rise,astra,B,fast/mid cluster with slow lines offset; late rebound,budget-mapper-luna-max
V0403,D,Compact six-line region but choppy spikes and a two-stage rise,astra,D,"six lines gather near endpoint, but spike/sawtooth lacks clean launch",budget-mapper-luna-max
V0404,B,Middle SMA remains isolated below the upper cluster,astra,N,rebound above separated MA stack; no endpoint six-line convergence,budget-mapper-luna-max
V0405,N,Slow pair remains far below the fast and middle families,astra,B,"fast/mid near, slow pair far below; extended run",budget-mapper-luna-max
V0406,N,Earlier release has advanced; fast pair detached near signal,astra,D,"lines compact near recent core, price already stair-stepped away",budget-mapper-luna-max
V0407,B,Middle SMA overhead and fast SMA low after a deep drop,astra,B,fast pair below slower cluster after rebound; no six-line bundle,budget-mapper-luna-max
V0408,B,Middle SMA isolated below the other converging lines,astra,D,"MA cluster near recent core, endpoint spike detached",budget-mapper-luna-max
V0505,B,Fast pair below overhead middle and slow lines,astra,D,compact lines with endpoint rebound detached,budget-mapper-luna-max
V0506,B,V-shaped rebound; fast pair still below middle and slow lines,astra,B,fast/mid cluster with slow spread,budget-mapper-luna-max
V0507,B,Slow pair well below the partial fast-middle cluster,astra,B,fast lines above lagging slow pair; late extension,budget-mapper-luna-max
V0508,B,Slow SMA overhead outside the partial cluster,astra,D,recent lines broadly compact; late rise detached,budget-mapper-luna-max
V0509,B,Middle SMA overhead while other lines cluster lower,astra,B,fast/purple pair below elevated blue line,budget-mapper-luna-max
V0510,B,Fast SMA below the central cluster during rebound,astra,D,compact recent core with large rebound,budget-mapper-luna-max
V0511,D,Recent convergence followed by a stepped advance and large final candle,astra,D,compact lines with late staircase,budget-mapper-luna-max
V0512,B,Slow SMA overhead and middle SMA below the partial cluster,astra,B,fast lines below slow cluster; no full bundle,budget-mapper-luna-max
V0513,B,Slow SMA isolated below the fast-middle cluster,astra,D,recent compact core with endpoint rise,budget-mapper-luna-max
V0514,D,Six-line convergence after a deep drop with uneven retraces and a large leap,astra,B,fast/mid versus slow spread after rebound,budget-mapper-luna-max
V0515,B,Fast pair below the flatter middle and slow lines,astra,B,blue line elevated above fast/slow pair,budget-mapper-luna-max
V0516,B,Slow SMA overhead and middle SMA isolated below,astra,D,compact lines with late rise detached,budget-mapper-luna-max
V0517,N,Established upward trend with fast-slow separation,astra,N,widely separated lines under extended rise,budget-mapper-luna-max
V0518,B,Slow SMA overhead outside a whipsawing partial cluster,astra,B,partial bundle; purple/blue remain offset,budget-mapper-luna-max
V0519,B,Slow SMA below partial convergence with large alternating candles,astra,N,separated lines under rebound,budget-mapper-luna-max
V0520,B,Middle SMA isolated below and slow EMA overhead,astra,D,lines near recent core with late rise detached,budget-mapper-luna-max
V0521,B,Slow pair below the fast-middle partial cluster,astra,N,separated lines under large rebound,budget-mapper-luna-max
V0522,N,Fast pair above a very distant slow SMA,astra,B,fast/mid cluster with slow lines offset,budget-mapper-luna-max
V0523,N,Sustained rally with detached fast pair near signal,astra,N,widely separated lines under rebound,budget-mapper-luna-max
V0524,D,Recent compact region followed by a staircase rise and choppy wicks,astra,D,compact lines with endpoint pullback,budget-mapper-luna-max
V0525,B,Slow pair below partial fast-middle convergence,astra,N,separated lines under extended rise,budget-mapper-luna-max
V0526,N,Mature upward stack with detached fast pair,astra,B,partial bundle with slow lines offset,budget-mapper-luna-max
V0527,D,Recent six-line density with wide alternating swings and a prior jump,astra,B,fast/mid cluster with slow lines offset; late extension,budget-mapper-luna-max
V0528,D,Compact region but the signal follows an earlier jump and pullback,astra,D,compact core with late staircase detached,budget-mapper-luna-max
V0561,N,Earlier convergence followed by an extended rise and fast-pair separation,astra,N,widely separated lines under rebound,budget-mapper-luna-max
V0562,B,Fast pair below middle and slow lines during rebound,astra,B,fast/mid cluster with slow offset,budget-mapper-luna-max
V0563,D,Compact six-line region with repeated large alternating candles and wicks,astra,D,compact core but prior endpoint movement is choppy,budget-mapper-luna-max
V0564,P,Quiet flat six-line bundle followed by a fresh two-bar upward release,astra,D,compact lines with sharp endpoint rebound,budget-mapper-luna-max
V0565,B,Middle SMA remains isolated below other rising families,astra,N,widely separated lines under rebound,budget-mapper-luna-max
V0566,N,Rebound has advanced into separated fast and slow families,astra,N,widely separated lines under extended rise,budget-mapper-luna-max
V0567,D,Recent convergence but the rise began earlier and has choppy retraces,astra,D,compact recent core with late rise detached,budget-mapper-luna-max
V0568,D,Recent six-line cluster followed by release after wide prior swings,astra,N,separated lines under rebound,budget-mapper-luna-max
V0673,B,Fast pair remains below the central cluster after a sharp drop,astra,D,compact lines with endpoint rebound,budget-mapper-luna-max
V0674,N,Earlier quiet bundle followed by an already extended advance,astra,B,fast line above slow pair; extended rise,budget-mapper-luna-max
V0675,D,Recent six-line convergence but an earlier rise and repeated large candles,astra,D,compact core with endpoint pullback,budget-mapper-luna-max
V0676,B,Slow SMA remains above the converging middle and fast lines,astra,B,partial bundle with slow offset,budget-mapper-luna-max
V0677,D,Compact six-line region with wide alternating swings before the rise,astra,D,compact lines with late staircase,budget-mapper-luna-max
V0678,B,Middle SMA remains below the partial cluster,astra,B,fast/slow spread at endpoint,budget-mapper-luna-max
V0679,N,Signal follows an earlier spike and an extended advance,astra,D,compact core with late rise detached,budget-mapper-luna-max
V0680,D,Recent convergence but large choppy candles and an earlier step upward,astra,N,separated lines under rebound,budget-mapper-luna-max
