metric,pairs,winner_hits,control_hits,difference_pp,winner_only,control_only,exact_discordant_p,asset_block_signflip_p,asset_blocks
strict_p,309,4,1,0.9708737864077669,4,1,0.375,0.5020248987550623,177
broad_pd,309,114,104,3.2362459546925564,66,56,0.4152851813125322,0.3872306384680766,177
