cohort,n,P,D,B,N,U,strict_p_rate,broad_pd_rate
matched_nonwinner,309,1,103,108,97,0,0.003236245954692557,0.3365695792880259
winner_gt10,448,8,142,168,130,0,0.017857142857142856,0.33482142857142855
