timeframe_min,cohort,n,P,D,B,N,U,strict_p_rate,broad_pd_rate
30,matched_nonwinner,237,1,87,86,63,0,0.004219409282700422,0.37130801687763715
30,winner_gt10,280,8,102,109,61,0,0.02857142857142857,0.39285714285714285
60,matched_nonwinner,63,0,13,17,33,0,0.0,0.20634920634920634
60,winner_gt10,116,0,34,47,35,0,0.0,0.29310344827586204
240,matched_nonwinner,9,0,3,5,1,0,0.0,0.3333333333333333
240,winner_gt10,52,0,6,12,34,0,0.0,0.11538461538461539
