quarter,cohort,n,P,D,B,N,U,strict_p_rate,broad_pd_rate
2024Q3,winner_gt10,6,0,1,4,1,0,0.0,0.16666666666666666
2024Q4,matched_nonwinner,15,0,3,2,10,0,0.0,0.2
2024Q4,winner_gt10,40,0,4,8,28,0,0.0,0.1
2025Q1,matched_nonwinner,6,0,1,2,3,0,0.0,0.16666666666666666
2025Q1,winner_gt10,7,0,2,3,2,0,0.0,0.2857142857142857
2025Q2,matched_nonwinner,38,0,6,18,14,0,0.0,0.15789473684210525
2025Q2,winner_gt10,53,0,9,24,20,0,0.0,0.16981132075471697
2025Q3,matched_nonwinner,78,0,21,31,26,0,0.0,0.2692307692307692
2025Q3,winner_gt10,96,0,31,41,24,0,0.0,0.3229166666666667
2025Q4,matched_nonwinner,15,0,5,6,4,0,0.0,0.3333333333333333
2025Q4,winner_gt10,23,0,11,7,5,0,0.0,0.4782608695652174
2026Q1,matched_nonwinner,26,0,7,11,8,0,0.0,0.2692307692307692
2026Q1,winner_gt10,37,0,15,11,11,0,0.0,0.40540540540540543
2026Q2,matched_nonwinner,50,0,19,9,22,0,0.0,0.38
2026Q2,winner_gt10,67,1,20,27,19,0,0.014925373134328358,0.31343283582089554
2026Q3,matched_nonwinner,81,1,41,29,10,0,0.012345679012345678,0.5185185185185185
2026Q3,winner_gt10,119,7,49,43,20,0,0.058823529411764705,0.47058823529411764
