outcome,direction,fold,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
hard_stop,-1,2023H1,1,-64.89182854217732,-64.89182854217732,-64.89182854217732,0.0,False,0.0,1,0
hard_stop,-1,2023H2,2,-38.03270964385817,-38.03270964385817,-76.06541928771634,0.0,False,0.0,2,0
hard_stop,-1,2024H1,1,-42.299356244828154,-42.299356244828154,-42.299356244828154,0.0,False,0.0,1,0
hard_stop,1,2023H1,2,-61.60592089318016,-61.60592089318016,-123.21184178636032,0.0,False,0.0,2,0
hard_stop,1,2023H2,2,-80.40940259590732,-80.40940259590732,-160.81880519181465,0.0,False,0.0,2,0
hard_stop,1,2024H1,1,-46.95893390722182,-46.95893390722182,-46.95893390722182,0.0,False,0.0,1,0
hard_stop,1,2024H2,2,-123.72309869156604,-123.72309869156604,-247.44619738313207,0.0,False,0.0,2,0
transition_colour_exit,-1,2023H1,11,-55.5850733363584,-42.890040299368145,-611.4358066999424,0.05291453812365383,False,0.18181818181818182,9,0
transition_colour_exit,-1,2023H2,11,-29.246234321441676,-29.048197872136843,-321.7085775358584,0.015230287989447323,False,0.18181818181818182,9,0
transition_colour_exit,-1,2024H1,11,-23.070477705485242,-10.670351643354818,-253.77525476033765,0.3348881025221492,False,0.36363636363636365,7,0
transition_colour_exit,-1,2024H2,13,36.96009453638819,-19.49014574799122,480.48122897304654,2.5315761498787177,False,0.38461538461538464,8,0
transition_colour_exit,1,2023H1,12,9.04968453395005,-19.20721361205023,108.5962144074006,1.3048888294297911,False,0.4166666666666667,7,0
transition_colour_exit,1,2023H2,10,-21.54307213128413,-24.965510866600244,-215.4307213128413,0.21235065006532275,False,0.2,8,0
transition_colour_exit,1,2024H1,16,8.989212578910887,-35.74337794013891,143.8274012625742,1.217475268876132,False,0.3125,11,0
transition_colour_exit,1,2024H2,26,-33.165617820207544,-42.177871761122624,-862.3060633253962,0.360934827936226,False,0.19230769230769232,21,0
