open_utc,bar_i,open_bj,open,high,low,close,volume,atr
2026-08-31 04:00:00+00:00,540816,2026-08-31 12:00:00,2419.8,2420.5,2414.0,2414.01,72187.95,3.1405205860230896
2026-08-31 04:03:00+00:00,540817,2026-08-31 12:03:00,2414.0,2414.92,2412.81,2414.0,54603.76,3.0669119727357352
2026-08-31 04:06:00+00:00,540818,2026-08-31 12:06:00,2414.01,2417.45,2413.36,2413.36,38138.25,3.1399896889688748
2026-08-31 04:09:00+00:00,540819,2026-08-31 12:09:00,2413.36,2414.79,2413.36,2414.18,14941.69,3.017847568328229
2026-08-31 04:12:00+00:00,540820,2026-08-31 12:12:00,2414.19,2414.21,2412.19,2413.85,25515.54,2.9465727420190686
2026-08-31 04:15:00+00:00,540821,2026-08-31 12:15:00,2413.86,2414.13,2412.24,2412.3,20941.77,2.871103260446301
2026-08-31 04:18:00+00:00,540822,2026-08-31 12:18:00,2412.29,2413.46,2411.14,2413.01,40257.95,2.8317387418430053
2026-08-31 04:21:00+00:00,540823,2026-08-31 12:21:00,2413.0,2413.66,2410.5,2410.51,117648.95,2.855185974568495
2026-08-31 04:24:00+00:00,540824,2026-08-31 12:24:00,2410.51,2413.37,2410.0,2411.3,92032.7,2.8919584049564517
2026-08-31 04:27:00+00:00,540825,2026-08-31 12:27:00,2411.31,2413.35,2410.6,2411.56,46322.84,2.881818518888134
2026-08-31 04:30:00+00:00,540826,2026-08-31 12:30:00,2411.56,2413.6,2411.55,2412.92,41057.72,2.8224029103961046
2026-08-31 04:33:00+00:00,540827,2026-08-31 12:33:00,2412.93,2413.32,2411.39,2412.38,26448.7,2.758659845367832
2026-08-31 04:36:00+00:00,540828,2026-08-31 12:36:00,2412.39,2414.69,2411.9,2412.15,59443.18,2.7608984278415556
2026-08-31 04:39:00+00:00,540829,2026-08-31 12:39:00,2412.15,2414.98,2411.0,2413.55,55255.03,2.84797711156716
2026-08-31 04:42:00+00:00,540830,2026-08-31 12:42:00,2413.55,2415.46,2411.99,2414.44,88010.55,2.8924073178838094
2026-08-31 04:45:00+00:00,540831,2026-08-31 12:45:00,2414.44,2414.61,2412.36,2412.87,16684.6,2.846521080892109
2026-08-31 04:48:00+00:00,540832,2026-08-31 12:48:00,2412.87,2413.32,2410.52,2412.99,55233.28,2.8431981465426857
2026-08-31 04:51:00+00:00,540833,2026-08-31 12:51:00,2412.99,2416.1,2412.39,2415.38,18052.12,2.905112564646782
2026-08-31 04:54:00+00:00,540834,2026-08-31 12:54:00,2415.37,2417.65,2415.12,2415.76,46961.63,2.878318810029169
2026-08-31 04:57:00+00:00,540835,2026-08-31 12:57:00,2415.77,2417.7,2415.77,2416.49,13782.26,2.8112960378842
2026-08-31 05:00:00+00:00,540836,2026-08-31 13:00:00,2416.5,2416.5,2413.12,2415.08,36356.29,2.8519177494639076
2026-08-31 05:03:00+00:00,540837,2026-08-31 13:03:00,2415.09,2421.29,2415.09,2418.72,60756.86,3.0917807673593454
2026-08-31 05:06:00+00:00,540838,2026-08-31 13:06:00,2418.72,2419.7,2418.0,2419.7,22428.25,2.992367855405093
2026-08-31 05:09:00+00:00,540839,2026-08-31 13:09:00,2419.69,2420.79,2418.35,2419.99,48671.52,2.9529130085904476
2026-08-31 05:12:00+00:00,540840,2026-08-31 13:12:00,2420.0,2422.76,2419.8,2421.31,36253.45,2.953419222262561
2026-08-31 05:15:00+00:00,540841,2026-08-31 13:15:00,2421.3,2427.72,2421.28,2424.36,200168.78,3.2024607063866353
2026-08-31 05:18:00+00:00,540842,2026-08-31 13:18:00,2424.37,2431.68,2424.36,2430.92,157424.69,3.496570655930426
2026-08-31 05:21:00+00:00,540843,2026-08-31 13:21:00,2430.91,2433.0,2426.59,2432.1,163998.61,3.704672751935385
2026-08-31 05:24:00+00:00,540844,2026-08-31 13:24:00,2432.12,2441.88,2431.85,2435.85,333612.43,4.156481841082871
2026-08-31 05:27:00+00:00,540845,2026-08-31 13:27:00,2435.86,2435.86,2431.6,2434.32,110888.31,4.163875995291253
2026-08-31 05:30:00+00:00,540846,2026-08-31 13:30:00,2434.32,2436.8,2432.8,2433.19,110667.09,4.152170567056163
2026-08-31 05:33:00+00:00,540847,2026-08-31 13:33:00,2433.19,2435.8,2433.01,2433.88,44712.96,4.054872669409291
2026-08-31 05:36:00+00:00,540848,2026-08-31 13:36:00,2433.87,2435.12,2428.08,2429.2,119787.04,4.268096050165767
2026-08-31 05:39:00+00:00,540849,2026-08-31 13:39:00,2429.2,2434.65,2428.57,2432.67,81050.71,4.397517760868207
2026-08-31 05:42:00+00:00,540850,2026-08-31 13:42:00,2432.68,2435.93,2432.67,2434.8,52583.25,4.316266492234747
2026-08-31 05:45:00+00:00,540851,2026-08-31 13:45:00,2434.8,2437.15,2434.8,2435.59,54222.11,4.175818885646544
2026-08-31 05:48:00+00:00,540852,2026-08-31 13:48:00,2435.6,2437.13,2434.32,2435.8,40959.51,4.078260393814644
2026-08-31 05:51:00+00:00,540853,2026-08-31 13:51:00,2435.79,2437.6,2435.01,2436.87,25821.73,3.971956079970719
2026-08-31 05:54:00+00:00,540854,2026-08-31 13:54:00,2436.87,2436.87,2432.45,2433.13,41940.83,4.003959217115673
2026-08-31 05:57:00+00:00,540855,2026-08-31 13:57:00,2433.14,2436.33,2432.61,2434.9,32404.27,3.9836764158931106
2026-08-31 06:00:00+00:00,540856,2026-08-31 14:00:00,2434.89,2436.84,2433.35,2436.36,35378.05,3.9484138147579055
2026-08-31 06:03:00+00:00,540857,2026-08-31 14:03:00,2436.36,2436.51,2433.66,2434.15,30310.71,3.869955685132367
2026-08-31 06:06:00+00:00,540858,2026-08-31 14:06:00,2434.15,2434.37,2430.06,2432.51,71342.23,3.9013874219086224
2026-08-31 06:09:00+00:00,540859,2026-08-31 14:09:00,2432.52,2435.03,2432.52,2434.65,33915.17,3.802716891772291
2026-08-31 06:12:00+00:00,540860,2026-08-31 14:12:00,2434.65,2436.23,2434.37,2435.22,30065.57,3.6639513995028503
2026-08-31 06:15:00+00:00,540861,2026-08-31 14:15:00,2435.22,2440.44,2435.22,2438.16,83620.74,3.775097728109808
2026-08-31 06:18:00+00:00,540862,2026-08-31 14:18:00,2438.16,2443.97,2436.69,2436.69,193840.67,4.025447890387661
2026-08-31 06:21:00+00:00,540863,2026-08-31 14:21:00,2436.69,2438.99,2435.0,2435.6,64478.17,4.022915898217098
2026-08-31 06:24:00+00:00,540864,2026-08-31 14:24:00,2435.6,2442.0,2435.6,2441.76,81164.38,4.192707619773026
2026-08-31 06:27:00+00:00,540865,2026-08-31 14:27:00,2441.77,2443.76,2439.29,2440.48,50758.37,4.212514218360686
2026-08-31 06:30:00+00:00,540866,2026-08-31 14:30:00,2440.48,2440.48,2435.64,2438.62,68059.58,4.257334631334933
2026-08-31 06:33:00+00:00,540867,2026-08-31 14:33:00,2438.62,2439.71,2436.54,2436.92,37508.7,4.179667871953872
2026-08-31 06:36:00+00:00,540868,2026-08-31 14:36:00,2436.91,2443.32,2436.73,2440.18,78598.62,4.351834452528606
2026-08-31 06:39:00+00:00,540869,2026-08-31 14:39:00,2440.18,2443.22,2439.74,2443.11,47990.6,4.289560563062278
2026-08-31 06:42:00+00:00,540870,2026-08-31 14:42:00,2443.11,2443.11,2440.87,2440.87,24586.85,4.143163379986418
2026-08-31 06:45:00+00:00,540871,2026-08-31 14:45:00,2440.87,2442.24,2440.27,2441.74,22356.19,3.987937424273088
2026-08-31 06:48:00+00:00,540872,2026-08-31 14:48:00,2441.73,2442.43,2438.83,2439.18,37693.88,3.9602276082535752
2026-08-31 06:51:00+00:00,540873,2026-08-31 14:51:00,2439.18,2440.38,2438.15,2439.6,45746.58,3.83663992194975
2026-08-31 06:54:00+00:00,540874,2026-08-31 14:54:00,2439.6,2440.0,2437.68,2437.86,31286.44,3.728308498953351
2026-08-31 06:57:00+00:00,540875,2026-08-31 14:57:00,2437.86,2439.2,2436.48,2437.31,52156.76,3.6562864633138115
2026-08-31 07:00:00+00:00,540876,2026-08-31 15:00:00,2437.31,2439.66,2436.33,2437.44,53065.73,3.6329802873628196
2026-08-31 07:03:00+00:00,540877,2026-08-31 15:03:00,2437.44,2437.5,2435.19,2437.0,54507.6,3.5384816954083287
2026-08-31 07:06:00+00:00,540878,2026-08-31 15:06:00,2437.0,2437.79,2434.44,2437.78,30278.11,3.52501871716487
2026-08-31 07:09:00+00:00,540879,2026-08-31 15:09:00,2437.79,2440.69,2437.64,2440.69,24967.36,3.491088808795964
2026-08-31 07:12:00+00:00,540880,2026-08-31 15:12:00,2440.69,2440.93,2437.4,2438.85,33135.24,3.493868179596234
2026-08-31 07:15:00+00:00,540881,2026-08-31 15:15:00,2438.86,2443.5,2438.64,2442.01,53736.14,3.5914490239107977
2026-08-31 07:18:00+00:00,540882,2026-08-31 15:18:00,2442.01,2443.19,2440.08,2441.05,49716.58,3.5570598079171782
2026-08-31 07:21:00+00:00,540883,2026-08-31 15:21:00,2441.05,2443.46,2439.95,2441.17,33796.65,3.553698393065967
2026-08-31 07:24:00+00:00,540884,2026-08-31 15:24:00,2441.17,2445.44,2441.16,2442.22,107939.65,3.6055770792755553
2026-08-31 07:27:00+00:00,540885,2026-08-31 15:27:00,2442.22,2443.71,2441.42,2441.47,28800.46,3.5116072878987272
2026-08-31 07:30:00+00:00,540886,2026-08-31 15:30:00,2441.48,2442.0,2438.89,2439.05,27700.03,3.4829210530488273
2026-08-31 07:33:00+00:00,540887,2026-08-31 15:33:00,2439.06,2440.75,2437.41,2440.74,34216.55,3.472712406402493
2026-08-31 07:36:00+00:00,540888,2026-08-31 15:36:00,2440.74,2441.83,2438.89,2440.33,20464.54,3.43466152023089
2026-08-31 07:39:00+00:00,540889,2026-08-31 15:39:00,2440.33,2441.58,2437.99,2437.99,35656.3,3.445757125928694
2026-08-31 07:42:00+00:00,540890,2026-08-31 15:42:00,2437.99,2440.67,2437.47,2440.07,20087.45,3.4282030455052355
2026-08-31 07:45:00+00:00,540891,2026-08-31 15:45:00,2440.07,2440.35,2438.21,2438.93,14896.13,3.3361885422548525
