signal_i,signal_bar_open,entry_i,entry_time,side,entry_price,initial_stop,initial_risk,initial_risk_frac,protection,mfe_r,trail_armed,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,exit_time_precision,account_equity_before,account_equity_after,arm,trade_no,carry_in,signal_id,direction,signal_open_bj,signal_confirm_bj,entry_bj,exit_bar_open_bj,exit_bj_from,exit_bj_to,status,cost_r,price_risk_1u_quantity_eth,be_trigger_bar_bj,favorable_r_lower,favorable_r_upper,full_initial_stop
541327,2026-09-01 05:33:00+00:00,541328,2026-09-01 05:36:00+00:00,1,2477.9,2468.79,9.110000000000127,0.0036765002623189505,2468.79,0.7464324917672484,False,541368,2026-09-01 07:36:00+00:00,2468.79,initial_stop,-0.003676500262318916,-0.005676500262318916,-1.0,-1.5439956092206197,False,bar_open_or_intrabar_window,0.040355086474864396,0.040126010815903924,original,1,False,2026-09-01 13:36:00,多,2026-09-01 13:33:00,2026-09-01 13:36:00,2026-09-01 13:36:00,2026-09-01 15:36:00,2026-09-01 15:36:00,2026-09-01 15:39:00,已平仓,0.5439956092206291,0.10976948408342327,,0.7464324917672484,0.7464324917672484,True
541378,2026-09-01 08:06:00+00:00,541379,2026-09-01 08:09:00+00:00,-1,2462.1,2473.23,11.13000000000011,0.0045205312538077694,2453.53,3.5130278526504517,True,541499,2026-09-01 14:09:00+00:00,2453.53,trailing_stop,0.003480768449697247,0.0014807684496972468,0.7699910152740005,0.32756513926321257,False,bar_open_or_intrabar_window,0.040126010815903924,0.04018542814673233,original,2,False,2026-09-01 16:09:00,空,2026-09-01 16:06:00,2026-09-01 16:09:00,2026-09-01 16:09:00,2026-09-01 22:09:00,2026-09-01 22:09:00,2026-09-01 22:12:00,已平仓,0.4424258760107773,0.08984725965857954,,3.5130278526504517,3.5130278526504517,False
542187,2026-09-03 00:33:00+00:00,542188,2026-09-03 00:36:00+00:00,-1,2380.52,2385.6,5.079999999999927,0.0021339875321358054,2385.6,2.3208661417323095,False,542198,2026-09-03 01:06:00+00:00,2385.6,initial_stop,-0.0021339875321357837,-0.004133987532135784,-1.0,-1.9372125984252,False,bar_open_or_intrabar_window,0.04018542814673233,0.0400193020878002,original,3,False,2026-09-03 08:36:00,空,2026-09-03 08:33:00,2026-09-03 08:36:00,2026-09-03 08:36:00,2026-09-03 09:06:00,2026-09-03 09:06:00,2026-09-03 09:09:00,已平仓,0.9372125984252102,0.19685039370079022,,2.3208661417323095,2.3208661417323095,True
542201,2026-09-03 01:15:00+00:00,542202,2026-09-03 01:18:00+00:00,1,2388.62,2373.57,15.049999999999727,0.00630070919610475,2373.57,2.084385382059831,False,542334,2026-09-03 07:54:00+00:00,2399.01,opposite_v6_next_open,0.0043497919300685695,0.0023497919300685694,0.6903654485050177,0.3729408637874078,False,bar_open_or_intrabar_window,0.0400193020878002,0.040113339120893085,original,4,False,2026-09-03 09:18:00,多,2026-09-03 09:15:00,2026-09-03 09:18:00,2026-09-03 09:18:00,2026-09-03 15:54:00,2026-09-03 15:54:00,2026-09-03 15:54:00,已平仓,0.3174245847176137,0.06644518272425369,,2.084385382059831,2.084385382059831,False
542428,2026-09-03 12:36:00+00:00,542429,2026-09-03 12:39:00+00:00,1,2416.41,2405.26,11.149999999999636,0.0046142831721436494,2499.75,10.232286995516041,True,542597,2026-09-03 21:03:00+00:00,2499.75,trailing_stop,0.03448918023017633,0.03248918023017633,7.474439461883665,7.041002690583224,False,bar_open_or_intrabar_window,0.040113339120893085,0.041416588625225965,original,5,False,2026-09-03 20:39:00,多,2026-09-03 20:36:00,2026-09-03 20:39:00,2026-09-03 20:39:00,2026-09-04 05:03:00,2026-09-04 05:03:00,2026-09-04 05:06:00,已平仓,0.4334367713004626,0.08968609865471144,,10.232286995516041,10.232286995516041,False
542720,2026-09-04 03:12:00+00:00,542721,2026-09-04 03:15:00+00:00,1,2510.13,2503.84,6.289999999999964,0.002505846310748831,2503.84,0.1096979332273543,False,542736,2026-09-04 04:00:00+00:00,2503.84,initial_stop,-0.002505846310748794,-0.004505846310748794,-1.0,-1.7981335453100056,False,bar_open_or_intrabar_window,0.041416588625225965,0.04122997184216519,original,6,False,2026-09-04 11:15:00,多,2026-09-04 11:12:00,2026-09-04 11:15:00,2026-09-04 11:15:00,2026-09-04 12:00:00,2026-09-04 12:00:00,2026-09-04 12:03:00,已平仓,0.7981335453100206,0.1589825119236893,,0.1096979332273543,0.1096979332273543,True
542773,2026-09-04 05:51:00+00:00,542774,2026-09-04 05:54:00+00:00,-1,2504.0,2513.85,9.849999999999909,0.003933706070287504,2513.85,0.050761421319797426,False,542780,2026-09-04 06:12:00+00:00,2513.85,initial_stop,-0.003933706070287535,-0.005933706070287535,-1.0,-1.5084263959390989,False,bar_open_or_intrabar_window,0.04122997184216519,0.04098532530796755,original,7,False,2026-09-04 13:54:00,空,2026-09-04 13:51:00,2026-09-04 13:54:00,2026-09-04 13:54:00,2026-09-04 14:12:00,2026-09-04 14:12:00,2026-09-04 14:15:00,已平仓,0.508426395939091,0.10152284263959485,,0.050761421319797426,0.050761421319797426,True
542826,2026-09-04 08:30:00+00:00,542827,2026-09-04 08:33:00+00:00,1,2513.8,2508.21,5.5900000000001455,0.0022237250377914494,2517.89,6.184257602862041,True,542856,2026-09-04 10:00:00+00:00,2517.89,trailing_stop,0.0016270188559153187,-0.00037298114408468135,0.7316636851519829,-0.16772808586762927,False,bar_open_or_intrabar_window,0.04098532530796755,0.0409700385544435,original,8,False,2026-09-04 16:33:00,多,2026-09-04 16:30:00,2026-09-04 16:33:00,2026-09-04 16:33:00,2026-09-04 18:00:00,2026-09-04 18:00:00,2026-09-04 18:03:00,已平仓,0.8993917710196546,0.1788908765652905,,6.184257602862041,6.184257602862041,False
543137,2026-09-05 00:03:00+00:00,543138,2026-09-05 00:06:00+00:00,1,2454.01,2452.08,1.930000000000291,0.0007864678628042636,2452.08,0.968911917098243,False,543144,2026-09-05 00:24:00+00:00,2452.08,initial_stop,-0.0007864678628042299,-0.00278646786280423,-1.0,-3.5430155440410247,False,bar_open_or_intrabar_window,0.0409700385544435,0.040855876858673694,original,9,False,2026-09-05 08:06:00,多,2026-09-05 08:03:00,2026-09-05 08:06:00,2026-09-05 08:06:00,2026-09-05 08:24:00,2026-09-05 08:24:00,2026-09-05 08:27:00,已平仓,2.5430155440410678,0.5181347150258286,,0.968911917098243,0.968911917098243,True
543182,2026-09-05 02:18:00+00:00,543183,2026-09-05 02:21:00+00:00,-1,2451.01,2453.65,2.6399999999998727,0.0010771069885475264,2453.65,0.6628787878788198,False,543205,2026-09-05 03:27:00+00:00,2453.65,initial_stop,-0.0010771069885475715,-0.0030771069885475715,-1.0,-2.8568257575758893,False,bar_open_or_intrabar_window,0.040855876858673694,0.04073015895446863,original,10,False,2026-09-05 10:21:00,空,2026-09-05 10:18:00,2026-09-05 10:21:00,2026-09-05 10:21:00,2026-09-05 11:27:00,2026-09-05 11:27:00,2026-09-05 11:30:00,已平仓,1.8568257575758471,0.37878787878789705,,0.6628787878788198,0.6628787878788198,True
