序号,信号确认_北京时间,开仓_北京时间,方向,开仓价,初始止损价,1R价格距离,退出时间下界_北京时间,退出时间上界_北京时间,退出价_未平仓为估值价,退出原因代码,状态,毛收益R_初始价格风险1U时等于U,成本R_固定往返0.2百分比名义本金,净收益R_未平仓为假设平仓净估值,最高浮盈R下界,最高浮盈R上界,是否9月前开仓
1,2026-09-01 13:36:00,2026-09-01 13:36:00,多,2477.9,2468.79,9.110000000000127,2026-09-01 15:36:00,2026-09-01 15:39:00,2468.79,initial_stop,已平仓,-1.0,0.5439956092206291,-1.5439956092206197,0.7464324917672484,0.7464324917672484,False
2,2026-09-01 16:09:00,2026-09-01 16:09:00,空,2462.1,2473.23,11.13000000000011,2026-09-01 22:09:00,2026-09-01 22:12:00,2453.53,trailing_stop,已平仓,0.7699910152740005,0.4424258760107773,0.32756513926321257,3.5130278526504517,3.5130278526504517,False
3,2026-09-03 08:36:00,2026-09-03 08:36:00,空,2380.52,2385.6,5.079999999999927,2026-09-03 09:06:00,2026-09-03 09:09:00,2385.6,initial_stop,已平仓,-1.0,0.9372125984252102,-1.9372125984252,2.3208661417323095,2.3208661417323095,False
4,2026-09-03 09:18:00,2026-09-03 09:18:00,多,2388.62,2373.57,15.049999999999727,2026-09-03 15:54:00,2026-09-03 15:54:00,2399.01,opposite_v6_next_open,已平仓,0.6903654485050177,0.3174245847176137,0.3729408637874078,2.084385382059831,2.084385382059831,False
5,2026-09-03 20:39:00,2026-09-03 20:39:00,多,2416.41,2405.26,11.149999999999636,2026-09-04 05:03:00,2026-09-04 05:06:00,2499.75,trailing_stop,已平仓,7.474439461883665,0.4334367713004626,7.041002690583224,10.232286995516041,10.232286995516041,False
6,2026-09-04 11:15:00,2026-09-04 11:15:00,多,2510.13,2503.84,6.289999999999964,2026-09-04 12:00:00,2026-09-04 12:03:00,2503.84,initial_stop,已平仓,-1.0,0.7981335453100206,-1.7981335453100056,0.1096979332273543,0.1096979332273543,False
7,2026-09-04 13:54:00,2026-09-04 13:54:00,空,2504.0,2513.85,9.849999999999909,2026-09-04 14:12:00,2026-09-04 14:15:00,2513.85,initial_stop,已平仓,-1.0,0.508426395939091,-1.5084263959390989,0.050761421319797426,0.050761421319797426,False
8,2026-09-04 16:33:00,2026-09-04 16:33:00,多,2513.8,2508.21,5.5900000000001455,2026-09-04 18:00:00,2026-09-04 18:03:00,2517.89,trailing_stop,已平仓,0.7316636851519829,0.8993917710196546,-0.16772808586762927,6.184257602862041,6.184257602862041,False
9,2026-09-05 08:06:00,2026-09-05 08:06:00,多,2454.01,2452.08,1.930000000000291,2026-09-05 08:24:00,2026-09-05 08:27:00,2452.08,initial_stop,已平仓,-1.0,2.5430155440410678,-3.5430155440410247,0.968911917098243,0.968911917098243,False
10,2026-09-05 10:21:00,2026-09-05 10:21:00,空,2451.01,2453.65,2.6399999999998727,2026-09-05 11:27:00,2026-09-05 11:30:00,2453.65,initial_stop,已平仓,-1.0,1.8568257575758471,-2.8568257575758893,0.6628787878788198,0.6628787878788198,False
11,2026-09-05 12:51:00,2026-09-05 12:51:00,空,2448.6,2450.81,2.2100000000000364,2026-09-05 13:42:00,2026-09-05 13:45:00,2450.81,initial_stop,已平仓,-1.0,2.215927601809918,-3.215927601809901,2.257918552036063,2.257918552036063,False
12,2026-09-08 08:57:00,2026-09-08 08:57:00,多,2492.72,2487.06,5.6599999999998545,2026-09-08 10:33:00,2026-09-08 10:36:00,2492.15,trailing_stop,已平仓,-0.1007067137808699,0.8808197879858883,-0.9815265017667786,2.598939929328695,2.598939929328695,False
13,2026-09-09 08:51:00,2026-09-09 08:51:00,多,2495.55,2486.51,9.039999999999964,2026-09-09 11:09:00,2026-09-09 11:12:00,2486.51,initial_stop,已平仓,-1.0,0.5521128318584093,-1.5521128318584128,0.38163716814157433,0.38163716814157433,False
14,2026-09-09 11:15:00,2026-09-09 11:15:00,空,2486.46,2493.13,6.670000000000073,2026-09-09 12:00:00,2026-09-09 12:03:00,2493.13,initial_stop,已平仓,-1.0,0.7455652173912963,-1.7455652173912921,0.1904047976011946,0.1904047976011946,False
15,2026-09-09 12:06:00,2026-09-09 12:06:00,多,2500.5,2484.58,15.920000000000073,2026-09-09 13:51:00,2026-09-09 13:51:00,2492.99,opposite_v6_next_open,已平仓,-0.4717336683417201,0.3141331658291443,-0.7858668341708622,0.8128140703517585,0.8128140703517585,False
16,2026-09-10 17:45:00,2026-09-10 17:45:00,空,2466.77,2476.48,9.710000000000036,2026-09-11 00:45:00,2026-09-11 00:48:00,2444.48,trailing_stop,已平仓,2.2955715756951474,0.5080885684860948,1.7874830072090386,6.461380020597276,6.461380020597276,False
17,2026-09-12 16:12:00,2026-09-12 16:12:00,多,2525.14,2521.54,3.599999999999909,2026-09-12 23:36:00,2026-09-12 23:39:00,2533.9900000000002,trailing_stop,已平仓,2.4583333333334965,1.402855555555591,1.0554777777779587,5.933333333333518,5.933333333333518,False
18,2026-09-13 01:27:00,2026-09-13 01:27:00,空,2526.26,2533.0,6.739999999999782,2026-09-13 13:51:00,2026-09-13 13:51:00,2522.76,opposite_v6_next_open,已平仓,0.51928783382791,0.7496320474777692,-0.23034421364987484,1.85014836795262,1.85014836795262,False
19,2026-09-13 13:51:00,2026-09-13 13:51:00,多,2522.76,2521.34,1.4200000000000728,2026-09-13 14:15:00,2026-09-13 14:18:00,2521.34,initial_stop,已平仓,-1.0,3.5531830985913677,-4.553183098591371,0.21830985915487996,0.21830985915487996,False
20,2026-09-14 19:06:00,2026-09-14 19:06:00,空,2508.71,2518.57,9.860000000000127,2026-09-14 21:18:00,2026-09-14 21:18:00,2503.28,boundary_mark,截止仍持仓，仅收盘估值,0.5507099391480493,0.5088661257606426,0.04184381338741304,2.213995943204832,2.213995943204832,False
