signal_i,signal_bar_open,entry_i,entry_time,side,entry_price,initial_stop,initial_risk,initial_risk_frac,protection,mfe_r,trail_armed,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,exit_time_precision,cost_r,protection_armed,be_armed,protection_trigger_i,trigger_i,activation_timing,cost_protection,activation_price,target_price,net_take_profit_r,exit_at_open,full_initial_stop,ambiguous_stop_tp,ambiguous_stop_tp_count,entry_side_source,side_override,final_protection,mfe_precision,mfe_r_strategy_usable,arm,trade_no,carry_in,signal_id,direction,signal_open_bj,signal_confirm_bj,entry_bj,exit_bar_open_bj,exit_bj_from,exit_bj_to,status,price_risk_1u_quantity_eth,be_trigger_bar_bj,favorable_r_lower,favorable_r_upper
541327,2026-09-01 05:33:00+00:00,541328,2026-09-01 05:36:00+00:00,1,2477.9,2468.79,9.110000000000127,0.0036765002623189505,2482.86,0.7047200878155854,False,541333,2026-09-01 05:51:00+00:00,2481.99,cost_be_gap,0.0016505912264415112,-0.0003494087735584888,0.44895718990116723,-0.09503841931949147,False,bar_open_or_intrabar_window,0.5439956092206291,True,True,541332.0,541332.0,next_bar,2482.86,2482.88,2491.9700000000003,1.0,True,False,False,0,raw_v6_signal,,2482.86,legacy_excludes_stopped_exit_bar,False,next_bar,1,False,2026-09-01 13:36:00,多,2026-09-01 13:33:00,2026-09-01 13:36:00,2026-09-01 13:36:00,2026-09-01 13:51:00,2026-09-01 13:51:00,2026-09-01 13:51:00,已平仓,0.10976948408342327,2026-09-01 13:48:00,0.7047200878155854,0.7047200878155854
541378,2026-09-01 08:06:00+00:00,541379,2026-09-01 08:09:00+00:00,-1,2462.1,2473.23,11.13000000000011,0.0045205312538077694,2457.17,0.5660377358490265,False,541383,2026-09-01 08:21:00+00:00,2462.9,cost_be_gap,-0.00032492587628452085,-0.002324925876284521,-0.07187780772687997,-0.5143036837376517,False,bar_open_or_intrabar_window,0.4424258760107773,True,True,541382.0,541382.0,next_bar,2457.17,2457.15,2446.04,1.0,True,False,False,0,raw_v6_signal,,2457.17,legacy_excludes_stopped_exit_bar,False,next_bar,2,False,2026-09-01 16:09:00,空,2026-09-01 16:06:00,2026-09-01 16:09:00,2026-09-01 16:09:00,2026-09-01 16:21:00,2026-09-01 16:21:00,2026-09-01 16:21:00,已平仓,0.08984725965857954,2026-09-01 16:18:00,0.5660377358490265,0.5660377358490265
542187,2026-09-03 00:33:00+00:00,542188,2026-09-03 00:36:00+00:00,-1,2380.52,2385.6,5.079999999999927,0.0021339875321358054,2385.6,1.9389763779527658,False,542196,2026-09-03 01:00:00+00:00,2370.67,take_profit,0.004137751415657087,0.002137751415657087,1.9389763779527658,1.0017637795275751,False,bar_open_or_intrabar_window,0.9372125984252102,False,False,,,next_bar,2375.75,2375.73,2370.67,1.0,False,False,False,0,raw_v6_signal,,2385.6,capped_at_fixed_take_profit,False,next_bar,3,False,2026-09-03 08:36:00,空,2026-09-03 08:33:00,2026-09-03 08:36:00,2026-09-03 08:36:00,2026-09-03 09:00:00,2026-09-03 09:00:00,2026-09-03 09:03:00,已平仓,0.19685039370079022,,1.9389763779527658,2.3208661417323095
542201,2026-09-03 01:15:00+00:00,542202,2026-09-03 01:18:00+00:00,1,2388.62,2373.57,15.049999999999727,0.00630070919610475,2393.4,0.33421926910300936,False,542225,2026-09-03 02:27:00+00:00,2391.12,cost_be_gap,0.001046629434569013,-0.000953370565430987,0.16611295681063423,-0.1513116279069638,False,bar_open_or_intrabar_window,0.3174245847176137,True,True,542224.0,542224.0,next_bar,2393.4,2393.42,2408.4500000000003,1.0,True,False,False,0,raw_v6_signal,,2393.4,legacy_excludes_stopped_exit_bar,False,next_bar,4,False,2026-09-03 09:18:00,多,2026-09-03 09:15:00,2026-09-03 09:18:00,2026-09-03 09:18:00,2026-09-03 10:27:00,2026-09-03 10:27:00,2026-09-03 10:27:00,已平仓,0.06644518272425369,2026-09-03 10:24:00,0.33421926910300936,0.33421926910300936
542226,2026-09-03 02:30:00+00:00,542227,2026-09-03 02:33:00+00:00,1,2398.18,2387.21,10.9699999999998,0.004574302179152441,2402.98,0.7584320875114234,False,542228,2026-09-03 02:36:00+00:00,2402.93,cost_be_gap,0.001980668673744246,-1.933132625575422e-05,0.4329990884229796,-0.004226071103010529,False,bar_open_or_intrabar_window,0.4372251595259879,True,True,542227.0,542227.0,next_bar,2402.98,2403.0,2413.9500000000003,1.0,True,False,False,0,raw_v6_signal,,2402.98,legacy_excludes_stopped_exit_bar,False,next_bar,5,False,2026-09-03 10:33:00,多,2026-09-03 10:30:00,2026-09-03 10:33:00,2026-09-03 10:33:00,2026-09-03 10:36:00,2026-09-03 10:36:00,2026-09-03 10:36:00,已平仓,0.09115770282589045,2026-09-03 10:33:00,0.7584320875114234,0.7584320875114234
542428,2026-09-03 12:36:00+00:00,542429,2026-09-03 12:39:00+00:00,1,2416.41,2405.26,11.149999999999636,0.0046142831721436494,2421.25,0.9076233183857109,False,542436,2026-09-03 13:00:00+00:00,2421.25,cost_be,0.002002971350060667,2.9713500606671356e-06,0.43408071748881644,0.0006439461883494984,False,bar_open_or_intrabar_window,0.4334367713004626,True,True,542434.0,542434.0,next_bar,2421.25,2421.27,2432.4,1.0,False,False,False,0,raw_v6_signal,,2421.25,legacy_excludes_stopped_exit_bar,False,next_bar,6,False,2026-09-03 20:39:00,多,2026-09-03 20:36:00,2026-09-03 20:39:00,2026-09-03 20:39:00,2026-09-03 21:00:00,2026-09-03 21:00:00,2026-09-03 21:03:00,已平仓,0.08968609865471144,2026-09-03 20:54:00,0.9076233183857109,0.9076233183857109
542720,2026-09-04 03:12:00+00:00,542721,2026-09-04 03:15:00+00:00,1,2510.13,2503.84,6.289999999999964,0.002505846310748831,2503.84,0.1096979332273543,False,542736,2026-09-04 04:00:00+00:00,2503.84,initial_stop,-0.002505846310748794,-0.004505846310748794,-1.0,-1.7981335453100056,False,bar_open_or_intrabar_window,0.7981335453100206,False,False,,,next_bar,2515.16,2515.17,2521.4500000000003,1.0,False,True,False,0,raw_v6_signal,,2503.84,legacy_excludes_stopped_exit_bar,False,next_bar,7,False,2026-09-04 11:15:00,多,2026-09-04 11:12:00,2026-09-04 11:15:00,2026-09-04 11:15:00,2026-09-04 12:00:00,2026-09-04 12:00:00,2026-09-04 12:03:00,已平仓,0.1589825119236893,,0.1096979332273543,0.1096979332273543
542773,2026-09-04 05:51:00+00:00,542774,2026-09-04 05:54:00+00:00,-1,2504.0,2513.85,9.849999999999909,0.003933706070287504,2513.85,0.050761421319797426,False,542780,2026-09-04 06:12:00+00:00,2513.85,initial_stop,-0.003933706070287535,-0.005933706070287535,-1.0,-1.5084263959390989,False,bar_open_or_intrabar_window,0.508426395939091,False,False,,,next_bar,2498.9900000000002,2498.98,2489.14,1.0,False,True,False,0,raw_v6_signal,,2513.85,legacy_excludes_stopped_exit_bar,False,next_bar,8,False,2026-09-04 13:54:00,空,2026-09-04 13:51:00,2026-09-04 13:54:00,2026-09-04 13:54:00,2026-09-04 14:12:00,2026-09-04 14:12:00,2026-09-04 14:15:00,已平仓,0.10152284263959485,,0.050761421319797426,0.050761421319797426
542826,2026-09-04 08:30:00+00:00,542827,2026-09-04 08:33:00+00:00,1,2513.8,2508.21,5.5900000000001455,0.0022237250377914494,2518.83,1.025044722719118,False,542828,2026-09-04 08:36:00+00:00,2517.19,cost_be_gap,0.0013485559710397776,-0.0006514440289602224,0.6064400715563121,-0.2929516994633568,False,bar_open_or_intrabar_window,0.8993917710196546,True,True,542827.0,542827.0,next_bar,2518.83,2518.84,2524.42,1.0,True,False,False,0,raw_v6_signal,,2518.83,legacy_excludes_stopped_exit_bar,False,next_bar,9,False,2026-09-04 16:33:00,多,2026-09-04 16:30:00,2026-09-04 16:33:00,2026-09-04 16:33:00,2026-09-04 16:36:00,2026-09-04 16:36:00,2026-09-04 16:36:00,已平仓,0.1788908765652905,2026-09-04 16:33:00,1.025044722719118,1.025044722719118
542841,2026-09-04 09:15:00+00:00,542842,2026-09-04 09:18:00+00:00,1,2542.5,2524.83,17.670000000000073,0.00694985250737466,2547.59,0.3322014714204792,False,542843,2026-09-04 09:21:00+00:00,2532.44,cost_be_gap,-0.0039567354965585055,-0.005956735496558506,-0.5693265421618509,-0.8571024335031091,False,bar_open_or_intrabar_window,0.2877758913412552,True,True,542842.0,542842.0,next_bar,2547.59,2547.61,2565.26,1.0,True,False,False,0,raw_v6_signal,,2547.59,legacy_excludes_stopped_exit_bar,False,next_bar,10,False,2026-09-04 17:18:00,多,2026-09-04 17:15:00,2026-09-04 17:18:00,2026-09-04 17:18:00,2026-09-04 17:21:00,2026-09-04 17:21:00,2026-09-04 17:21:00,已平仓,0.0565930956423314,2026-09-04 17:18:00,0.3322014714204792,0.3322014714204792
543137,2026-09-05 00:03:00+00:00,543138,2026-09-05 00:06:00+00:00,1,2454.01,2452.08,1.930000000000291,0.0007864678628042636,2452.08,0.968911917098243,False,543144,2026-09-05 00:24:00+00:00,2452.08,initial_stop,-0.0007864678628042299,-0.00278646786280423,-1.0,-3.5430155440410247,False,bar_open_or_intrabar_window,2.5430155440410678,False,False,,,next_bar,2458.92,2458.94,2460.85,1.0,False,True,False,0,raw_v6_signal,,2452.08,legacy_excludes_stopped_exit_bar,False,next_bar,11,False,2026-09-05 08:06:00,多,2026-09-05 08:03:00,2026-09-05 08:06:00,2026-09-05 08:06:00,2026-09-05 08:24:00,2026-09-05 08:24:00,2026-09-05 08:27:00,已平仓,0.5181347150258286,,0.968911917098243,0.968911917098243
543182,2026-09-05 02:18:00+00:00,543183,2026-09-05 02:21:00+00:00,-1,2451.01,2453.65,2.6399999999998727,0.0010771069885475264,2453.65,0.6628787878788198,False,543205,2026-09-05 03:27:00+00:00,2453.65,initial_stop,-0.0010771069885475715,-0.0030771069885475715,-1.0,-2.8568257575758893,False,bar_open_or_intrabar_window,1.8568257575758471,False,False,,,next_bar,2446.1,2446.08,2443.46,1.0,False,True,False,0,raw_v6_signal,,2453.65,legacy_excludes_stopped_exit_bar,False,next_bar,12,False,2026-09-05 10:21:00,空,2026-09-05 10:18:00,2026-09-05 10:21:00,2026-09-05 10:21:00,2026-09-05 11:27:00,2026-09-05 11:27:00,2026-09-05 11:30:00,已平仓,0.37878787878789705,,0.6628787878788198,0.6628787878788198
543232,2026-09-05 04:48:00+00:00,543233,2026-09-05 04:51:00+00:00,-1,2448.6,2450.81,2.2100000000000364,0.0009025565629339363,2443.7000000000003,2.257918552036063,False,543239,2026-09-05 05:09:00+00:00,2445.54,cost_be_gap,0.001249693702523924,-0.000750306297476076,1.384615384615337,-0.83131221719452,False,bar_open_or_intrabar_window,2.215927601809918,True,True,543238.0,543238.0,next_bar,2443.7000000000003,2443.69,2441.4900000000002,1.0,True,False,False,0,raw_v6_signal,,2443.7000000000003,legacy_excludes_stopped_exit_bar,False,next_bar,13,False,2026-09-05 12:51:00,空,2026-09-05 12:48:00,2026-09-05 12:51:00,2026-09-05 12:51:00,2026-09-05 13:09:00,2026-09-05 13:09:00,2026-09-05 13:09:00,已平仓,0.452488687782798,2026-09-05 13:06:00,2.257918552036063,2.257918552036063
