signal_no,signal_i,signal_id,signal_open_bj,direction,close,atr,original_status,next_bar_status,ohlc_status,olhc_status
1,541327,2026-09-01 13:36:00,2026-09-01 13:33:00,多,2477.9,2.459951825788172,已开仓#1,已开仓#1,已开仓#1,已开仓#1
2,541378,2026-09-01 16:09:00,2026-09-01 16:06:00,空,2462.1,2.9716678939237595,已开仓#2,已开仓#2,已开仓#2,已开仓#2
3,542187,2026-09-03 08:36:00,2026-09-03 08:33:00,空,2380.51,2.5421576187567942,已开仓#3,已开仓#3,已开仓#3,已开仓#3
4,542196,2026-09-03 09:03:00,2026-09-03 09:00:00,空,2375.88,3.2743345929419374,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓
5,542201,2026-09-03 09:18:00,2026-09-03 09:15:00,多,2388.63,3.747346704530074,已开仓#4,已开仓#4,已开仓#4,已开仓#4
6,542226,2026-09-03 10:33:00,2026-09-03 10:30:00,多,2398.17,4.048256724645751,持仓/同bar退出限制，未开仓,已开仓#5,已开仓#5,已开仓#5
7,542428,2026-09-03 20:39:00,2026-09-03 20:36:00,多,2416.41,3.7942982660171682,已开仓#5,已开仓#6,已开仓#6,已开仓#6
8,542720,2026-09-04 11:15:00,2026-09-04 11:12:00,多,2510.14,3.1471829778025584,已开仓#6,已开仓#7,已开仓#7,已开仓#7
9,542773,2026-09-04 13:54:00,2026-09-04 13:51:00,空,2504.01,3.21442418140627,已开仓#7,已开仓#8,已开仓#8,已开仓#8
10,542826,2026-09-04 16:33:00,2026-09-04 16:30:00,多,2513.8,2.7921158756263766,已开仓#8,已开仓#9,已开仓#9,已开仓#9
11,542841,2026-09-04 17:18:00,2026-09-04 17:15:00,多,2542.5,6.150569116534773,持仓/同bar退出限制，未开仓,已开仓#10,已开仓#10,已开仓#10
12,543137,2026-09-05 08:06:00,2026-09-05 08:03:00,多,2454.01,0.9612223247688796,已开仓#9,已开仓#11,已开仓#11,已开仓#11
13,543182,2026-09-05 10:21:00,2026-09-05 10:18:00,空,2451.01,1.3186786484333761,已开仓#10,已开仓#12,已开仓#12,已开仓#12
14,543232,2026-09-05 12:51:00,2026-09-05 12:48:00,空,2448.61,1.0271846181083872,已开仓#11,已开仓#13,已开仓#13,已开仓#13
15,544594,2026-09-08 08:57:00,2026-09-08 08:54:00,多,2492.73,2.831551499389293,已开仓#12,已开仓#14,已开仓#14,已开仓#14
16,545072,2026-09-09 08:51:00,2026-09-09 08:48:00,多,2495.54,2.4030319756340295,已开仓#13,已开仓#15,已开仓#15,已开仓#15
17,545120,2026-09-09 11:15:00,2026-09-09 11:12:00,空,2486.45,2.551461384727688,已开仓#14,已开仓#16,已开仓#16,已开仓#16
18,545137,2026-09-09 12:06:00,2026-09-09 12:03:00,多,2500.5,3.0197563652886323,已开仓#15,已开仓#17,已开仓#17,已开仓#17
19,545730,2026-09-10 17:45:00,2026-09-10 17:42:00,空,2466.77,2.451937980825185,已开仓#16,已开仓#18,已开仓#18,已开仓#18
20,546659,2026-09-12 16:12:00,2026-09-12 16:09:00,多,2525.14,1.3893222367403038,已开仓#17,已开仓#19,已开仓#19,已开仓#19
21,546844,2026-09-13 01:27:00,2026-09-13 01:24:00,空,2526.27,1.8891885559386505,已开仓#18,已开仓#20,已开仓#20,已开仓#20
22,547092,2026-09-13 13:51:00,2026-09-13 13:48:00,多,2522.77,0.7118618404047784,已开仓#19,已开仓#21,已开仓#21,已开仓#21
23,547677,2026-09-14 19:06:00,2026-09-14 19:03:00,空,2508.72,3.006045606576254,已开仓#20,已开仓#22,已开仓#22,已开仓#22
24,547693,2026-09-14 19:54:00,2026-09-14 19:51:00,空,2505.37,2.6487437710703436,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓
25,547714,2026-09-14 20:57:00,2026-09-14 20:54:00,空,2503.11,3.7589428608125104,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓,持仓/同bar退出限制，未开仓
