uid,kind,kind_id,track,track_id,source,ax,ap,bx,bp,cx,cp,fit,wave,score,born_i,break_i,A,B,C,ax_bj,bx_bj,cx_bj,born_i_bj,break_i_bj
1,auxiliary_touch,1,raw,0,0,515,64975.0,585,64524.7,601,64442.0,0.1922846969107917,2.7883031574641897,0.29507878220091294,603,610.0,515,585,601,2026-08-06T16:45:00+08:00,2026-08-07T10:15:00+08:00,2026-08-07T14:15:00+08:00,2026-08-07T15:00:00+08:00,2026-08-07T16:45:00+08:00
2,auxiliary_touch,1,raw,0,0,894,65337.9,1008,64474.0,1088,63835.8,0.3490547052857122,6.206855866374609,0.3768060581236606,1090,1094.0,894,1008,1088,2026-08-10T15:30:00+08:00,2026-08-11T20:00:00+08:00,2026-08-12T16:00:00+08:00,2026-08-12T16:45:00+08:00,2026-08-12T17:45:00+08:00
3,auxiliary_touch,1,raw,0,0,856,65500.0,894,65337.9,1106,64466.0,0.2631609910256219,4.832296466658941,0.2974528006315508,1108,1428.0,856,894,1106,2026-08-10T06:00:00+08:00,2026-08-10T15:30:00+08:00,2026-08-12T20:30:00+08:00,2026-08-12T21:15:00+08:00,2026-08-16T05:15:00+08:00
4,auxiliary_touch,1,raw,0,0,1210,63974.4,1317,63215.1,1343,63049.0,0.21764583219774095,2.200538562167832,0.28013531517542245,1345,1350.0,1210,1317,1343,2026-08-13T22:30:00+08:00,2026-08-15T01:15:00+08:00,2026-08-15T07:45:00+08:00,2026-08-15T08:30:00+08:00,2026-08-15T09:45:00+08:00
5,auxiliary_touch,1,raw,0,0,1241,63620.0,1317,63215.1,1343,63049.0,0.3262011478624504,2.200538562167832,0.488690630840132,1345,,1241,1317,1343,2026-08-14T06:15:00+08:00,2026-08-15T01:15:00+08:00,2026-08-15T07:45:00+08:00,2026-08-15T08:30:00+08:00,
6,auxiliary_touch,1,raw,0,0,1256,63600.1,1317,63215.1,1343,63049.0,0.023672939571427715,2.200538562167832,0.08616242254910922,1345,1352.0,1256,1317,1343,2026-08-14T10:00:00+08:00,2026-08-15T01:15:00+08:00,2026-08-15T07:45:00+08:00,2026-08-15T08:30:00+08:00,2026-08-15T10:15:00+08:00
7,auxiliary_touch,1,soft,1,1,1241,63620.0,1317,63215.1,1343,63049.0,0.3262011478624504,2.200538562167832,0.488690630840132,1345,1354.0,1241,1317,1343,2026-08-14T06:15:00+08:00,2026-08-15T01:15:00+08:00,2026-08-15T07:45:00+08:00,2026-08-15T08:30:00+08:00,2026-08-15T10:45:00+08:00
8,auxiliary_touch,1,raw,0,0,1256,63600.1,1357,63164.5,1387,63027.5,0.170751280906617,2.6149243686962955,0.22607747299293415,1389,1396.0,1256,1357,1387,2026-08-14T10:00:00+08:00,2026-08-15T11:15:00+08:00,2026-08-15T18:45:00+08:00,2026-08-15T19:30:00+08:00,2026-08-15T21:15:00+08:00
9,auxiliary_touch,1,raw,0,0,1241,63620.0,1357,63164.5,1391,63034.7,0.08782015282556016,2.7363918232421387,0.19134772955236506,1393,1396.0,1241,1357,1391,2026-08-14T06:15:00+08:00,2026-08-15T11:15:00+08:00,2026-08-15T19:45:00+08:00,2026-08-15T20:30:00+08:00,2026-08-15T21:15:00+08:00
10,auxiliary_touch,1,raw,0,0,856,65500.0,1210,63974.4,1416,63081.5,0.1597331372725673,4.169523594488824,0.24842142185902666,1418,1422.0,856,1210,1416,2026-08-10T06:00:00+08:00,2026-08-13T22:30:00+08:00,2026-08-16T02:00:00+08:00,2026-08-16T02:45:00+08:00,2026-08-16T03:45:00+08:00
11,auxiliary_touch,1,raw,0,0,1106,64466.0,1506,63363.5,1542,63226.9,0.3135318274665828,4.545896917836567,0.34959452444112726,1544,1548.0,1106,1506,1542,2026-08-12T20:30:00+08:00,2026-08-17T00:30:00+08:00,2026-08-17T09:30:00+08:00,2026-08-17T10:15:00+08:00,2026-08-17T11:15:00+08:00
12,auxiliary_touch,1,raw,0,0,1210,63974.4,1563,63695.2,1580,63679.7,0.022215773944477688,4.0779288655805574,0.0616019105553406,1582,1596.0,1210,1563,1580,2026-08-13T22:30:00+08:00,2026-08-17T14:45:00+08:00,2026-08-17T19:00:00+08:00,2026-08-17T19:45:00+08:00,2026-08-17T23:15:00+08:00
13,auxiliary_touch,1,soft,1,1,1955,79603.1,2169,77633.1,2179,77471.8,0.2990092175953202,2.932573366276199,0.3998665014581213,2181,2197.0,1955,2169,2179,2026-08-21T16:45:00+08:00,2026-08-23T22:15:00+08:00,2026-08-24T00:45:00+08:00,2026-08-24T01:30:00+08:00,2026-08-24T05:30:00+08:00
14,auxiliary_touch,1,soft,1,1,2030,78819.9,2169,77633.1,2179,77471.8,0.32783226134364446,2.932573366276199,0.4286895452064456,2181,2197.0,2030,2169,2179,2026-08-22T11:30:00+08:00,2026-08-23T22:15:00+08:00,2026-08-24T00:45:00+08:00,2026-08-24T01:30:00+08:00,2026-08-24T05:30:00+08:00
15,auxiliary_touch,1,raw,0,0,1955,79603.1,2197,78054.2,2236,77777.7,0.10018646959122673,4.151845936260996,0.13900750625932867,2238,2249.0,1955,2197,2236,2026-08-21T16:45:00+08:00,2026-08-24T05:15:00+08:00,2026-08-24T15:00:00+08:00,2026-08-24T15:45:00+08:00,2026-08-24T18:30:00+08:00
16,auxiliary_touch,1,raw,0,0,2314,81266.4,2424,79176.5,2443,78858.0,0.18554349720916927,2.831453086062274,0.23774301407851123,2445,2470.0,2314,2424,2443,2026-08-25T10:30:00+08:00,2026-08-26T14:00:00+08:00,2026-08-26T18:45:00+08:00,2026-08-26T19:30:00+08:00,2026-08-27T01:45:00+08:00
17,auxiliary_touch,1,raw,0,0,2329,80888.0,2424,79176.5,2443,78858.0,0.1039466041158261,2.831453086062274,0.15614612098516806,2445,2470.0,2329,2424,2443,2026-08-25T14:15:00+08:00,2026-08-26T14:00:00+08:00,2026-08-26T18:45:00+08:00,2026-08-26T19:30:00+08:00,2026-08-27T01:45:00+08:00
18,auxiliary_touch,1,raw,0,0,2368,79542.5,2424,79176.5,2485,78820.8,0.1911021371730934,3.931844006938553,0.23165492021299133,2487,2494.0,2368,2424,2485,2026-08-26T00:00:00+08:00,2026-08-26T14:00:00+08:00,2026-08-27T05:15:00+08:00,2026-08-27T06:00:00+08:00,2026-08-27T07:45:00+08:00
