timeframe_min,arm,policy,period,threshold_net_r,baseline_high_r,reentered,still_high_r,reentered_lost_high_r,not_reentered,new_high_r,treated_high_r
15,v9_both,wait3,all,3,359,357,259,98,2,90,349
15,v9_both,wait3,all,5,153,153,101,52,0,58,159
15,v9_both,wait3,all,10,45,45,28,17,0,19,47
15,v9_both,retest,all,3,359,86,31,55,273,7,38
15,v9_both,retest,all,5,153,41,11,30,112,3,14
15,v9_both,retest,all,10,45,12,4,8,33,1,5
15,v9_both,wait3,earlier,3,172,171,122,49,1,47,169
15,v9_both,wait3,earlier,5,84,84,57,27,0,31,88
15,v9_both,wait3,earlier,10,31,31,20,11,0,11,31
15,v9_both,retest,earlier,3,172,42,21,21,130,5,26
15,v9_both,retest,earlier,5,84,26,8,18,58,3,11
15,v9_both,retest,earlier,10,31,8,4,4,23,1,5
15,v9_both,wait3,later,3,187,186,137,49,1,43,180
15,v9_both,wait3,later,5,69,69,44,25,0,27,71
15,v9_both,wait3,later,10,14,14,8,6,0,8,16
15,v9_both,retest,later,3,187,44,10,34,143,2,12
15,v9_both,retest,later,5,69,15,3,12,54,0,3
15,v9_both,retest,later,10,14,4,0,4,10,0,0
15,v9_both,wait3,cross_split,3,0,0,0,0,0,0,0
15,v9_both,wait3,cross_split,5,0,0,0,0,0,0,0
15,v9_both,wait3,cross_split,10,0,0,0,0,0,0,0
15,v9_both,retest,cross_split,3,0,0,0,0,0,0,0
15,v9_both,retest,cross_split,5,0,0,0,0,0,0,0
15,v9_both,retest,cross_split,10,0,0,0,0,0,0,0
15,joint,wait3,all,3,177,177,123,54,0,44,167
15,joint,wait3,all,5,89,89,59,30,0,21,80
15,joint,wait3,all,10,38,38,28,10,0,9,37
15,joint,retest,all,3,177,46,20,26,131,1,21
15,joint,retest,all,5,89,24,7,17,65,1,8
15,joint,retest,all,10,38,8,2,6,30,1,3
15,joint,wait3,earlier,3,100,100,75,25,0,20,95
15,joint,wait3,earlier,5,60,60,40,20,0,15,55
15,joint,wait3,earlier,10,28,28,20,8,0,8,28
15,joint,retest,earlier,3,100,26,13,13,74,1,14
15,joint,retest,earlier,5,60,18,4,14,42,1,5
15,joint,retest,earlier,10,28,5,2,3,23,1,3
15,joint,wait3,later,3,77,77,48,29,0,24,72
15,joint,wait3,later,5,29,29,19,10,0,6,25
15,joint,wait3,later,10,10,10,8,2,0,1,9
15,joint,retest,later,3,77,20,7,13,57,0,7
15,joint,retest,later,5,29,6,3,3,23,0,3
15,joint,retest,later,10,10,3,0,3,7,0,0
15,joint,wait3,cross_split,3,0,0,0,0,0,0,0
15,joint,wait3,cross_split,5,0,0,0,0,0,0,0
15,joint,wait3,cross_split,10,0,0,0,0,0,0,0
15,joint,retest,cross_split,3,0,0,0,0,0,0,0
15,joint,retest,cross_split,5,0,0,0,0,0,0,0
15,joint,retest,cross_split,10,0,0,0,0,0,0,0
60,v9_both,wait3,all,3,112,112,71,41,0,32,103
60,v9_both,wait3,all,5,47,47,30,17,0,13,43
60,v9_both,wait3,all,10,13,13,7,6,0,2,9
60,v9_both,retest,all,3,112,24,8,16,88,2,10
60,v9_both,retest,all,5,47,12,3,9,35,0,3
60,v9_both,retest,all,10,13,5,1,4,8,0,1
60,v9_both,wait3,earlier,3,91,91,58,33,0,28,86
60,v9_both,wait3,earlier,5,39,39,25,14,0,10,35
60,v9_both,wait3,earlier,10,9,9,3,6,0,2,5
60,v9_both,retest,earlier,3,91,21,6,15,70,2,8
60,v9_both,retest,earlier,5,39,11,2,9,28,0,2
60,v9_both,retest,earlier,10,9,4,0,4,5,0,0
60,v9_both,wait3,later,3,20,20,12,8,0,4,16
60,v9_both,wait3,later,5,7,7,4,3,0,3,7
60,v9_both,wait3,later,10,3,3,3,0,0,0,3
60,v9_both,retest,later,3,20,3,2,1,17,0,2
60,v9_both,retest,later,5,7,1,1,0,6,0,1
60,v9_both,retest,later,10,3,1,1,0,2,0,1
60,v9_both,wait3,cross_split,3,1,1,1,0,0,0,1
60,v9_both,wait3,cross_split,5,1,1,1,0,0,0,1
60,v9_both,wait3,cross_split,10,1,1,1,0,0,0,1
60,v9_both,retest,cross_split,3,1,0,0,0,1,0,0
60,v9_both,retest,cross_split,5,1,0,0,0,1,0,0
60,v9_both,retest,cross_split,10,1,0,0,0,1,0,0
60,joint,wait3,all,3,75,75,55,20,0,17,72
60,joint,wait3,all,5,39,39,25,14,0,6,31
60,joint,wait3,all,10,11,11,6,5,0,3,9
60,joint,retest,all,3,75,18,7,11,57,0,7
60,joint,retest,all,5,39,10,3,7,29,0,3
60,joint,retest,all,10,11,5,2,3,6,0,2
60,joint,wait3,earlier,3,60,60,46,14,0,15,61
60,joint,wait3,earlier,5,31,31,20,11,0,6,26
60,joint,wait3,earlier,10,7,7,2,5,0,3,5
60,joint,retest,earlier,3,60,15,5,10,45,0,5
60,joint,retest,earlier,5,31,8,1,7,23,0,1
60,joint,retest,earlier,10,7,3,0,3,4,0,0
60,joint,wait3,later,3,14,14,8,6,0,2,10
60,joint,wait3,later,5,7,7,4,3,0,0,4
60,joint,wait3,later,10,3,3,3,0,0,0,3
60,joint,retest,later,3,14,2,1,1,12,0,1
60,joint,retest,later,5,7,1,1,0,6,0,1
60,joint,retest,later,10,3,1,1,0,2,0,1
60,joint,wait3,cross_split,3,1,1,1,0,0,0,1
60,joint,wait3,cross_split,5,1,1,1,0,0,0,1
60,joint,wait3,cross_split,10,1,1,1,0,0,0,1
60,joint,retest,cross_split,3,1,1,1,0,0,0,1
60,joint,retest,cross_split,5,1,1,1,0,0,0,1
60,joint,retest,cross_split,10,1,1,1,0,0,0,1
