timeframe_min,arm,policy,period,candidates,taken,censored,closed,wins,losses,flat,win_rate,win_ci_low,win_ci_high,gross_win_rate,mean_net_r,sum_net_r,median_net_r,mean_net_bp,mean_gross_bp,pf_r,average_win_r,average_loss_r,best_net_r,worst_net_r,event_ordered_drawdown_r_nonaccount,mean_holding_hours,median_holding_hours,median_risk_bp,stop_exits,stop_net_losses,fee_only_losses,net_gt5r,net_gt10r,net_float_to_stop_loss,net_float_to_any_loss,mfe_ge2r_no_close_arm_stop_losses,reached_0r,float_to_stop_loss_0r,float_to_any_loss_0r,ambiguous_stop_profit_0r,reached_0.5r,float_to_stop_loss_0.5r,float_to_any_loss_0.5r,ambiguous_stop_profit_0.5r,reached_1r,float_to_stop_loss_1r,float_to_any_loss_1r,ambiguous_stop_profit_1r,reached_2r,float_to_stop_loss_2r,float_to_any_loss_2r,ambiguous_stop_profit_2r,reached_3r,float_to_stop_loss_3r,float_to_any_loss_3r,ambiguous_stop_profit_3r,reached_5r,float_to_stop_loss_5r,float_to_any_loss_5r,ambiguous_stop_profit_5r,reached_10r,float_to_stop_loss_10r,float_to_any_loss_10r,ambiguous_stop_profit_10r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,matched,weeks,mean_excess_bp,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,random_coverage,random_mean_net_bp,paired_target_mean_net_bp,random_win_rate,random_mean_net_r,random_ge5r,holm_p_four_cells
15,v9_both,baseline,all,7060,5913,71,5842,1570,4272,0.0,0.2687435809654228,0.25753060171174635,0.28026048978373275,0.27901403628894217,-0.08650475473143221,-505.360777141027,-1.0767276485788106,-23.54449266196437,-3.5444926619643664,0.8862129946928684,2.506959543876703,-1.0396271678435043,80.7416571428571,-2.8925263157896213,1015.1851079843606,14.098553577541937,8.25,171.0803114653135,5112.0,3658.0,73.0,153.0,45.0,2915.0,3518.0,126.0,5668.0,3486.0,4098.0,28.0,3756.0,1690.0,2186.0,8.0,2803.0,908.0,1236.0,13.0,1761.0,222.0,279.0,3.0,1106.0,49.0,50.0,4.0,488.0,10.0,10.0,1.0,120.0,1.0,1.0,1.0,359,0.061451557685724065,153,0.026189661074974325,45,0.007702841492639507,5799,10,-20.69926711729395,0.9482421875,-40.61467895570521,-0.23801163238376966,0.0009765625,0.9926395070181445,-2.2545419027829845,-22.953809020076942,0.27504742196930504,-0.02877634622864953,193,
15,v9_both,baseline,earlier,3282,2755,0,2755,775,1980,0.0,0.2813067150635209,0.2648302179833348,0.29839223681889776,0.2943738656987296,0.030877788739844564,85.06830797827178,-1.0764571428571423,-1.1849435800856374,18.815056419914367,1.0406524066288483,2.8098654490470008,-1.0568572803197744,80.7416571428571,-2.8925263157896213,486.45456812452505,14.027041742286752,8.75,146.77314914741999,2415.0,1687.0,44.0,84.0,31.0,1306.0,1592.0,61.0,2662.0,1596.0,1887.0,15.0,1822.0,811.0,1047.0,2.0,1366.0,434.0,592.0,5.0,890.0,120.0,149.0,3.0,567.0,32.0,32.0,4.0,250.0,8.0,8.0,1.0,71.0,1.0,1.0,1.0,172,0.06243194192377496,84,0.030490018148820328,31,0.011252268602540834,2739,5,-21.336932173582806,0.9375,-48.70896861557713,-0.5380247585644025,0.03125,0.9941923774954627,19.531701998567705,-1.8052301750151059,0.2778386272362176,0.07968485272578019,97,
15,v9_both,baseline,later,3778,3152,71,3081,793,2288,0.0,0.25738396624472576,0.24225531021159505,0.2731168669562536,0.26517364492048034,-0.19212369712028013,-591.933110827583,-1.0770740740740732,-44.02078353939098,-24.020783539390965,0.7476871420298472,2.211973784704754,-1.025362028889184,24.859655172413778,-1.9914074074074104,1016.689133692645,14.128691983122362,7.75,190.901705930138,2693.0,1969.0,29.0,69.0,14.0,1607.0,1922.0,65.0,3000.0,1888.0,2207.0,13.0,1931.0,879.0,1138.0,6.0,1435.0,474.0,644.0,8.0,869.0,102.0,130.0,0.0,538.0,17.0,18.0,0.0,238.0,2.0,2.0,0.0,49.0,0.0,0.0,0.0,187,0.060694579681921455,69,0.022395326192794548,14,0.004543979227523531,3038,5,-21.814638857651985,0.78125,-47.24299798228303,6.124263031306305,0.03125,0.9860434923726062,-21.36845740998918,-43.183096267641176,0.27221856484529294,-0.12616525372100507,96,
15,v9_both,baseline,cross_split,0,6,0,6,2,4,0.0,0.3333333333333333,0.09677141021353453,0.7000066870052566,0.3333333333333333,0.250670951380704,1.504025708284224,-0.2818286587967562,224.27125280060866,244.27125280060864,1.5608846934446137,2.0927748020635377,-0.6703809739607128,2.174535980148879,-1.0801000000000005,2.6087137692605733,31.458333333333332,29.625,715.6976218377595,4.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,6,1,664.5385421806006,,,,,1.0,-440.267289379992,224.2712528006087,0.0,-0.9330189313465148,0,
15,v9_both,wait3,all,7060,5780,70,5710,1546,4164,0.0,0.27075306479859895,0.25938468563370615,0.2824296928645426,0.28353765323992997,-0.06026383551076871,-344.1065007664893,-1.0725877574986544,-14.24498085402252,5.755019145977483,0.923124889965021,2.6727485226741057,-1.0749701529348359,174.76633962264407,-14.974000000005484,958.1685862486169,14.606173380035026,8.5,164.161894959999,4904.0,3502.0,85.0,159.0,47.0,2690.0,3332.0,149.0,5432.0,3224.0,3886.0,136.0,3734.0,1694.0,2188.0,56.0,2746.0,908.0,1210.0,31.0,1816.0,331.0,379.0,16.0,1125.0,118.0,121.0,11.0,519.0,29.0,30.0,6.0,133.0,3.0,3.0,1.0,349,0.06112084063047286,159,0.02784588441330998,47,0.008231173380035026,5159,10,-10.44808077060252,0.7919921875,-30.10373690225334,10.514880201692735,0.0009765625,0.9035026269702277,-2.146212188803425,-12.59429295940594,0.26923822446210505,0.004312782594824718,168,
15,v9_both,wait3,earlier,3282,2701,0,2701,737,1964,0.0,0.2728619029988893,0.25639500736672854,0.28997396891054333,0.2876712328767123,0.05207777925848496,140.66208177716788,-1.073380530973452,4.5398954352547145,24.539895435254703,1.0652320965022226,3.116681763701163,-1.0979289094045772,174.76633962264407,-14.974000000005484,434.94697377689494,15.037023324694557,9.0,145.611433194013,2307.0,1627.0,43.0,88.0,31.0,1218.0,1543.0,62.0,2562.0,1488.0,1825.0,69.0,1768.0,790.0,1031.0,24.0,1309.0,426.0,576.0,15.0,866.0,155.0,176.0,10.0,556.0,58.0,59.0,7.0,262.0,19.0,19.0,2.0,77.0,2.0,2.0,1.0,169,0.0625694187338023,88,0.03258052573121066,31,0.011477230655312847,2456,5,-14.872595441917266,0.75,-50.70184384241132,14.217837807391165,0.03125,0.909292854498334,24.109453898582814,9.236858456665548,0.2740228013029316,0.19508168929068864,97,
15,v9_both,wait3,later,3778,3072,70,3002,806,2196,0.0,0.2684876748834111,0.25293776135882895,0.28462933290923487,0.2794803464357095,-0.16180806932570346,-485.7478241157618,-1.072145900809717,-31.471307825861853,-11.471307825861848,0.7903639629403103,2.272150064178324,-1.055146072788475,60.69566666666203,-3.4066666666664287,957.2357950338367,14.170969353764157,8.0,181.31992300131398,2593.0,1873.0,42.0,71.0,16.0,1470.0,1785.0,86.0,2863.0,1734.0,2057.0,67.0,1960.0,902.0,1154.0,32.0,1432.0,481.0,632.0,16.0,947.0,175.0,202.0,6.0,568.0,60.0,62.0,4.0,256.0,10.0,11.0,4.0,56.0,1.0,1.0,0.0,180,0.05996002664890073,71,0.023650899400399734,16,0.005329780146568954,2681,5,-8.168629106215802,0.5625,-31.143783256146566,15.061272105611536,0.03125,0.8930712858094604,-25.508031047526888,-33.67666015374269,0.26445356210369264,-0.16933349723804406,71,
15,v9_both,wait3,cross_split,0,7,0,7,3,4,0.0,0.42857142857142855,0.15821985399244537,0.7495416372469643,0.42857142857142855,0.13989165315780222,0.9792415721046155,-0.1516710280373829,125.10969230653458,145.1096923065346,1.3570534589221535,1.240601492893594,-0.6856407266440417,1.9120327868852467,-1.0858436213991782,2.7425629065761665,35.0,35.5,624.125058329445,4.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,7.0,2.0,4.0,0.0,6.0,2.0,3.0,0.0,5.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,7,1,641.3409367774274,,,,,1.0,-516.2312444708928,125.1096923065346,0.0,-0.8414094234680295,0,
15,v9_both,retest,all,7060,795,19,776,253,523,0.0,0.32603092783505155,0.29397685118509426,0.35979892987260637,0.33505154639175255,0.04680539379934793,36.32098558829399,-0.832809253289652,10.196937845379448,30.19693784537946,1.0753741578019322,2.0482087959104445,-0.9213687185029609,34.76084999999998,-1.600869565217407,94.20555132457342,22.34536082474227,17.5,290.09145728880696,569.0,361.0,8.0,14.0,5.0,304.0,453.0,4.0,763.0,351.0,510.0,1.0,497.0,144.0,244.0,0.0,375.0,65.0,127.0,0.0,232.0,5.0,16.0,0.0,119.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,38,0.04896907216494845,14,0.01804123711340206,5,0.006443298969072165,138,10,-9.576056739201633,0.5517578125,-133.99381580832625,119.2422506714276,0.0009765625,0.17783505154639176,236.45059149897943,226.87453475977782,0.34057971014492755,0.49791487202508466,6,1.0
15,v9_both,retest,earlier,3282,395,0,395,133,262,0.0,0.3367088607594937,0.29187531405273764,0.3846878989045361,0.3468354430379747,0.2298937827184023,90.8080441737689,-0.8085909090909137,74.96174511803842,94.9617451180384,1.3721970422169762,2.517191417227736,-0.9312153218225954,34.76084999999998,-1.600869565217407,61.36446416673616,22.656329113924052,16.75,244.461420932007,298.0,181.0,4.0,11.0,5.0,159.0,234.0,2.0,389.0,176.0,256.0,1.0,264.0,79.0,131.0,0.0,201.0,40.0,71.0,0.0,127.0,3.0,7.0,0.0,68.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,26,0.06582278481012659,11,0.027848101265822784,5,0.012658227848101266,69,5,-53.36226505097836,0.75,-155.51964521363993,110.74355788339506,0.03125,0.17468354430379746,486.2060662672982,432.84380121631995,0.3333333333333333,0.9604985687845609,4,1.0
