timeframe_min,arm,policy,period,baseline_closed,weeks,valid_bootstrap_draws,delta_win_rate,ci_low_win_rate,ci_high_win_rate,delta_mean_net_r,ci_low_mean_net_r,ci_high_mean_net_r,delta_mean_net_bp,ci_low_mean_net_bp,ci_high_mean_net_bp,delta_net_ge5r_rate,ci_low_net_ge5r_rate,ci_high_net_ge5r_rate,delta_net_ge10r_rate,ci_low_net_ge10r_rate,ci_high_net_ge10r_rate,treated_closed
15,v9_both,wait3,all,5842,10,2000.0,0.0020094838331761733,-0.010307370954829791,0.015209115283030102,0.026240919220663503,-0.028656636398738933,0.09192628930851904,9.29951180794185,2.6780315277870055,15.118908878583332,0.0016562233383356564,-0.0033870601217741254,0.006010391976102531,0.000528331887395519,-0.0013277466671292053,0.0023741490945906043,5710
15,v9_both,retest,all,5842,10,2000.0,0.057287346869628775,0.02516833171013356,0.0891207451360435,0.13331014853078013,-0.004132195300010476,0.27333006156270373,33.74143050734382,-22.29574152904121,104.74776330035583,-0.008148423961572265,-0.02228519374665733,0.006215833188895993,-0.001259542523567342,-0.008205841300236804,0.006110089837198714,776
15,v9_both,wait3,earlier,2755,5,2000.0,-0.008444812064631602,-0.016859733825476064,0.00036507627320098157,0.021199990518640396,-0.06606039383611395,0.13706554226492973,5.724839015340352,-4.187595244827818,17.237221326387456,0.0020905075823903323,-0.008546296296296295,0.0076431744364159684,0.00022496205277201288,-0.0035598889800153213,0.003680059626282552,2701
15,v9_both,retest,earlier,2755,5,2000.0,0.05540214569597279,0.011080821848654665,0.0983653892683578,0.19901599397855774,-0.07857954905178904,0.45194563089805184,76.14668869812407,-0.31027599311255116,200.15651459240615,-0.0026419168829975442,-0.023302470273116386,0.02402093252691631,0.0014059592455604314,-0.01286346475985699,0.0158569669020613,395
15,v9_both,wait3,later,3081,5,2000.0,0.011103708638685317,-0.00999875072401224,0.024875521625394165,0.030315627794576666,-0.02747192732043728,0.06253654807541134,12.54947571352913,5.388212681325683,17.15379201573345,0.001255573207605186,-0.0008230354980853054,0.005948825112718766,0.0007858009190454228,-0.0007426317010907407,0.002174059471307146,3002
15,v9_both,retest,later,3081,5,2000.0,0.05396168019326897,0.0052663534132305345,0.1057212971078002,0.03815286269518031,-0.0665656249669756,0.10021927518365314,-21.28517107177823,-62.66875523862687,11.255963867392396,-0.014479758910472647,-0.03188385236535969,-0.0017169946617799385,-0.004543979227523531,-0.00796812749003984,-0.002054593484003522,379
15,v9_both,wait3,cross_split,6,1,,,,,,,,,,,,,,,,,7
15,v9_both,retest,cross_split,6,1,,,,,,,,,,,,,,,,,2
15,joint,wait3,all,2736,10,2000.0,-0.011733454612547822,-0.022743139463046014,-0.0031753796646842246,0.04121908232594676,-0.07884733975761565,0.1633778550746523,4.563276548739934,-4.810490953406342,12.05631594902643,-0.0017481701239118082,-0.009092955353670207,0.004761619261511352,0.0003473558206147677,-0.0029395873129854848,0.0033623795634148447,2599
15,joint,retest,all,2736,10,2000.0,0.07792464724502385,0.029357211424917252,0.1363872870378816,0.13811461110741952,-0.044468956867455445,0.2980898310359086,61.633849769878864,-19.718735567669302,165.66144341935498,-0.008064407961800527,-0.024119841439302885,0.005482643646043411,-0.004714576962283383,-0.014516326825936624,0.003024691083381854,327
